County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Alameda,1/1/2010,0.03,0.0,131.0,11.3,66.0,46.9,88.0,1.7,41.7,51.8
Alameda,1/2/2010,0.01,0.0,77.0,11.1,58.9,41.7,93.0,1.6,38.7,53.0
Alameda,1/3/2010,0.05,0.0,208.0,9.0,60.3,36.7,94.0,1.7,40.1,51.6
Alameda,1/4/2010,0.04,0.0,202.0,9.0,56.6,38.5,93.0,1.8,43.9,50.8
Alameda,1/5/2010,0.04,0.0,190.0,8.9,58.1,36.9,94.0,1.8,43.0,50.3
Alameda,1/6/2010,0.04,0.0,172.0,8.9,57.5,37.8,93.0,1.8,43.9,50.0
Alameda,1/7/2010,0.03,0.0,154.0,9.4,57.7,38.8,93.0,1.9,45.2,49.9
Alameda,1/8/2010,0.03,0.0,123.0,9.5,58.7,40.7,92.0,2.1,50.0,50.4
Alameda,1/9/2010,0.02,0.0,116.0,8.9,55.2,38.8,93.0,1.6,38.4,49.9
Alameda,1/10/2010,0.03,0.0,146.0,9.2,58.8,37.2,94.0,1.7,40.1,49.6
Alameda,1/11/2010,0.03,0.0,136.0,9.6,55.2,41.9,92.0,1.9,45.0,50.2
Alameda,1/12/2010,0.04,0.0,134.0,13.1,63.6,52.7,89.0,4.9,117.3,51.5
Alameda,1/13/2010,0.06,0.0,220.0,12.1,61.8,47.8,91.0,3.3,79.3,53.6
Alameda,1/14/2010,0.05,0.0,215.0,9.8,59.4,39.5,94.0,2.0,47.8,53.0
Alameda,1/15/2010,0.03,0.0,128.0,9.5,57.8,38.5,92.0,1.9,45.1,51.9
Alameda,1/16/2010,0.05,0.11,164.0,9.8,63.8,40.1,93.0,2.4,56.9,51.6
Alameda,1/17/2010,0.01,0.15,57.0,10.9,56.2,49.3,92.0,3.6,86.2,52.8
Alameda,1/18/2010,0.03,0.54,86.0,10.6,58.0,49.8,89.0,5.1,122.5,53.0
Alameda,1/19/2010,0.04,1.1,130.0,10.1,57.8,48.2,90.0,5.7,135.8,52.7
Alameda,1/20/2010,0.02,1.41,84.0,9.6,55.6,45.5,89.0,5.7,137.1,52.2
Alameda,1/21/2010,0.0,0.75,39.0,8.8,49.9,41.3,92.0,2.8,67.1,51.3
Alameda,1/22/2010,0.03,0.54,141.0,8.4,52.7,39.1,91.0,2.7,64.3,50.5
Alameda,1/23/2010,0.04,0.0,190.0,8.9,57.6,41.0,91.0,2.3,55.9,50.1
Alameda,1/24/2010,0.02,0.0,93.0,8.7,55.2,37.5,94.0,2.0,48.3,50.0
Alameda,1/25/2010,0.03,0.0,58.0,9.8,57.5,48.0,89.0,4.4,104.8,50.9
Alameda,1/26/2010,0.02,0.0,85.0,10.8,56.4,44.2,92.0,2.2,53.5,51.7
Alameda,1/27/2010,0.02,0.0,120.0,10.1,57.8,39.8,94.0,1.7,41.7,51.4
