County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Amador,11/1/2010,0.09,0.0,313.0,9.5,69.2,38.2,94.0,2.0,48.4,60.6
Amador,11/2/2010,0.09,0.0,307.0,11.5,70.7,43.9,93.0,2.6,61.5,60.9
Amador,11/3/2010,0.09,0.0,294.0,12.5,77.2,48.1,89.0,2.2,51.8,61.5
Amador,11/4/2010,0.09,0.0,298.0,11.8,80.9,50.3,78.0,2.2,53.3,62.3
Amador,11/5/2010,0.08,0.0,261.0,11.4,79.3,48.4,91.0,2.4,57.3,62.7
Amador,11/6/2010,0.08,0.0,280.0,10.7,68.2,44.5,96.0,2.7,65.0,62.5
Amador,11/7/2010,0.0,0.72,32.0,9.5,54.0,32.7,99.0,3.3,78.7,61.0
Amador,11/8/2010,0.05,0.0,256.0,6.5,50.7,26.9,100.0,2.1,50.1,59.3
Amador,11/9/2010,0.06,0.01,255.0,6.9,55.3,29.7,98.0,2.7,65.5,58.3
Amador,11/10/2010,0.04,0.03,200.0,8.1,53.9,30.4,98.0,2.8,66.4,58.6
Amador,11/11/2010,0.07,0.0,281.0,6.7,59.5,33.5,86.0,2.5,59.0,57.7
Amador,11/12/2010,0.07,0.0,279.0,7.6,60.3,34.1,89.0,2.4,58.1,57.3
Amador,11/13/2010,0.06,0.0,258.0,8.5,61.4,35.0,94.0,2.5,59.6,57.2
Amador,11/14/2010,0.06,0.0,252.0,9.5,68.2,,100.0,2.2,53.7,57.6
Amador,11/15/2010,0.07,0.0,271.0,9.8,68.3,26.0,96.0,2.6,61.2,58.1
Amador,11/16/2010,0.07,0.0,272.0,9.8,65.7,40.6,92.0,2.6,61.7,58.2
Amador,11/17/2010,0.07,0.0,261.0,8.7,66.2,33.2,91.0,2.8,66.6,58.0
Amador,11/18/2010,0.06,0.0,256.0,9.1,63.6,31.2,96.0,2.5,59.0,57.7
Amador,11/19/2010,0.0,0.14,31.0,7.5,39.9,30.8,99.0,2.4,57.8,57.4
Amador,11/20/2010,0.02,0.25,118.0,6.1,42.3,25.9,100.0,4.8,115.6,55.0
Amador,11/21/2010,0.01,0.05,79.0,6.2,37.0,30.7,98.0,4.4,106.5,52.9
Amador,11/22/2010,0.01,0.0,91.0,6.7,41.0,33.0,98.0,3.8,91.5,52.7
Amador,11/23/2010,0.0,0.01,53.0,6.1,39.6,25.0,99.0,4.2,101.3,52.3
Amador,11/24/2010,0.04,0.68,257.0,4.5,43.0,,96.0,2.2,53.7,51.0
Amador,11/25/2010,0.05,0.0,250.0,5.1,47.5,22.7,98.0,2.1,49.9,50.2
Amador,11/26/2010,0.04,0.0,232.0,5.7,50.5,26.9,91.0,2.1,51.0,50.2
Amador,11/27/2010,0.0,0.15,38.0,6.6,44.0,26.0,100.0,4.0,96.1,50.3
Amador,11/28/2010,0.03,0.01,228.0,5.4,40.1,22.4,100.0,1.9,46.7,50.3
Amador,11/29/2010,0.04,0.09,252.0,4.7,45.6,,99.0,1.8,42.1,49.5
Amador,11/30/2010,0.03,0.0,164.0,5.7,50.2,27.9,89.0,1.8,42.3,49.4
Amador,12/1/2010,0.05,0.0,231.0,6.0,56.8,32.0,86.0,2.2,52.9,49.9
Amador,12/2/2010,0.01,0.01,56.0,7.8,52.0,34.0,96.0,1.7,41.2,50.3
Amador,12/3/2010,0.02,0.01,98.0,8.4,53.5,38.2,98.0,1.9,44.8,51.4
Amador,12/4/2010,0.03,0.01,104.0,8.7,58.6,39.2,96.0,2.5,60.7,52.3
Amador,12/5/2010,0.05,0.06,173.0,9.2,65.6,41.3,97.0,3.8,92.0,53.2
Amador,12/6/2010,0.05,0.01,212.0,9.3,57.9,39.0,94.0,4.4,105.4,53.8
Amador,12/7/2010,0.05,0.0,231.0,8.2,58.8,34.8,96.0,2.4,56.6,53.4
Amador,12/8/2010,0.0,0.0,39.0,9.2,51.5,37.4,95.0,2.9,69.2,53.1
Amador,12/9/2010,0.02,0.0,110.0,9.2,53.9,36.0,99.0,1.9,46.0,54.0
Amador,12/10/2010,0.02,0.0,111.0,9.5,54.5,33.1,99.0,2.6,62.8,55.0
Amador,12/11/2010,0.04,0.0,208.0,8.7,58.6,32.3,99.0,1.8,42.1,55.3
Amador,12/12/2010,0.04,0.0,234.0,7.3,55.6,24.9,100.0,1.9,46.5,55.1
Amador,12/13/2010,0.01,0.0,85.0,6.1,40.4,23.9,100.0,1.8,42.3,55.0
Amador,12/14/2010,0.0,0.0,22.0,6.1,37.6,27.8,100.0,3.5,84.3,54.8
Amador,12/15/2010,0.03,0.0,184.0,5.9,46.5,26.4,100.0,2.0,49.0,53.4
Amador,12/16/2010,0.04,0.0,230.0,5.7,48.4,20.8,99.0,2.0,47.8,51.9
Amador,12/17/2010,0.0,0.0,40.0,6.1,37.3,28.4,99.0,2.8,68.2,51.9
Amador,12/18/2010,0.0,0.0,51.0,6.9,42.3,32.7,97.0,8.0,192.3,52.4
