County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Butte,1/1/2010,0.02,0.03,58.0,10.7,56.5,50.0,91.0,4.8,114.8,48.2
Butte,1/2/2010,0.04,0.0,195.0,10.9,60.7,42.7,97.0,3.1,74.0,49.5
Butte,1/3/2010,0.03,0.0,180.0,9.4,56.2,35.7,99.0,2.3,55.5,48.4
Butte,1/4/2010,0.0,0.01,60.0,9.6,45.5,38.7,99.0,2.2,51.9,48.1
Butte,1/5/2010,0.01,0.0,80.0,9.2,45.9,39.8,99.0,2.4,57.5,48.3
Butte,1/6/2010,0.0,0.01,37.0,9.4,44.0,42.0,99.0,2.2,53.3,48.3
Butte,1/7/2010,0.0,0.0,41.0,9.4,44.2,42.5,99.0,2.2,53.6,48.2
Butte,1/8/2010,0.01,0.03,65.0,9.5,48.7,37.6,99.0,2.3,54.0,48.4
Butte,1/9/2010,0.0,0.01,59.0,9.4,46.3,37.8,99.0,2.9,69.4,47.6
Butte,1/10/2010,0.0,0.0,66.0,9.8,46.2,41.8,99.0,2.8,67.9,48.5
Butte,1/11/2010,0.0,0.0,49.0,10.2,47.4,44.2,99.0,3.0,71.9,48.9
Butte,1/12/2010,0.03,0.92,124.0,12.5,59.6,46.3,97.0,8.0,191.6,50.0
Butte,1/13/2010,0.06,0.16,238.0,11.8,61.3,43.2,97.0,4.9,118.4,51.7
Butte,1/14/2010,0.03,0.0,150.0,9.6,57.8,40.6,98.0,3.8,90.2,49.5
Butte,1/15/2010,0.03,0.0,147.0,9.6,55.6,36.9,98.0,2.6,62.0,48.4
Butte,1/16/2010,0.04,0.04,172.0,9.9,57.0,38.7,99.0,2.5,60.8,48.5
Butte,1/17/2010,0.0,0.68,26.0,11.2,51.2,47.9,98.0,6.8,163.3,49.7
Butte,1/18/2010,0.01,1.04,74.0,11.5,55.5,48.8,97.0,8.8,210.6,50.2
Butte,1/19/2010,0.02,0.98,70.0,10.1,51.7,45.3,95.0,13.0,312.6,49.6
Butte,1/20/2010,0.02,1.21,55.0,9.6,49.7,45.5,93.0,11.2,268.6,48.3
Butte,1/21/2010,0.01,0.35,50.0,9.3,47.3,42.5,98.0,6.1,145.8,47.5
Butte,1/22/2010,0.03,0.0,129.0,8.8,47.7,42.4,98.0,6.1,147.2,47.2
Butte,1/23/2010,0.01,0.04,79.0,9.1,51.3,42.7,93.0,5.4,129.7,47.2
Butte,1/24/2010,0.0,0.27,47.0,8.9,46.8,39.2,97.0,2.8,67.9,46.7
Butte,1/25/2010,0.0,0.95,30.0,10.2,47.4,44.1,98.0,2.8,67.4,47.0
Butte,1/26/2010,0.02,0.17,119.0,10.5,54.7,42.1,98.0,4.7,113.9,48.2
Butte,1/27/2010,0.06,0.0,261.0,8.4,60.7,33.4,98.0,3.4,82.4,47.5
Butte,1/28/2010,0.05,0.0,227.0,9.4,55.5,35.3,98.0,2.7,63.9,47.4
Butte,1/29/2010,0.03,0.02,147.0,10.5,56.7,42.3,98.0,3.2,75.9,48.6
Butte,1/30/2010,0.05,0.11,236.0,10.8,58.1,40.1,97.0,4.1,99.6,50.4
Butte,1/31/2010,0.06,0.0,275.0,9.2,59.1,35.4,99.0,2.4,56.4,49.0
Butte,2/1/2010,0.01,0.0,73.0,10.1,51.6,42.3,98.0,3.1,73.6,49.2
Butte,2/2/2010,0.03,0.03,184.0,9.5,55.8,36.2,98.0,2.9,69.7,48.8
Butte,2/3/2010,0.06,0.0,261.0,10.7,59.0,42.2,98.0,3.4,82.6,50.3
Butte,2/4/2010,0.01,0.81,52.0,11.0,55.6,44.1,98.0,5.5,131.8,50.0
Butte,2/5/2010,0.03,0.07,158.0,12.2,58.4,50.1,95.0,4.8,115.5,51.2
Butte,2/6/2010,0.01,0.22,79.0,11.8,55.1,49.0,97.0,4.9,117.4,52.1
Butte,2/7/2010,0.06,0.01,279.0,10.8,60.4,42.4,98.0,2.5,61.2,52.7
Butte,2/8/2010,0.05,0.09,223.0,9.7,57.1,35.3,99.0,3.4,81.0,51.3
Butte,2/9/2010,0.04,0.53,191.0,10.0,56.9,40.1,98.0,3.8,91.9,51.9
Butte,2/10/2010,0.04,0.0,218.0,9.4,52.3,35.9,98.0,3.6,86.3,50.0
Butte,2/11/2010,0.04,0.0,147.0,10.9,56.2,48.8,89.0,5.4,129.9,51.5
Butte,2/12/2010,0.06,0.02,242.0,11.9,60.5,50.4,93.0,5.1,122.5,52.7
Butte,2/13/2010,0.07,0.0,287.0,11.5,63.0,43.8,97.0,2.4,57.3,53.3
Butte,2/14/2010,0.07,0.0,291.0,10.6,64.0,36.8,99.0,2.2,53.9,52.9
Butte,2/15/2010,0.08,0.0,331.0,11.2,69.8,44.8,97.0,3.0,71.6,54.2
Butte,2/16/2010,0.08,0.0,326.0,12.0,69.1,41.2,98.0,2.1,51.2,54.4
Butte,2/17/2010,0.07,0.0,243.0,12.6,70.7,32.0,99.0,2.0,48.5,55.8
Butte,2/18/2010,0.09,0.0,358.0,10.9,67.6,40.7,98.0,2.4,57.2,54.5
Butte,2/19/2010,0.03,0.0,138.0,12.0,59.6,43.9,98.0,2.6,62.6,54.6
Butte,2/20/2010,0.04,0.08,182.0,11.6,58.7,45.7,99.0,4.6,110.3,54.4
Butte,2/21/2010,0.05,0.0,223.0,9.5,54.3,38.9,95.0,4.0,95.1,54.4
Butte,2/22/2010,0.1,0.0,380.0,6.9,60.7,36.0,97.0,4.2,100.6,52.4
Butte,2/23/2010,0.01,0.89,65.0,8.9,51.2,44.3,97.0,4.3,102.6,51.3
Butte,2/24/2010,0.01,0.22,86.0,11.5,52.7,44.2,98.0,4.0,96.6,51.3
Butte,2/25/2010,0.06,0.0,279.0,10.6,60.4,37.2,99.0,2.5,59.1,52.1
Butte,2/26/2010,0.01,0.33,62.0,12.1,56.5,45.4,97.0,6.1,145.8,53.4
Butte,2/27/2010,0.08,0.0,323.0,9.8,63.8,39.9,98.0,2.9,70.2,52.7
Butte,2/28/2010,0.1,0.0,386.0,9.8,64.2,38.9,97.0,3.0,71.6,53.1
Butte,3/1/2010,0.07,0.0,285.0,12.0,62.0,43.9,97.0,3.4,81.4,54.3
Butte,3/2/2010,0.02,0.09,114.0,11.9,55.6,48.2,94.0,7.0,168.6,55.0
Butte,3/3/2010,0.06,0.37,246.0,9.1,54.9,34.7,97.0,6.1,146.8,53.5
Butte,3/4/2010,0.08,0.0,379.0,8.2,54.9,30.9,99.0,3.0,73.0,52.1
Butte,3/5/2010,0.08,0.0,338.0,8.2,57.4,35.0,98.0,2.6,61.4,52.3
Butte,3/6/2010,0.08,0.01,273.0,9.5,67.5,43.9,89.0,4.3,103.8,53.3
Butte,3/7/2010,0.11,0.0,444.0,10.6,65.1,36.5,98.0,4.1,97.4,54.3
Butte,3/8/2010,0.08,0.04,279.0,8.9,57.1,42.4,94.0,6.9,165.7,54.8
Butte,3/9/2010,0.08,0.05,338.0,6.3,54.0,31.7,98.0,3.9,93.6,52.8
