County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Colusa,8/9/2016,0.13,,571.0,,91.8,63.9,85.0,,,77.6
Colusa,8/10/2016,0.23,,433.0,,89.6,61.9,91.0,,,77.1
Colusa,8/11/2016,0.23,,650.0,,91.2,56.6,98.0,,,75.8
Colusa,8/12/2016,0.23,,645.0,,92.7,58.2,95.0,,,76.1
Colusa,8/13/2016,0.23,,641.0,,95.4,59.8,98.0,,,76.5
Colusa,8/14/2016,0.24,,621.0,,96.5,59.0,90.0,,,76.6
Colusa,8/15/2016,0.23,,641.0,,90.6,56.2,92.0,,,75.8
Colusa,8/16/2016,0.23,,617.0,,92.1,58.7,96.0,,,75.6
Colusa,8/17/2016,0.24,,615.0,,91.9,61.7,86.0,,,75.8
Colusa,8/18/2016,0.23,,605.0,,93.4,61.5,93.0,,,76.1
Colusa,8/19/2016,0.21,,583.0,,90.9,62.1,91.0,,,76.1
Colusa,8/20/2016,0.21,,579.0,,91.9,60.4,86.0,,,76.0
Colusa,8/21/2016,0.2,0.0,580.0,18.1,87.6,59.5,94.0,2.7,64.1,75.8
Colusa,8/22/2016,0.2,0.0,576.0,18.0,88.1,57.3,98.0,3.9,92.4,75.2
Colusa,8/23/2016,0.2,0.0,588.0,17.9,86.4,56.6,96.0,3.1,74.5,74.6
Colusa,8/24/2016,0.21,0.0,615.0,17.1,87.5,55.1,96.0,3.7,89.9,74.1
Colusa,8/25/2016,0.21,0.0,613.0,17.7,89.6,56.3,97.0,3.9,93.8,73.9
Colusa,8/26/2016,0.21,0.0,620.0,17.2,86.6,54.0,100.0,4.1,99.2,73.5
Colusa,8/27/2016,0.2,0.0,597.0,17.0,85.1,55.3,97.0,4.1,98.4,73.0
Colusa,8/28/2016,0.2,0.0,612.0,16.2,86.9,52.5,99.0,3.1,74.1,72.4
Colusa,8/29/2016,0.14,0.0,454.0,16.9,84.1,53.8,98.0,3.0,71.0,71.9
Colusa,8/30/2016,0.19,0.0,562.0,17.1,88.2,57.1,95.0,3.5,82.9,72.3
Colusa,8/31/2016,0.2,0.0,587.0,17.6,87.8,54.7,94.0,3.8,91.7,72.6
Colusa,9/1/2016,0.19,0.0,572.0,17.2,86.2,53.6,97.0,2.9,68.8,72.4
Colusa,9/2/2016,0.19,0.0,559.0,16.9,87.6,56.3,96.0,2.4,57.0,71.1
Colusa,9/3/2016,0.18,0.0,526.0,16.3,83.7,56.7,94.0,4.2,101.6,73.7
Colusa,9/4/2016,0.17,0.0,555.0,14.4,83.3,52.5,96.0,2.5,59.4,72.0
Colusa,9/5/2016,0.19,0.0,561.0,13.1,90.6,51.3,94.0,3.1,75.4,71.0
Colusa,9/6/2016,0.19,0.0,533.0,13.5,90.1,50.4,90.0,3.0,72.9,70.8
Colusa,9/7/2016,0.22,0.0,540.0,15.7,94.3,56.1,85.0,4.3,103.7,71.1
Colusa,9/8/2016,0.18,0.0,533.0,17.6,89.5,57.5,88.0,2.8,66.9,71.7
