County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Contra Costa,1/1/2010,0.02,0.0,103.0,11.4,59.2,43.0,100.0,2.8,68.2,49.4
Contra Costa,1/2/2010,0.01,0.0,64.0,11.9,56.1,43.0,100.0,3.8,90.7,50.3
Contra Costa,1/3/2010,0.01,0.01,61.0,10.1,52.0,36.5,100.0,3.5,83.0,48.7
Contra Costa,1/4/2010,0.01,0.0,68.0,9.5,49.7,36.1,100.0,3.1,74.1,49.3
Contra Costa,1/5/2010,0.01,0.0,71.0,8.9,48.1,34.3,100.0,3.0,73.0,47.5
Contra Costa,1/6/2010,0.01,0.0,67.0,9.3,46.5,39.5,100.0,3.1,74.6,47.7
Contra Costa,1/7/2010,0.0,0.0,43.0,9.2,44.0,37.3,100.0,2.9,70.4,47.4
Contra Costa,1/8/2010,0.0,0.02,42.0,9.7,46.3,42.0,100.0,3.5,84.4,47.9
Contra Costa,1/9/2010,0.0,0.0,55.0,9.9,47.0,41.5,100.0,3.1,74.0,48.2
Contra Costa,1/10/2010,0.0,0.0,45.0,9.4,44.7,38.6,100.0,3.3,80.1,48.1
Contra Costa,1/11/2010,0.0,0.0,39.0,9.9,46.8,42.1,100.0,4.2,99.8,48.1
Contra Costa,1/12/2010,0.03,0.17,126.0,13.0,65.0,42.8,100.0,5.8,140.3,49.7
Contra Costa,1/13/2010,0.05,0.03,193.0,12.2,63.7,45.4,98.0,5.5,132.5,51.9
Contra Costa,1/14/2010,0.05,0.0,209.0,10.5,61.1,40.6,100.0,3.9,93.1,50.2
Contra Costa,1/15/2010,0.01,0.0,48.0,10.4,47.6,32.0,100.0,3.3,79.6,49.3
Contra Costa,1/16/2010,0.0,0.0,61.0,10.5,50.2,43.5,100.0,3.3,79.4,49.5
Contra Costa,1/17/2010,0.01,0.02,59.0,11.4,55.2,45.8,100.0,5.8,138.9,50.0
Contra Costa,1/18/2010,0.03,0.32,112.0,11.5,58.9,46.2,99.0,13.0,312.0,50.6
Contra Costa,1/19/2010,0.02,0.65,99.0,10.7,53.8,44.7,96.0,11.6,279.2,49.8
Contra Costa,1/20/2010,0.02,0.61,77.0,10.2,55.6,43.1,95.0,13.7,328.2,49.2
Contra Costa,1/21/2010,0.0,0.75,24.0,9.3,47.4,41.8,99.0,6.9,164.7,47.6
Contra Costa,1/22/2010,0.02,0.1,118.0,8.8,51.3,38.7,97.0,5.2,126.0,47.2
Contra Costa,1/23/2010,0.04,0.27,196.0,9.5,56.0,36.7,99.0,4.8,114.2,47.3
