County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
El Dorado,1/1/2010,0.02,0.04,80,8.2,52.6,39.1,85.0,4.1,99.4,45.2
El Dorado,1/2/2010,0.05,0.0,185,7.7,57.3,39.3,89.0,4.3,102.4,45.8
El Dorado,1/3/2010,0.06,0.0,263,5.3,61.3,37.9,67.0,3.9,94.0,45.1
El Dorado,1/4/2010,0.07,0.0,267,4.6,62.9,37.7,62.0,5.4,128.7,45.1
El Dorado,1/5/2010,0.07,0.0,225,5.4,62.8,41.6,64.0,5.0,119.2,45.4
El Dorado,1/6/2010,0.06,0.0,216,6.9,57.7,43.4,72.0,4.1,98.9,46.0
El Dorado,1/7/2010,0.05,0.0,210,8.9,60.2,44.3,86.0,3.4,81.7,46.8
El Dorado,1/8/2010,0.03,0.04,119,9.2,58.2,45.4,83.0,4.2,101.0,47.2
El Dorado,1/9/2010,0.05,0.0,174,9.1,59.9,44.1,80.0,4.2,101.0,47.5
El Dorado,1/10/2010,0.06,0.0,220,8.8,63.6,44.0,80.0,4.3,104.0,48.0
El Dorado,1/11/2010,0.08,0.0,167,6.6,65.1,45.1,65.0,4.7,114.0,48.3
El Dorado,1/12/2010,0.03,0.87,68,8.7,57.4,42.4,92.0,6.8,163.9,48.4
El Dorado,1/13/2010,0.03,0.31,147,8.9,52.1,39.3,96.0,6.5,155.5,48.3
El Dorado,1/14/2010,0.06,0.0,253,6.7,57.9,35.8,81.0,4.9,116.5,47.1
El Dorado,1/15/2010,0.06,0.0,188,6.2,58.0,38.7,82.0,4.1,97.3,47.0
El Dorado,1/16/2010,0.08,0.0,233,5.2,59.6,36.5,61.0,4.9,117.7,46.8
El Dorado,1/17/2010,0.03,0.75,52,6.7,50.6,40.3,95.0,6.0,144.3,46.8
El Dorado,1/18/2010,0.01,1.14,18,8.2,48.2,38.9,94.0,9.3,223.9,46.0
El Dorado,1/19/2010,0.02,0.63,54,6.8,45.2,35.6,92.0,8.5,204.0,44.8
El Dorado,1/20/2010,0.01,1.1,21,6.6,44.3,32.9,94.0,9.2,221.9,43.1
El Dorado,1/21/2010,0.01,0.63,50,6.0,43.7,31.5,96.0,5.1,122.9,42.1
El Dorado,1/22/2010,0.01,0.59,79,6.1,36.0,30.5,96.0,3.1,73.9,41.0
El Dorado,1/23/2010,0.02,0.16,111,6.2,39.3,31.8,94.0,3.8,90.1,40.4
El Dorado,1/24/2010,0.02,0.16,73,5.9,43.2,31.4,91.0,5.2,125.7,39.9
El Dorado,1/25/2010,0.01,0.98,47,7.7,47.9,37.8,94.0,5.9,141.7,40.8
