County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Fresno,1/1/2010,0.02,0.0,141.0,8.0,57.3,29.8,100.0,1.4,33.4,50.5
Fresno,1/2/2010,0.03,0.01,100.0,3.0,32.5,,100.0,1.7,41.1,50.3
Fresno,1/3/2010,0.03,0.0,132.0,4.9,53.3,,100.0,1.1,26.0,51.0
Fresno,1/4/2010,0.02,0.01,53.0,5.3,38.3,,100.0,1.7,39.7,50.7
Fresno,1/5/2010,0.0,0.0,65.0,6.6,43.3,17.5,100.0,2.2,53.0,50.8
Fresno,1/6/2010,0.01,0.0,92.0,7.3,45.2,28.8,100.0,1.6,38.9,50.7
Fresno,1/7/2010,0.02,0.0,129.0,6.5,49.5,19.2,100.0,2.0,48.6,50.1
Fresno,1/8/2010,0.03,0.0,95.0,5.0,43.6,,100.0,1.5,35.4,50.0
Fresno,1/9/2010,0.04,0.01,67.0,1.9,29.3,,100.0,2.5,59.6,49.9
Fresno,1/10/2010,0.04,0.0,61.0,0.2,,,100.0,2.4,57.5,50.3
Fresno,1/11/2010,0.04,0.0,149.0,3.6,49.4,,100.0,4.5,108.0,50.4
Fresno,1/12/2010,0.03,0.0,131.0,11.4,68.0,32.0,98.0,7.1,170.9,51.2
Fresno,1/13/2010,0.08,0.07,268.0,11.1,63.1,42.6,96.0,6.9,165.8,52.1
Fresno,1/14/2010,0.06,0.0,275.0,9.7,58.1,38.7,99.0,2.8,68.2,51.8
Fresno,1/15/2010,0.04,0.01,198.0,10.1,57.7,37.8,99.0,3.1,74.0,51.6
Fresno,1/16/2010,0.06,0.0,217.0,9.7,67.4,40.5,98.0,3.0,71.1,52.0
Fresno,1/17/2010,0.02,0.44,66.0,10.7,60.2,39.0,96.0,7.0,168.7,51.9
Fresno,1/18/2010,0.03,0.28,111.0,10.7,61.2,47.1,98.0,9.7,233.9,52.1
Fresno,1/19/2010,0.02,0.0,85.0,9.5,52.0,43.0,95.0,8.4,200.7,51.7
Fresno,1/20/2010,0.02,0.0,85.0,9.6,55.3,42.6,91.0,9.0,217.1,51.0
Fresno,1/21/2010,0.01,0.01,63.0,9.3,49.7,40.1,96.0,1.7,40.2,50.6
Fresno,1/22/2010,0.03,0.0,153.0,8.4,50.6,36.4,97.0,1.2,28.9,50.3
Fresno,1/23/2010,0.06,0.0,287.0,7.8,58.5,31.3,100.0,2.6,61.9,49.8
Fresno,1/24/2010,0.03,0.0,156.0,8.8,52.5,33.3,99.0,3.2,75.8,49.4
Fresno,1/25/2010,0.03,0.0,140.0,9.8,54.0,38.1,98.0,6.0,145.1,49.8
Fresno,1/26/2010,0.02,0.0,109.0,10.7,59.8,45.4,96.0,4.1,99.2,50.5
Fresno,1/27/2010,0.05,0.0,242.0,10.4,58.0,39.5,98.0,1.0,24.4,51.3
Fresno,1/28/2010,0.06,0.0,259.0,9.5,59.8,34.6,100.0,1.1,26.8,51.1
Fresno,1/29/2010,0.07,0.0,265.0,9.4,66.4,37.8,98.0,3.2,76.0,51.0
Fresno,1/30/2010,0.07,0.13,307.0,10.4,60.7,41.6,95.0,1.1,26.4,51.6
Fresno,1/31/2010,0.06,0.0,280.0,9.2,59.0,35.0,97.0,2.2,51.9,51.4
Fresno,2/1/2010,0.05,0.0,239.0,9.9,59.8,37.5,98.0,1.1,26.4,51.0
Fresno,2/2/2010,0.04,0.0,201.0,10.9,61.3,42.9,97.0,1.0,24.2,51.4
Fresno,2/3/2010,0.04,0.0,211.0,10.5,59.1,39.1,99.0,1.1,26.4,51.8
Fresno,2/4/2010,0.03,0.02,131.0,10.4,62.4,42.7,98.0,1.0,24.1,52.0
Fresno,2/5/2010,0.02,0.09,114.0,12.2,58.4,48.8,97.0,3.7,87.7,52.6
