County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Humboldt,8/5/2019,0.11,0.0,559.0,16.0,67.5,59.4,90.0,7.6,182.4,67.1
Humboldt,8/6/2019,0.06,0.0,241.0,16.1,65.1,57.8,97.0,5.3,128.4,66.3
Humboldt,8/7/2019,0.08,0.07,295.0,16.4,65.3,57.7,97.0,4.8,115.8,66.2
Humboldt,8/8/2019,0.18,0.0,571.0,15.9,70.0,54.9,98.0,5.0,119.7,67.5
Humboldt,8/9/2019,0.18,0.0,569.0,15.3,72.1,51.2,98.0,5.2,124.0,67.7
Humboldt,8/10/2019,0.15,0.0,503.0,16.2,69.1,50.8,99.0,4.3,104.0,68.2
Humboldt,8/11/2019,0.18,0.0,603.0,16.5,69.7,51.2,99.0,5.6,134.3,68.3
Humboldt,8/12/2019,0.17,0.0,558.0,17.6,70.5,55.3,99.0,5.0,120.0,69.5
Humboldt,8/13/2019,0.18,0.0,568.0,17.3,71.2,56.4,98.0,5.5,130.9,70.2
Humboldt,8/14/2019,0.17,0.0,590.0,16.9,68.4,54.6,99.0,5.9,142.2,69.7
Humboldt,8/15/2019,0.17,0.0,566.0,15.4,68.9,52.0,99.0,5.6,134.9,67.9
Humboldt,8/16/2019,0.19,0.0,619.0,14.2,,,100.0,7.2,173.6,67.5
Humboldt,8/17/2019,0.18,0.0,625.0,14.3,66.4,49.5,96.0,6.1,146.1,67.2
Humboldt,8/18/2019,0.15,0.0,520.0,14.8,64.5,49.9,99.0,5.9,141.8,67.5
Humboldt,8/19/2019,0.15,0.0,506.0,15.1,68.4,49.6,99.0,4.9,116.7,67.4
Humboldt,8/20/2019,0.12,0.0,398.0,15.3,70.1,50.6,99.0,3.9,93.5,67.6
Humboldt,8/21/2019,0.15,0.02,466.0,17.1,77.6,52.4,99.0,5.2,125.5,67.5
Humboldt,8/22/2019,0.13,0.0,486.0,15.3,64.8,48.1,99.0,6.1,145.8,68.3
Humboldt,8/23/2019,0.16,0.0,588.0,13.8,67.3,46.3,99.0,4.7,111.9,66.9
Humboldt,8/24/2019,0.16,0.0,586.0,14.3,67.5,46.5,99.0,4.7,111.6,67.1
Humboldt,8/25/2019,0.16,0.0,571.0,14.6,68.8,45.6,99.0,4.3,104.2,67.2
