County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Imperial,1/1/2010,0.08,0.0,318.0,6.1,68.3,31.2,81.0,2.8,67.3,51.5
Imperial,1/2/2010,0.08,0.0,330.0,6.7,73.1,34.6,81.0,2.7,65.0,51.9
Imperial,1/3/2010,0.09,0.0,320.0,6.4,73.9,31.4,81.0,2.8,67.6,51.8
Imperial,1/4/2010,0.07,0.0,289.0,6.5,74.1,33.1,83.0,2.7,64.2,51.9
Imperial,1/5/2010,0.08,0.0,339.0,6.4,73.1,31.8,82.0,2.6,62.3,52.0
Imperial,1/6/2010,0.07,0.0,308.0,6.7,74.1,33.6,81.0,2.3,54.8,52.0
Imperial,1/7/2010,0.08,0.0,313.0,7.0,73.3,33.8,81.0,2.6,63.4,52.3
Imperial,1/8/2010,0.08,0.0,253.0,7.3,74.1,37.2,84.0,3.3,79.6,52.8
Imperial,1/9/2010,0.08,0.0,23.0,7.5,71.2,45.5,80.0,2.3,55.1,53.8
Imperial,1/10/2010,0.08,0.0,305.0,7.1,76.1,39.1,81.0,2.7,65.2,53.6
Imperial,1/11/2010,0.08,0.0,311.0,7.1,77.6,34.7,80.0,2.8,67.8,53.5
Imperial,1/12/2010,0.08,0.0,293.0,7.3,76.0,34.1,80.0,2.7,63.9,53.7
Imperial,1/13/2010,0.12,0.0,305.0,9.2,75.2,42.4,80.0,6.8,162.3,54.3
Imperial,1/14/2010,0.16,0.0,320.0,7.0,75.5,47.4,72.0,8.3,200.0,55.0
Imperial,1/15/2010,0.1,0.0,284.0,7.5,74.9,42.2,72.0,3.9,93.6,54.8
Imperial,1/16/2010,0.08,0.0,296.0,8.3,73.7,42.4,80.0,3.0,71.8,55.2
Imperial,1/17/2010,0.08,0.0,257.0,8.5,72.1,42.9,76.0,3.2,76.1,55.5
Imperial,1/18/2010,0.05,0.09,161.0,12.6,67.7,48.5,89.0,5.0,120.4,56.6
Imperial,1/19/2010,0.04,0.0,157.0,11.3,62.5,42.1,91.0,5.7,135.9,56.3
Imperial,1/20/2010,0.08,0.0,287.0,11.3,65.6,43.3,91.0,7.1,171.0,55.3
Imperial,1/21/2010,0.02,0.0,59.0,12.2,62.7,50.7,91.0,7.7,184.9,56.1
Imperial,1/22/2010,0.06,0.0,201.0,9.7,61.7,40.8,88.0,6.8,162.8,55.1
Imperial,1/23/2010,0.09,0.0,344.0,8.1,62.7,39.2,89.0,3.9,93.5,53.7
Imperial,1/24/2010,0.08,0.0,342.0,8.3,64.2,34.0,91.0,2.9,68.6,53.1
Imperial,1/25/2010,0.08,0.04,338.0,8.6,65.6,34.0,92.0,2.6,61.9,53.1
Imperial,1/26/2010,0.07,0.0,266.0,10.0,66.1,38.3,90.0,2.9,68.8,53.9
Imperial,1/27/2010,0.08,0.05,250.0,11.2,67.8,47.0,90.0,4.2,101.0,55.1
Imperial,1/28/2010,0.11,0.0,345.0,9.6,70.7,44.4,84.0,4.6,110.2,55.7
Imperial,1/29/2010,0.07,0.0,278.0,9.5,68.3,38.8,89.0,2.8,67.0,55.4
Imperial,1/30/2010,0.09,0.0,348.0,10.0,70.8,36.5,91.0,2.8,66.7,55.4
Imperial,1/31/2010,0.1,0.0,350.0,10.1,71.4,38.5,91.0,3.0,71.1,55.8
Imperial,2/1/2010,0.07,0.0,268.0,10.1,70.4,39.6,90.0,2.5,59.4,56.1
Imperial,2/2/2010,0.09,0.0,317.0,10.0,70.6,40.5,90.0,2.9,69.9,56.3
Imperial,2/3/2010,0.12,0.0,364.0,9.6,73.8,39.6,90.0,4.4,104.7,56.3
Imperial,2/4/2010,0.09,0.0,323.0,10.5,71.4,40.7,89.0,4.5,106.9,56.3
Imperial,2/5/2010,0.08,0.0,293.0,11.4,69.2,46.0,89.0,3.1,75.4,57.1
Imperial,2/6/2010,0.03,0.16,134.0,13.3,65.4,46.5,92.0,4.8,114.7,57.7
Imperial,2/7/2010,0.13,0.0,377.0,9.0,66.7,43.2,85.0,6.3,150.6,56.7
Imperial,2/8/2010,0.1,0.0,379.0,9.2,69.0,38.9,88.0,2.8,67.6,56.0
Imperial,2/9/2010,0.1,0.01,362.0,10.2,69.0,39.9,89.0,4.4,106.3,56.4
Imperial,2/10/2010,0.06,0.15,224.0,10.8,63.7,42.6,91.0,4.7,112.7,57.3
Imperial,2/11/2010,0.11,0.0,393.0,9.4,70.5,36.6,91.0,3.1,75.3,56.0
Imperial,2/12/2010,0.1,0.0,389.0,10.8,72.2,38.6,91.0,3.2,75.8,56.6
Imperial,2/13/2010,0.12,0.0,399.0,10.1,75.7,39.4,91.0,3.4,82.3,57.1
Imperial,2/14/2010,0.13,0.0,401.0,10.3,80.2,39.9,88.0,3.1,75.1,57.5
Imperial,2/15/2010,0.13,0.0,409.0,10.4,79.9,40.2,88.0,3.0,73.0,58.1
Imperial,2/16/2010,0.13,0.0,411.0,10.3,82.9,41.0,88.0,2.9,70.7,58.7
Imperial,2/17/2010,0.13,0.0,415.0,10.1,80.7,40.2,87.0,2.9,68.5,59.2
Imperial,2/18/2010,0.13,0.0,408.0,10.9,79.5,41.6,87.0,3.6,85.8,59.6
Imperial,2/19/2010,0.13,0.0,360.0,9.7,73.9,43.8,84.0,5.6,134.3,60.1
