County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Inyo,1/1/2010,0.04,0.0,185.0,4.4,48.0,22.1,90.0,2.1,51.4,37.6
Inyo,1/2/2010,0.06,0.0,266.0,3.7,60.0,19.5,92.0,2.2,52.5,37.3
Inyo,1/3/2010,0.06,0.0,267.0,3.1,57.5,18.1,82.0,2.2,53.0,37.1
Inyo,1/4/2010,0.06,0.0,269.0,3.2,58.0,19.0,84.0,2.0,48.1,36.8
Inyo,1/5/2010,0.06,0.0,226.0,3.2,59.7,19.2,80.0,2.0,47.6,36.7
Inyo,1/6/2010,0.06,0.0,240.0,4.2,63.1,23.8,78.0,2.1,50.7,36.9
Inyo,1/7/2010,0.07,0.0,254.0,5.3,63.2,28.8,86.0,2.5,61.0,37.9
Inyo,1/8/2010,0.05,0.0,215.0,5.9,56.6,28.1,88.0,2.3,55.3,38.6
Inyo,1/9/2010,0.04,0.0,194.0,6.0,53.8,25.3,93.0,1.7,41.3,38.9
Inyo,1/10/2010,0.07,0.0,270.0,5.8,63.8,26.7,92.0,2.5,61.2,39.4
Inyo,1/11/2010,0.06,0.0,226.0,5.1,58.5,24.5,87.0,2.3,54.3,39.5
Inyo,1/12/2010,0.06,0.0,228.0,4.8,63.8,25.3,86.0,3.0,71.0,39.6
Inyo,1/13/2010,0.07,0.12,250.0,5.3,55.0,30.3,90.0,5.3,127.9,39.9
Inyo,1/14/2010,0.07,0.0,298.0,3.3,56.9,24.4,68.0,4.3,103.1,39.8
Inyo,1/15/2010,0.06,0.0,245.0,3.4,53.1,19.2,83.0,2.2,53.3,39.0
Inyo,1/16/2010,0.04,0.0,200.0,3.5,51.8,20.2,82.0,2.1,49.7,38.4
Inyo,1/17/2010,0.05,0.0,198.0,3.9,48.1,19.7,87.0,2.6,63.2,37.9
Inyo,1/18/2010,0.01,0.52,68.0,5.8,44.1,21.1,95.0,5.0,118.8,37.9
Inyo,1/19/2010,0.03,0.06,145.0,5.5,42.9,25.9,95.0,5.4,129.8,38.1
Inyo,1/20/2010,0.01,0.21,83.0,5.6,39.8,27.5,95.0,8.0,192.5,38.0
Inyo,1/21/2010,0.0,0.08,63.0,5.0,31.9,23.0,95.0,2.8,68.3,37.7
Inyo,1/22/2010,0.03,0.27,154.0,4.9,42.1,21.1,95.0,2.5,59.3,37.5
Inyo,1/23/2010,0.05,0.0,299.0,3.3,41.2,14.2,87.0,2.4,58.0,37.1
Inyo,1/24/2010,0.05,0.0,280.0,3.4,39.9,14.2,85.0,2.2,52.0,36.5
Inyo,1/25/2010,0.04,0.0,199.0,4.2,41.2,20.3,92.0,2.0,47.2,36.4
Inyo,1/26/2010,0.04,0.0,233.0,4.5,43.7,19.5,91.0,2.0,47.1,36.6
Inyo,1/27/2010,0.08,0.0,308.0,4.7,51.1,23.9,92.0,4.1,97.8,37.0
Inyo,1/28/2010,0.07,0.0,319.0,3.7,52.5,24.5,79.0,3.2,75.7,37.4
Inyo,1/29/2010,0.04,0.0,174.0,4.4,47.8,25.3,88.0,1.9,45.4,37.6
Inyo,1/30/2010,0.07,0.0,317.0,4.5,51.0,21.7,90.0,2.5,60.2,37.6
Inyo,1/31/2010,0.07,0.0,310.0,3.8,50.0,21.4,85.0,2.1,51.1,37.5
Inyo,2/1/2010,0.03,0.0,156.0,4.3,44.2,21.4,86.0,1.6,38.9,37.3
Inyo,2/2/2010,0.05,0.0,213.0,5.0,48.7,26.0,90.0,1.8,42.6,37.5
Inyo,2/3/2010,0.07,0.0,329.0,4.3,55.0,22.8,88.0,2.3,55.2,37.9
Inyo,2/4/2010,0.04,0.0,180.0,4.7,50.5,21.4,86.0,2.8,66.0,38.0
Inyo,2/5/2010,0.02,0.05,107.0,6.7,44.7,33.2,91.0,4.3,103.0,38.5
Inyo,2/6/2010,0.07,0.0,247.0,7.0,50.5,34.0,93.0,5.9,141.3,39.5
Inyo,2/7/2010,0.06,0.0,161.0,5.2,52.9,33.2,75.0,5.9,140.5,40.2
Inyo,2/8/2010,0.08,0.0,348.0,4.1,52.6,23.5,84.0,2.3,54.3,39.9
Inyo,2/9/2010,0.07,0.0,255.0,5.1,49.8,27.6,95.0,3.7,89.8,40.1
Inyo,2/10/2010,0.08,0.0,352.0,4.3,53.5,22.4,94.0,2.4,57.4,40.0
Inyo,2/11/2010,0.08,0.0,302.0,4.3,55.1,24.6,83.0,2.5,59.6,40.0
Inyo,2/12/2010,0.09,0.0,359.0,4.6,59.8,21.2,90.0,2.6,62.3,40.2
Inyo,2/13/2010,0.1,0.0,357.0,4.3,64.5,23.3,86.0,2.2,53.0,40.7
Inyo,2/14/2010,0.1,0.0,365.0,3.9,65.5,23.8,80.0,2.2,52.9,41.2
Inyo,2/15/2010,0.1,0.0,378.0,3.7,66.8,24.8,75.0,2.3,54.2,41.5
Inyo,2/16/2010,0.1,0.0,359.0,4.4,65.6,26.7,77.0,2.1,50.1,41.7
Inyo,2/17/2010,0.11,0.0,378.0,4.7,65.5,27.3,83.0,2.2,53.6,42.2
Inyo,2/18/2010,0.11,0.0,380.0,4.1,65.1,27.1,82.0,2.4,57.4,42.6
Inyo,2/19/2010,0.1,0.0,334.0,4.4,61.6,28.2,76.0,2.8,67.0,42.8
Inyo,2/20/2010,0.1,0.0,380.0,4.9,57.5,33.2,77.0,3.3,79.1,43.5
Inyo,2/21/2010,0.11,0.0,357.0,3.6,57.2,24.8,73.0,5.3,127.2,43.4
Inyo,2/22/2010,0.1,0.0,421.0,2.6,49.9,23.3,53.0,5.6,134.4,43.0
Inyo,2/23/2010,0.08,0.0,289.0,2.6,51.8,17.8,71.0,2.8,66.3,41.9
Inyo,2/24/2010,0.03,0.07,140.0,5.6,44.2,29.6,93.0,2.9,68.6,41.8
Inyo,2/25/2010,0.11,0.0,419.0,4.1,60.0,22.6,93.0,1.9,45.2,41.6
Inyo,2/26/2010,0.12,0.0,254.0,4.9,56.8,26.6,82.0,8.3,198.6,42.1
Inyo,2/27/2010,0.08,0.26,275.0,6.8,50.3,31.8,94.0,7.0,167.5,42.8
Inyo,2/28/2010,0.12,0.0,407.0,5.4,56.8,31.2,93.0,3.8,92.3,43.0
Inyo,3/1/2010,0.1,0.0,332.0,5.2,56.7,27.3,86.0,4.0,96.0,43.2
Inyo,3/2/2010,0.1,0.0,328.0,5.3,57.8,28.3,87.0,4.8,115.5,43.6
Inyo,3/3/2010,0.14,0.01,419.0,4.3,58.7,21.4,88.0,5.8,138.1,43.4
Inyo,3/4/2010,0.13,0.0,104.0,3.0,53.5,33.7,78.0,3.9,94.2,43.8
Inyo,3/5/2010,0.12,0.0,391.0,3.5,53.7,20.1,82.0,4.8,116.3,43.0
Inyo,3/6/2010,0.09,0.0,280.0,4.4,52.5,31.3,69.0,3.6,86.1,43.4
Inyo,3/7/2010,0.08,0.0,276.0,5.0,54.3,32.2,74.0,3.6,86.5,43.7
Inyo,3/8/2010,0.15,0.0,478.0,3.9,60.3,23.5,87.0,6.4,153.3,43.6
Inyo,3/9/2010,0.15,0.0,472.0,2.3,50.4,29.0,42.0,7.5,180.5,43.6
Inyo,3/10/2010,0.14,0.0,479.0,2.6,48.9,25.2,62.0,6.9,166.1,43.0
Inyo,3/11/2010,0.14,0.0,481.0,2.5,58.5,17.5,74.0,4.1,98.8,42.7
Inyo,3/12/2010,0.13,0.0,431.0,3.8,59.4,20.3,79.0,3.9,93.3,43.3
Inyo,3/13/2010,0.16,0.0,504.0,3.0,50.1,32.2,76.0,8.1,195.4,44.0
Inyo,3/14/2010,0.16,0.0,510.0,2.0,62.3,20.9,56.0,5.2,126.0,43.3
Inyo,3/15/2010,0.15,0.0,483.0,2.7,66.5,19.9,68.0,3.5,83.5,43.8
Inyo,3/16/2010,0.16,0.0,487.0,4.0,68.6,25.2,72.0,3.5,84.3,44.7
Inyo,3/17/2010,0.15,0.0,474.0,4.3,69.9,30.8,73.0,2.3,55.4,45.8
Inyo,3/18/2010,0.16,0.0,427.0,4.1,67.0,29.1,74.0,5.6,134.2,46.3
Inyo,3/19/2010,0.18,0.0,528.0,2.2,72.2,30.8,55.0,5.0,120.1,46.1
Inyo,3/20/2010,0.16,0.0,432.0,3.3,69.9,24.8,67.0,3.7,89.9,46.2
Inyo,3/21/2010,0.16,0.0,503.0,3.3,69.3,27.7,71.0,3.0,71.6,46.9
Inyo,3/22/2010,0.17,0.0,537.0,3.0,72.2,24.5,57.0,3.9,93.5,47.2
Inyo,3/23/2010,0.17,0.0,542.0,2.9,68.1,30.8,48.0,4.0,97.1,47.8
Inyo,3/24/2010,0.17,0.0,452.0,3.1,65.6,23.6,67.0,4.7,111.8,47.5
Inyo,3/25/2010,0.19,0.0,667.0,2.6,66.2,39.3,37.0,6.7,161.6,47.8
Inyo,3/26/2010,0.19,0.0,560.0,2.4,64.2,33.3,42.0,6.4,152.7,47.8
Inyo,3/27/2010,0.17,0.0,565.0,2.6,63.2,31.4,52.0,5.0,120.4,48.0
Inyo,3/28/2010,0.16,0.0,469.0,2.9,64.2,25.1,57.0,3.6,87.2,48.3
Inyo,3/29/2010,0.19,0.0,7.0,4.0,69.1,,66.0,8.7,208.7,49.6
Inyo,3/30/2010,0.2,0.0,471.0,3.8,64.7,46.8,52.0,8.7,208.5,50.0
Inyo,3/31/2010,0.17,0.0,547.0,2.7,50.7,22.8,58.0,6.6,158.2,49.8
Inyo,4/1/2010,0.16,0.0,587.0,2.5,54.7,18.7,66.0,4.1,99.0,48.3
Inyo,4/2/2010,0.17,0.0,501.0,3.5,61.1,22.3,76.0,5.4,129.0,48.0
Inyo,4/3/2010,0.19,0.0,527.0,2.5,64.8,28.5,51.0,6.2,149.4,48.5
Inyo,4/4/2010,0.19,0.06,642.0,3.1,59.0,21.4,89.0,5.8,138.9,48.2
Inyo,4/5/2010,0.11,0.39,409.0,4.5,48.5,27.9,95.0,4.9,116.9,48.1
Inyo,4/6/2010,0.17,0.0,636.0,3.0,60.9,22.1,78.0,3.7,88.0,47.2
Inyo,4/7/2010,0.18,0.0,633.0,4.2,66.8,28.5,74.0,3.3,79.1,48.1
Inyo,4/8/2010,0.19,0.0,635.0,4.9,70.1,28.4,83.0,3.2,78.0,49.4
Inyo,4/9/2010,0.19,0.0,620.0,5.0,67.6,39.5,59.0,4.1,98.1,56.3
Inyo,4/10/2010,0.24,0.0,627.0,4.0,71.3,37.0,62.0,7.8,186.9,58.9
Inyo,4/11/2010,0.22,0.0,420.0,3.9,62.2,42.2,64.0,11.7,281.1,56.4
Inyo,4/12/2010,0.18,0.0,577.0,4.0,57.4,27.8,85.0,5.3,126.4,54.0
Inyo,4/13/2010,0.19,0.0,657.0,3.5,60.7,23.0,77.0,4.2,99.9,52.8
Inyo,4/14/2010,0.24,0.0,659.0,4.2,66.5,27.6,75.0,7.4,177.9,52.8
Inyo,4/15/2010,0.21,0.0,572.0,4.6,70.4,31.9,70.0,5.3,126.3,52.9
Inyo,4/16/2010,0.22,0.0,653.0,4.3,74.2,35.2,60.0,3.6,86.9,53.8
Inyo,4/17/2010,0.24,0.0,665.0,3.9,77.3,29.7,72.0,4.8,115.8,54.2
Inyo,4/18/2010,0.23,0.0,602.0,3.6,75.3,32.3,63.0,4.1,99.3,54.4
Inyo,4/19/2010,0.23,0.0,582.0,5.2,77.8,31.6,72.0,5.1,122.6,54.4
Inyo,4/20/2010,0.2,0.0,355.0,3.3,57.5,36.3,72.0,8.8,210.4,54.7
Inyo,4/21/2010,0.14,0.09,479.0,5.1,51.8,32.2,90.0,6.1,147.2,52.9
Inyo,4/22/2010,0.1,0.03,333.0,5.8,52.6,33.2,93.0,4.0,94.9,52.0
Inyo,4/23/2010,0.25,0.0,684.0,4.9,70.4,37.8,65.0,6.7,160.5,52.1
Inyo,4/24/2010,0.23,0.0,690.0,4.3,77.9,36.0,64.0,3.5,84.3,53.2
Inyo,4/25/2010,0.25,0.0,681.0,4.6,75.0,36.9,66.0,4.7,113.0,54.6
Inyo,4/26/2010,0.24,0.0,666.0,5.1,78.1,32.6,74.0,3.8,90.3,55.1
Inyo,4/27/2010,0.24,0.0,471.0,5.3,75.3,45.2,61.0,7.1,169.7,55.7
Inyo,4/28/2010,0.24,0.0,664.0,3.4,63.5,38.1,50.0,7.0,168.8,55.2
Inyo,4/29/2010,0.14,0.0,398.0,2.9,52.3,32.2,56.0,6.3,150.6,53.7
Inyo,4/30/2010,0.22,0.0,642.0,3.6,60.9,27.8,67.0,6.7,159.7,52.1
Inyo,5/1/2010,0.24,0.0,668.0,4.0,72.4,34.2,55.0,5.8,140.0,55.5
Inyo,5/2/2010,0.28,0.0,716.0,2.7,70.6,43.7,38.0,8.1,194.3,59.8
Inyo,5/3/2010,0.25,0.0,710.0,4.3,77.3,30.0,62.0,4.2,100.5,58.0
Inyo,5/4/2010,0.26,0.0,704.0,4.9,81.9,38.8,64.0,3.6,86.4,58.2
Inyo,5/5/2010,0.28,0.0,713.0,5.0,75.4,37.4,72.0,6.0,144.5,58.4
Inyo,5/6/2010,0.24,0.0,713.0,2.7,66.5,39.8,29.0,6.3,150.3,57.4
Inyo,5/7/2010,0.23,0.0,718.0,3.8,71.7,26.9,69.0,3.8,90.1,56.6
Inyo,5/8/2010,0.26,0.0,717.0,4.1,74.9,34.9,67.0,5.2,123.9,57.0
Inyo,5/9/2010,0.18,0.0,466.0,3.8,66.1,30.2,70.0,6.2,150.0,56.4
Inyo,5/10/2010,0.23,0.0,670.0,3.8,68.0,28.6,64.0,5.8,138.5,55.2
Inyo,5/11/2010,0.23,0.0,671.0,3.6,61.1,32.0,52.0,7.1,170.8,54.7
Inyo,5/12/2010,0.24,0.0,725.0,4.4,69.9,31.8,73.0,4.5,107.1,54.8
Inyo,5/13/2010,0.21,0.0,620.0,5.0,69.5,32.7,70.0,3.1,75.5,55.9
Inyo,5/14/2010,0.23,0.0,705.0,5.6,76.6,40.7,65.0,2.9,68.5,57.1
Inyo,5/15/2010,0.25,0.0,715.0,5.9,78.8,38.3,74.0,3.5,82.8,58.1
Inyo,5/16/2010,0.23,0.0,594.0,6.6,79.3,39.5,81.0,4.2,99.8,58.8
Inyo,5/17/2010,0.15,0.0,332.0,6.2,70.6,43.9,61.0,5.0,121.0,59.0
Inyo,5/18/2010,0.23,0.0,725.0,5.1,73.9,34.4,73.0,3.1,75.3,58.2
Inyo,5/19/2010,0.25,0.0,699.0,6.5,80.0,35.6,79.0,3.8,91.6,59.0
Inyo,5/20/2010,0.26,0.0,732.0,5.1,81.1,40.3,63.0,3.8,90.1,60.3
Inyo,5/21/2010,0.28,0.0,717.0,3.9,75.5,36.9,66.0,6.1,146.5,60.2
Inyo,5/22/2010,0.25,0.0,763.0,2.9,61.6,23.7,65.0,6.7,161.6,58.7
Inyo,5/23/2010,0.17,0.0,463.0,3.3,58.3,36.3,55.0,6.9,164.9,57.3
Inyo,5/24/2010,0.22,0.0,724.0,4.0,66.7,27.7,73.0,3.2,76.7,56.5
Inyo,5/25/2010,0.26,0.0,373.0,4.5,72.5,56.7,78.0,7.5,179.5,58.1
Inyo,5/26/2010,0.27,0.0,739.0,4.4,73.3,38.8,67.0,5.7,136.1,58.5
Inyo,5/27/2010,0.27,0.0,775.0,3.6,69.8,29.6,72.0,6.6,159.1,58.6
Inyo,5/28/2010,0.25,0.0,740.0,3.5,66.7,35.1,64.0,5.9,141.7,58.5
Inyo,5/29/2010,0.25,0.0,760.0,4.4,78.0,31.2,74.0,3.5,84.0,58.6
Inyo,5/30/2010,0.25,0.0,737.0,5.2,81.4,34.0,65.0,3.1,74.0,59.8
Inyo,5/31/2010,0.27,0.0,663.0,5.9,86.0,41.0,67.0,4.3,104.2,61.0
Inyo,6/1/2010,0.25,0.0,622.0,7.7,86.0,54.5,57.0,3.8,92.3,62.5
Inyo,6/2/2010,0.26,0.0,716.0,8.5,88.7,45.1,80.0,3.1,74.4,63.5
Inyo,6/3/2010,0.26,0.0,643.0,8.5,88.0,48.3,73.0,3.9,93.3,64.9
Inyo,6/4/2010,0.28,0.0,675.0,10.5,91.0,54.2,71.0,4.1,99.3,66.8
Inyo,6/5/2010,0.28,0.0,725.0,10.6,98.3,52.3,71.0,3.0,71.9,67.1
Inyo,6/6/2010,0.3,0.0,751.0,10.3,97.6,53.6,78.0,3.7,88.6,68.0
Inyo,6/7/2010,0.21,0.0,523.0,9.9,92.2,51.3,72.0,3.4,81.2,68.1
