County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Kern,1/1/2010,0.03,0.01,156.0,9.9,55.0,35.8,100.0,2.8,67.0,50.6
Kern,1/2/2010,0.03,0.01,185.0,9.9,57.5,37.2,100.0,3.2,77.0,50.8
Kern,1/3/2010,0.05,0.01,231.0,10.0,57.1,38.3,100.0,3.0,72.4,51.6
Kern,1/4/2010,0.0,0.01,65.0,8.9,44.6,36.0,100.0,2.5,59.0,50.9
Kern,1/5/2010,0.01,0.0,91.0,8.9,46.4,40.4,100.0,3.5,83.2,50.9
Kern,1/6/2010,0.02,0.0,121.0,8.4,47.9,36.5,100.0,3.2,76.9,50.8
Kern,1/7/2010,0.0,0.01,67.0,8.3,43.1,37.4,100.0,2.9,69.8,50.3
Kern,1/8/2010,0.01,0.01,88.0,8.7,45.1,36.7,100.0,3.0,71.5,50.4
Kern,1/9/2010,0.01,0.01,88.0,8.8,45.7,34.3,100.0,3.5,83.8,50.1
Kern,1/10/2010,0.01,0.0,73.0,9.7,45.9,41.4,100.0,2.9,69.2,50.6
Kern,1/11/2010,0.03,0.01,184.0,10.4,58.6,40.9,100.0,2.9,70.3,51.1
Kern,1/12/2010,0.07,0.03,238.0,10.4,71.0,40.1,100.0,3.4,82.4,51.6
Kern,1/13/2010,0.06,0.18,262.0,12.0,63.1,43.3,100.0,4.3,103.1,52.5
Kern,1/14/2010,0.06,0.01,261.0,10.2,60.1,36.2,100.0,2.8,68.0,52.0
Kern,1/15/2010,0.04,0.0,204.0,10.5,61.1,36.9,100.0,2.9,68.9,51.5
Kern,1/16/2010,0.07,0.01,256.0,10.9,68.3,43.0,100.0,3.3,79.9,52.2
Kern,1/17/2010,0.02,0.3,109.0,10.7,59.3,40.7,100.0,2.8,67.8,52.1
Kern,1/18/2010,0.03,0.43,99.0,11.3,63.5,46.0,100.0,6.0,143.0,52.5
Kern,1/19/2010,0.02,0.32,73.0,9.9,57.4,41.3,96.0,5.7,137.2,51.9
Kern,1/20/2010,0.02,0.12,66.0,10.0,55.8,41.4,95.0,6.3,150.9,51.7
Kern,1/21/2010,0.01,0.39,45.0,9.6,55.7,40.0,96.0,5.8,140.2,51.0
Kern,1/22/2010,0.04,0.21,175.0,9.2,52.3,37.8,99.0,3.8,90.4,50.7
Kern,1/23/2010,0.07,0.01,322.0,8.8,58.4,35.5,100.0,2.6,62.1,49.9
