County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Kings,1/1/2010,0.03,0.01,146.0,9.0,56.4,36.6,100.0,2.7,65.4,50.7
Kings,1/2/2010,0.04,0.01,100.0,4.5,49.1,38.2,89.0,3.1,73.9,51.1
Kings,1/3/2010,0.03,0.0,170.0,9.2,52.5,34.9,100.0,3.9,93.8,52.2
Kings,1/4/2010,0.01,0.0,53.0,7.5,44.0,35.8,100.0,2.7,64.1,51.1
Kings,1/5/2010,0.01,0.0,59.0,7.7,43.1,40.4,89.0,3.0,72.3,51.1
Kings,1/6/2010,0.01,0.0,79.0,7.2,44.6,38.8,86.0,2.9,68.6,50.8
Kings,1/7/2010,0.02,0.0,112.0,7.7,46.9,39.3,95.0,3.1,75.2,50.5
Kings,1/8/2010,0.02,0.0,135.0,8.4,51.0,36.3,99.0,3.4,82.2,50.6
Kings,1/9/2010,0.01,0.0,77.0,8.0,45.0,35.8,99.0,3.7,89.3,50.2
Kings,1/10/2010,0.01,0.0,63.0,7.8,45.5,41.3,91.0,3.0,71.8,51.0
Kings,1/11/2010,0.02,0.0,128.0,8.7,50.3,41.0,92.0,4.4,105.6,51.1
Kings,1/12/2010,0.03,0.1,102.0,9.8,63.5,39.2,89.0,3.6,86.7,51.1
Kings,1/13/2010,0.07,0.28,279.0,11.5,63.2,42.9,99.0,6.9,166.4,53.1
Kings,1/14/2010,0.04,0.01,220.0,10.0,56.8,37.6,100.0,3.7,88.8,52.0
Kings,1/15/2010,0.04,0.01,189.0,9.6,55.8,39.7,100.0,3.8,91.4,52.0
Kings,1/16/2010,0.05,0.0,229.0,10.4,65.5,39.5,100.0,3.8,92.1,52.4
Kings,1/17/2010,0.02,0.43,76.0,10.6,57.6,41.8,100.0,5.6,134.1,52.2
Kings,1/18/2010,0.03,0.46,101.0,10.5,60.0,46.7,91.0,6.6,158.8,52.5
Kings,1/19/2010,0.01,0.96,78.0,10.5,53.6,42.7,100.0,8.4,200.4,51.1
Kings,1/20/2010,0.01,0.5,55.0,9.9,51.9,42.0,100.0,10.3,247.0,50.2
Kings,1/21/2010,0.01,0.37,54.0,8.8,49.2,38.4,98.0,7.5,179.8,49.5
Kings,1/22/2010,0.03,0.01,148.0,8.8,49.7,37.9,100.0,6.0,142.9,49.6
Kings,1/23/2010,0.06,0.0,318.0,8.5,55.9,31.1,100.0,2.7,65.8,48.8
Kings,1/24/2010,0.04,0.0,188.0,9.2,53.2,33.3,100.0,2.5,59.6,48.5
Kings,1/25/2010,0.01,0.01,75.0,10.3,52.9,32.0,100.0,5.9,142.4,49.9
Kings,1/26/2010,0.03,0.02,111.0,10.3,58.9,44.3,89.0,5.1,122.6,50.5
Kings,1/27/2010,0.05,0.0,203.0,10.3,57.9,43.5,89.0,5.1,122.1,51.8
Kings,1/28/2010,0.07,0.01,306.0,9.4,59.6,37.6,90.0,2.2,52.7,51.4
Kings,1/29/2010,0.08,0.0,294.0,9.7,65.9,39.1,90.0,4.5,107.1,51.2
Kings,1/30/2010,0.08,0.01,279.0,9.7,61.2,42.1,88.0,5.5,131.1,52.2
Kings,1/31/2010,0.07,0.0,293.0,8.8,59.8,35.0,89.0,3.6,85.7,51.1
Kings,2/1/2010,0.05,0.0,219.0,9.6,57.2,38.5,90.0,2.7,65.9,50.8
Kings,2/2/2010,0.04,0.0,216.0,10.5,58.2,42.4,90.0,3.1,74.4,51.7
Kings,2/3/2010,0.03,0.01,152.0,10.2,55.5,40.8,91.0,3.2,76.4,51.8
Kings,2/4/2010,0.04,0.07,175.0,10.9,60.5,40.9,92.0,5.0,121.0,51.6
Kings,2/5/2010,0.03,0.11,148.0,12.4,59.2,49.7,91.0,4.4,104.9,53.2
Kings,2/6/2010,0.01,0.18,74.0,11.3,54.5,44.9,92.0,4.3,104.1,53.4
Kings,2/7/2010,0.03,0.0,169.0,10.3,54.1,39.6,92.0,3.6,87.5,52.6
Kings,2/8/2010,0.04,0.0,179.0,11.1,57.2,47.8,93.0,2.0,48.3,53.7
Kings,2/9/2010,0.03,0.16,149.0,10.0,53.7,40.0,93.0,6.7,159.6,52.9
Kings,2/10/2010,0.07,0.0,290.0,9.6,58.5,40.8,93.0,3.6,87.2,52.3
Kings,2/11/2010,0.06,0.0,288.0,9.3,58.2,37.7,92.0,2.4,58.5,52.0
Kings,2/12/2010,0.09,0.01,365.0,9.5,62.6,36.3,93.0,2.4,57.5,52.0
Kings,2/13/2010,0.08,0.0,353.0,10.3,64.0,37.2,91.0,2.4,58.4,52.4
Kings,2/14/2010,0.08,0.01,339.0,11.3,64.4,41.5,93.0,3.2,76.2,53.2
Kings,2/15/2010,0.07,0.0,287.0,11.9,64.4,44.2,92.0,2.6,62.7,54.1
Kings,2/16/2010,0.09,0.0,343.0,12.0,65.2,42.6,92.0,2.7,64.9,54.3
Kings,2/17/2010,0.09,0.0,346.0,12.2,68.7,40.9,93.0,2.5,59.2,54.7
Kings,2/18/2010,0.09,0.01,430.0,14.9,67.7,52.4,92.0,3.4,80.8,56.0
Kings,2/19/2010,0.09,0.0,279.0,11.1,64.5,51.1,92.0,5.4,129.2,56.2
Kings,2/20/2010,0.08,0.12,319.0,11.2,63.1,49.3,90.0,5.5,132.4,56.4
Kings,2/21/2010,0.05,0.0,220.0,10.7,56.9,44.6,92.0,4.6,109.7,55.7
Kings,2/22/2010,0.06,0.0,251.0,9.5,57.8,40.9,92.0,5.5,132.1,55.1
Kings,2/23/2010,0.03,0.14,177.0,9.5,55.5,33.8,93.0,4.1,99.6,53.0
Kings,2/24/2010,0.05,0.16,240.0,12.6,62.9,47.2,94.0,5.8,138.5,54.3
Kings,2/25/2010,0.05,0.0,224.0,11.2,60.0,41.3,93.0,3.1,74.2,54.8
Kings,2/26/2010,0.06,0.3,215.0,11.7,66.8,41.4,93.0,5.6,134.9,54.5
Kings,2/27/2010,0.04,0.27,182.0,11.3,55.5,44.3,93.0,6.8,162.1,55.0
Kings,2/28/2010,0.09,0.0,347.0,11.1,62.5,42.1,93.0,3.1,75.1,54.8
Kings,3/1/2010,0.09,0.0,356.0,11.7,66.3,41.0,93.0,2.8,67.0,55.3
Kings,3/2/2010,0.05,0.25,220.0,11.9,60.9,45.0,92.0,4.2,101.0,56.0
Kings,3/3/2010,0.07,0.04,298.0,9.9,59.7,39.0,92.0,6.3,151.9,55.0
Kings,3/4/2010,0.1,0.0,414.0,8.6,56.6,39.2,92.0,4.6,110.1,54.9
Kings,3/5/2010,0.08,0.0,369.0,8.7,57.4,35.2,90.0,2.9,68.8,54.1
Kings,3/6/2010,0.04,0.0,195.0,10.2,56.9,44.0,90.0,5.0,119.5,54.9
Kings,3/7/2010,0.12,0.0,470.0,9.7,65.0,36.2,91.0,3.7,89.9,55.0
Kings,3/8/2010,0.07,0.0,242.0,9.2,59.0,40.5,90.0,5.2,125.3,55.7
Kings,3/9/2010,0.13,0.0,440.0,7.1,56.4,36.8,87.0,7.8,187.8,54.8
Kings,3/10/2010,0.12,0.01,435.0,7.1,56.3,35.8,88.0,6.1,145.6,54.2
Kings,3/11/2010,0.12,0.0,496.0,7.5,60.6,33.0,88.0,2.7,64.9,53.7
Kings,3/12/2010,0.12,0.0,414.0,9.8,67.0,34.5,90.0,5.1,122.0,53.8
Kings,3/13/2010,0.16,0.0,525.0,7.4,59.0,40.7,89.0,11.6,278.5,55.2
Kings,3/14/2010,0.14,0.0,522.0,6.7,62.3,33.2,81.0,4.4,106.3,54.4
Kings,3/15/2010,0.14,0.0,517.0,8.9,70.3,37.1,86.0,3.6,86.4,54.5
Kings,3/16/2010,0.15,0.0,510.0,10.4,77.5,39.3,90.0,3.1,75.4,55.6
Kings,3/17/2010,0.16,0.0,486.0,11.5,76.2,43.6,90.0,5.2,124.4,57.2
Kings,3/18/2010,0.18,0.0,524.0,10.4,74.9,42.6,89.0,6.3,152.1,57.4
Kings,3/19/2010,0.17,0.0,543.0,7.7,74.6,40.4,83.0,4.5,108.3,57.4
Kings,3/20/2010,0.16,0.0,510.0,9.3,78.3,38.7,89.0,3.3,79.5,56.8
Kings,3/21/2010,0.13,0.0,398.0,9.9,72.4,42.9,87.0,4.3,103.0,57.1
