County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Lassen,4/27/2022,0.15,0.0,598.0,5.6,65.2,45.9,46.0,8.2,195.7,54.4
Lassen,4/28/2022,0.15,0.0,456.0,5.4,56.1,28.6,75.0,7.3,174.4,50.2
Lassen,4/29/2022,0.19,0.0,668.0,5.3,64.4,23.5,89.0,4.0,95.1,50.3
Lassen,4/30/2022,0.23,0.0,607.0,7.1,67.1,38.4,71.0,7.5,179.7,53.5
Lassen,5/1/2022,0.19,0.02,701.0,5.5,61.7,30.9,81.0,4.7,111.7,53.3
Lassen,5/2/2022,0.19,0.0,479.0,4.8,57.4,26.9,86.0,10.1,241.3,49.9
Lassen,5/3/2022,0.19,0.0,703.0,5.6,62.1,27.7,83.0,3.6,87.4,50.3
Lassen,5/4/2022,0.23,0.0,704.0,6.8,75.4,29.6,88.0,4.2,99.7,54.0
Lassen,5/5/2022,0.23,0.0,527.0,7.1,66.6,46.3,67.0,9.4,225.7,54.9
Lassen,5/6/2022,0.26,0.0,659.0,8.4,64.8,49.4,67.0,12.4,296.9,55.2
Lassen,5/7/2022,0.23,0.0,694.0,5.6,58.3,39.5,60.0,10.7,257.8,53.3
Lassen,5/8/2022,0.13,0.02,470.0,4.3,45.1,28.7,87.0,10.5,251.8,48.7
Lassen,5/9/2022,0.13,0.0,542.0,5.0,47.1,27.2,96.0,6.1,145.6,47.5
Lassen,5/10/2022,0.08,0.13,385.0,5.3,44.2,28.9,96.0,4.4,105.1,46.9
Lassen,5/11/2022,0.14,0.0,536.0,4.9,55.0,26.8,92.0,4.1,99.4,47.3
Lassen,5/12/2022,0.18,0.0,551.0,5.4,59.2,30.9,86.0,5.9,141.1,48.6
Lassen,5/13/2022,0.22,0.0,643.0,7.2,68.2,26.5,90.0,5.8,140.0,51.1
Lassen,5/14/2022,0.23,0.0,681.0,8.8,76.4,36.4,90.0,4.6,109.7,55.5
Lassen,5/15/2022,0.21,0.0,508.0,8.1,77.2,35.2,90.0,5.9,141.4,56.6
Lassen,5/16/2022,0.25,0.0,708.0,7.6,75.0,34.9,92.0,5.6,134.4,57.8
Lassen,5/17/2022,0.24,0.0,748.0,6.4,80.7,30.3,85.0,3.0,73.0,58.0
Lassen,5/18/2022,0.25,0.0,712.0,7.7,82.5,33.6,84.0,4.0,96.7,59.9
Lassen,5/19/2022,0.28,0.0,727.0,6.3,67.9,36.7,71.0,8.8,211.6,59.3
Lassen,5/20/2022,0.22,0.0,762.0,4.3,58.4,29.8,70.0,6.3,150.6,54.6
Lassen,5/21/2022,0.23,0.0,758.0,4.9,67.7,25.6,76.0,3.6,85.4,55.3
Lassen,5/22/2022,0.23,0.0,701.0,6.3,72.5,30.5,84.0,3.9,93.8,57.4
Lassen,5/23/2022,0.24,0.0,737.0,6.8,77.8,32.1,86.0,3.8,90.4,58.8
Lassen,5/24/2022,0.23,0.0,734.0,7.9,80.9,33.8,86.0,2.9,69.7,60.7
Lassen,5/25/2022,0.27,0.0,730.0,9.1,84.9,37.1,89.0,4.1,98.6,62.4
Lassen,5/26/2022,0.27,0.0,820.0,7.5,81.3,45.7,83.0,8.1,194.7,64.0
Lassen,5/27/2022,0.19,0.0,453.0,8.1,72.8,37.5,88.0,6.9,164.6,60.1
Lassen,5/28/2022,0.21,0.0,610.0,8.4,64.6,42.8,76.0,8.7,209.5,59.6
Lassen,5/29/2022,0.22,0.0,675.0,5.5,61.6,35.0,72.0,7.4,177.2,56.8
Lassen,5/30/2022,0.22,0.0,748.0,5.1,64.4,33.0,67.0,4.4,105.6,57.7
Lassen,5/31/2022,0.23,0.0,770.0,5.8,68.0,27.0,88.0,3.6,87.6,58.0
Lassen,6/1/2022,0.25,0.0,703.0,7.1,79.9,29.8,82.0,4.3,102.8,59.6
Lassen,6/2/2022,0.26,0.0,662.0,8.2,77.4,44.6,80.0,5.8,139.8,62.1
Lassen,6/3/2022,0.22,0.0,541.0,8.7,70.8,41.6,81.0,6.2,149.3,61.4
Lassen,6/4/2022,0.18,0.0,485.0,8.6,64.9,51.4,70.0,7.6,181.3,60.8
Lassen,6/5/2022,0.18,0.01,537.0,10.7,68.8,44.2,92.0,6.0,144.2,61.7
Lassen,6/6/2022,0.26,0.0,773.0,8.7,75.6,34.5,95.0,4.1,98.6,61.6
Lassen,6/7/2022,0.25,0.0,704.0,8.2,82.3,33.0,90.0,4.0,97.0,62.4
Lassen,6/8/2022,0.25,0.0,658.0,10.6,79.9,45.2,85.0,4.4,105.1,64.4
Lassen,6/9/2022,0.24,0.0,680.0,11.8,83.9,43.2,94.0,3.1,74.1,65.9
Lassen,6/10/2022,0.29,0.0,735.0,11.4,85.1,46.7,92.0,5.4,129.2,67.0
Lassen,6/11/2022,0.31,0.0,766.0,10.7,81.0,50.6,73.0,7.1,169.3,66.8
Lassen,6/12/2022,0.23,0.26,625.0,12.3,70.8,46.9,87.0,8.8,210.9,66.3
Lassen,6/13/2022,0.22,0.0,774.0,7.2,62.4,34.9,89.0,3.9,93.8,63.4
Lassen,6/14/2022,0.24,0.0,786.0,6.7,72.5,30.3,95.0,3.4,81.7,61.9
Lassen,6/15/2022,0.27,0.0,774.0,7.4,81.6,32.2,92.0,4.6,110.8,62.5
Lassen,6/16/2022,0.3,0.0,781.0,7.1,75.7,40.9,71.0,6.2,148.0,63.7
Lassen,6/17/2022,0.28,0.0,810.0,5.3,66.6,40.4,66.0,6.9,165.7,62.6
Lassen,6/18/2022,0.15,0.02,504.0,7.4,60.5,32.8,94.0,4.6,110.8,60.7
Lassen,6/19/2022,0.25,0.0,782.0,7.4,67.7,30.6,95.0,4.3,103.8,59.8
Lassen,6/20/2022,0.23,0.0,713.0,7.6,73.8,31.5,94.0,3.2,77.1,60.6
Lassen,6/21/2022,0.27,0.0,776.0,8.5,81.2,34.0,85.0,3.3,78.4,62.2
Lassen,6/22/2022,0.26,0.0,712.0,9.4,87.6,36.6,88.0,3.6,86.3,64.0
Lassen,6/23/2022,0.23,0.0,597.0,11.4,84.1,49.7,82.0,4.5,108.1,65.9
Lassen,6/24/2022,0.27,0.0,694.0,10.1,88.1,43.5,85.0,4.0,96.0,66.4
Lassen,6/25/2022,0.26,0.0,632.0,8.8,90.1,41.8,84.0,4.7,112.5,66.6
Lassen,6/26/2022,0.3,0.0,766.0,9.3,91.9,43.6,83.0,4.5,109.1,67.1
Lassen,6/27/2022,0.31,0.0,778.0,7.5,88.3,36.6,81.0,4.8,116.2,66.5
Lassen,6/28/2022,0.32,0.0,772.0,7.9,84.2,39.2,71.0,6.3,151.3,66.0
Lassen,6/29/2022,0.3,0.0,784.0,7.3,83.8,35.3,84.0,5.1,122.6,65.4
Lassen,6/30/2022,0.31,0.0,784.0,6.7,82.0,37.9,72.0,5.4,128.7,65.0
Lassen,7/1/2022,0.29,0.0,787.0,6.5,84.1,33.0,78.0,4.6,111.1,64.4
Lassen,7/2/2022,0.31,0.0,796.0,6.2,81.1,33.1,80.0,6.0,142.8,64.1
Lassen,7/3/2022,0.26,0.0,663.0,6.2,77.5,33.4,78.0,6.4,154.2,63.5
Lassen,7/4/2022,0.23,0.0,565.0,8.6,77.7,41.4,74.0,5.4,128.7,64.4
Lassen,7/5/2022,0.18,0.0,488.0,11.3,78.8,49.3,85.0,4.7,112.6,64.9
Lassen,7/6/2022,0.29,0.0,889.0,11.0,81.7,50.9,92.0,8.7,209.2,67.2
Lassen,7/7/2022,0.3,0.0,758.0,9.4,84.2,41.3,92.0,5.9,141.0,66.2
Lassen,7/8/2022,0.3,0.0,760.0,8.6,86.1,38.8,83.0,5.4,130.4,65.9
Lassen,7/9/2022,0.3,0.0,760.0,8.4,85.3,39.3,83.0,5.5,132.7,66.2
Lassen,7/10/2022,0.27,0.0,760.0,9.7,92.4,39.0,81.0,2.9,69.7,66.6
Lassen,7/11/2022,0.28,0.0,742.0,11.7,92.2,43.6,78.0,3.4,81.7,68.2
Lassen,7/12/2022,0.31,0.0,715.0,10.9,96.4,48.8,77.0,4.9,117.7,69.5
Lassen,7/13/2022,0.32,0.0,750.0,8.4,89.9,46.9,66.0,6.1,147.4,69.0
Lassen,7/14/2022,0.3,0.0,754.0,8.0,91.9,40.7,73.0,5.5,131.2,67.9
Lassen,7/15/2022,0.31,0.0,765.0,7.4,92.5,39.8,66.0,5.0,120.6,67.7
Lassen,7/16/2022,0.32,0.0,738.0,9.7,93.5,43.3,70.0,5.8,139.1,67.8
Lassen,7/17/2022,0.33,0.0,725.0,10.0,93.3,43.7,75.0,6.6,158.8,68.4
Lassen,7/18/2022,0.32,0.0,688.0,10.1,92.0,46.9,67.0,6.7,160.7,68.4
Lassen,7/19/2022,0.32,0.0,734.0,9.7,91.1,46.1,76.0,5.5,131.9,68.8
Lassen,7/20/2022,0.31,0.0,745.0,7.9,93.2,42.1,71.0,5.1,121.9,68.3
Lassen,7/21/2022,0.32,0.0,748.0,7.8,93.7,40.8,73.0,5.6,135.0,67.8
Lassen,7/22/2022,0.31,0.0,752.0,6.7,91.0,38.4,66.0,5.4,129.1,67.3
Lassen,7/23/2022,0.27,0.0,747.0,7.4,92.1,35.9,67.0,3.6,86.2,66.5
Lassen,7/24/2022,0.27,0.0,713.0,9.6,92.7,39.8,74.0,3.1,73.9,67.1
Lassen,7/25/2022,0.27,0.0,683.0,10.7,96.5,44.6,71.0,3.4,80.9,68.0
Lassen,7/26/2022,0.24,0.0,507.0,10.4,93.7,55.0,51.0,3.9,93.7,68.9
Lassen,7/27/2022,0.29,0.0,665.0,11.2,98.2,57.0,56.0,3.6,85.5,70.0
Lassen,7/28/2022,0.28,0.0,689.0,10.8,98.9,52.0,65.0,3.5,83.2,70.8
Lassen,7/29/2022,0.26,0.0,610.0,12.5,98.6,54.6,61.0,3.4,82.0,71.2
Lassen,7/30/2022,0.27,0.0,561.0,11.8,99.2,58.3,65.0,4.5,108.4,71.6
Lassen,7/31/2022,0.24,0.05,528.0,14.0,97.7,62.3,65.0,4.6,111.0,71.9
Lassen,8/1/2022,0.13,0.0,256.0,12.1,83.4,58.0,73.0,5.3,127.5,70.1
Lassen,8/2/2022,0.25,0.0,617.0,13.8,92.3,50.1,87.0,4.1,99.5,69.5
Lassen,8/3/2022,0.23,0.0,581.0,15.1,92.2,52.1,85.0,3.4,80.6,70.0
Lassen,8/4/2022,0.27,0.0,669.0,14.5,94.8,51.1,86.0,4.4,104.7,70.3
Lassen,8/5/2022,0.19,0.0,266.0,14.7,85.6,66.2,81.0,7.7,185.4,71.3
