County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Madera,1/1/2010,0.02,0.0,121.0,9.4,57.1,36.9,98.0,2.3,54.0,49.5
Madera,1/2/2010,0.01,0.01,87.0,9.9,51.4,37.2,99.0,1.7,41.4,49.2
Madera,1/3/2010,0.01,0.0,63.0,9.1,49.2,36.2,98.0,2.2,53.7,49.4
Madera,1/4/2010,0.02,0.0,107.0,9.4,49.0,40.3,98.0,1.6,37.9,49.3
Madera,1/5/2010,0.0,0.0,61.0,8.5,44.1,39.8,97.0,1.0,24.0,49.3
Madera,1/6/2010,0.01,0.0,96.0,7.9,45.7,37.0,97.0,1.0,24.0,48.9
Madera,1/7/2010,0.0,0.0,55.0,7.9,42.6,32.8,99.0,1.0,24.0,47.5
Madera,1/8/2010,0.02,0.0,111.0,8.8,50.6,37.3,98.0,2.0,46.9,48.2
Madera,1/9/2010,0.01,0.0,74.0,9.4,46.9,40.6,99.0,1.2,29.6,48.4
Madera,1/10/2010,0.0,0.01,60.0,9.5,45.8,42.6,99.0,1.0,24.0,49.1
Madera,1/11/2010,0.02,0.0,124.0,10.3,56.5,42.9,99.0,1.7,40.8,49.6
Madera,1/12/2010,0.03,0.06,81.0,10.9,66.3,45.6,93.0,3.7,87.6,50.3
Madera,1/13/2010,0.07,0.27,248.0,11.4,61.9,45.1,97.0,4.9,117.5,52.1
Madera,1/14/2010,0.04,0.0,223.0,9.4,57.2,36.0,99.0,3.0,72.9,51.1
Madera,1/15/2010,0.02,0.01,135.0,10.2,54.9,41.2,99.0,2.2,53.0,50.8
Madera,1/16/2010,0.03,0.01,149.0,9.9,54.3,37.1,99.0,2.5,59.8,50.4
Madera,1/17/2010,0.02,0.38,77.0,10.2,58.5,38.9,98.0,3.2,77.6,50.1
Madera,1/18/2010,0.0,0.46,52.0,11.1,54.3,47.8,96.0,1.0,24.0,50.7
Madera,1/19/2010,0.01,0.29,79.0,9.5,55.8,45.8,91.0,1.0,24.0,50.3
Madera,1/20/2010,0.02,0.33,97.0,9.7,53.8,44.4,90.0,1.0,24.0,49.8
Madera,1/21/2010,0.0,0.21,54.0,9.0,48.6,41.0,94.0,1.0,24.0,48.9
Madera,1/22/2010,0.02,0.09,135.0,8.7,51.0,36.6,97.0,1.2,27.9,49.0
Madera,1/23/2010,0.05,0.0,241.0,7.8,57.4,33.6,98.0,2.8,68.0,48.1
Madera,1/24/2010,0.03,0.0,139.0,8.2,52.8,33.1,96.0,2.7,64.3,47.8
Madera,1/25/2010,0.02,0.0,98.0,9.2,53.6,40.0,97.0,4.3,102.7,48.5
Madera,1/26/2010,0.03,0.0,119.0,9.9,57.5,46.2,97.0,2.2,52.9,49.6
Madera,1/27/2010,0.05,0.0,349.0,10.2,58.6,32.0,97.0,4.0,95.7,51.5
Madera,1/28/2010,0.05,0.0,214.0,10.3,58.9,42.1,97.0,2.6,62.4,51.3
Madera,1/29/2010,0.07,0.0,252.0,10.2,62.6,38.9,98.0,4.2,100.0,51.2
Madera,1/30/2010,0.07,0.02,294.0,10.0,59.8,36.9,98.0,3.8,91.8,51.9
Madera,1/31/2010,0.07,0.01,303.0,8.5,59.2,31.9,99.0,2.3,55.1,50.7
Madera,2/1/2010,0.05,0.0,236.0,9.9,59.5,36.9,98.0,3.1,73.6,50.7
Madera,2/2/2010,0.04,0.0,210.0,10.7,60.8,41.0,98.0,2.8,66.5,51.8
Madera,2/3/2010,0.03,0.01,199.0,9.5,52.7,35.1,99.0,2.9,70.5,51.5
Madera,2/4/2010,0.05,0.19,147.0,10.6,59.1,41.7,98.0,7.2,173.0,51.2
Madera,2/5/2010,0.06,0.22,219.0,12.5,61.7,49.3,96.0,7.6,183.3,52.6
Madera,2/6/2010,0.0,0.46,59.0,11.7,53.9,46.3,96.0,4.6,110.9,53.0
Madera,2/7/2010,0.01,0.02,87.0,10.7,52.6,42.3,98.0,2.9,70.0,52.3
Madera,2/8/2010,0.03,0.01,147.0,10.8,56.8,44.2,98.0,2.1,50.8,52.3
Madera,2/9/2010,0.01,0.61,94.0,10.1,50.5,41.5,96.0,5.3,127.5,52.0
Madera,2/10/2010,0.04,0.0,213.0,9.7,57.9,41.8,96.0,3.0,72.6,51.7
Madera,2/11/2010,0.06,0.0,253.0,9.7,57.9,41.6,96.0,3.4,82.7,52.1
Madera,2/12/2010,0.08,0.0,346.0,9.7,64.2,35.9,98.0,2.7,64.6,52.1
Madera,2/13/2010,0.08,0.0,348.0,10.7,62.1,36.8,98.0,2.8,68.3,52.5
Madera,2/14/2010,0.07,0.01,314.0,10.8,63.8,37.5,99.0,2.3,55.6,52.9
Madera,2/15/2010,0.04,0.01,221.0,11.1,62.0,39.8,99.0,2.0,48.8,53.3
Madera,2/16/2010,0.07,0.0,297.0,12.1,65.5,40.3,99.0,2.4,57.2,53.7
Madera,2/17/2010,0.09,0.0,355.0,12.4,70.4,41.7,99.0,2.4,56.7,54.6
Madera,2/18/2010,0.08,0.0,315.0,12.7,69.4,40.5,98.0,2.7,64.4,55.1
Madera,2/19/2010,0.02,0.0,117.0,12.6,59.4,49.9,98.0,4.1,98.7,55.7
Madera,2/20/2010,0.07,0.01,282.0,10.9,61.3,43.9,93.0,5.8,140.3,55.4
Madera,2/21/2010,0.03,0.29,152.0,10.7,54.5,43.0,97.0,3.5,84.2,54.9
Madera,2/22/2010,0.06,0.01,279.0,9.3,56.2,40.3,97.0,5.6,134.0,54.2
Madera,2/23/2010,0.02,0.57,116.0,9.7,53.2,36.5,97.0,4.5,108.2,52.9
Madera,2/24/2010,0.03,0.43,164.0,11.8,58.8,45.3,96.0,6.4,152.7,53.1
Madera,2/25/2010,0.06,0.01,285.0,10.6,58.3,39.2,98.0,3.6,85.6,53.5
Madera,2/26/2010,0.04,0.28,125.0,11.6,62.4,44.9,97.0,8.5,204.3,53.7
Madera,2/27/2010,0.08,0.04,304.0,11.2,59.4,46.9,95.0,8.5,202.9,54.4
Madera,2/28/2010,0.08,0.0,321.0,11.1,62.4,43.4,98.0,2.7,63.7,54.8
Madera,3/1/2010,0.08,0.0,312.0,11.5,65.9,41.3,97.0,3.7,88.3,55.0
Madera,3/2/2010,0.04,0.03,184.0,11.5,58.9,44.1,98.0,4.6,109.2,55.4
Madera,3/3/2010,0.03,0.46,156.0,10.3,55.4,39.7,98.0,5.1,122.1,54.5
Madera,3/4/2010,0.08,0.02,364.0,8.4,56.2,35.9,97.0,3.3,79.1,53.5
Madera,3/5/2010,0.08,0.0,342.0,8.4,57.7,30.3,99.0,2.4,58.7,52.8
Madera,3/6/2010,0.04,0.0,203.0,10.3,58.5,41.3,96.0,3.0,71.1,53.7
Madera,3/7/2010,0.11,0.0,431.0,10.3,63.0,38.1,98.0,4.5,107.4,53.9
Madera,3/8/2010,0.06,0.0,232.0,9.2,56.1,40.3,88.0,6.0,143.7,54.3
Madera,3/9/2010,0.11,0.0,399.0,7.2,55.3,36.6,94.0,6.8,162.4,52.8
Madera,3/10/2010,0.09,0.04,369.0,7.6,53.4,33.7,95.0,5.0,121.2,52.4
Madera,3/11/2010,0.11,0.0,465.0,8.0,60.1,30.6,98.0,2.6,61.4,52.0
Madera,3/12/2010,0.06,0.3,244.0,9.9,60.9,35.8,96.0,5.7,135.8,52.5
Madera,3/13/2010,0.14,0.0,493.0,7.7,57.3,36.5,92.0,9.7,233.4,52.8
Madera,3/14/2010,0.12,0.0,487.0,8.0,63.3,29.5,98.0,2.5,59.8,52.2
Madera,3/15/2010,0.13,0.0,466.0,10.0,70.6,34.0,99.0,2.9,69.3,53.4
Madera,3/16/2010,0.14,0.0,464.0,11.1,77.5,37.6,97.0,2.4,57.6,54.8
Madera,3/17/2010,0.13,0.0,434.0,12.4,73.3,42.0,99.0,3.0,71.8,56.2
Madera,3/18/2010,0.15,0.0,487.0,11.3,70.7,39.3,99.0,4.1,98.6,56.5
Madera,3/19/2010,0.14,0.0,502.0,10.9,74.0,35.7,98.0,2.8,66.8,56.7
Madera,3/20/2010,0.15,0.0,466.0,11.5,77.1,42.9,98.0,3.3,79.8,57.3
Madera,3/21/2010,0.12,0.0,427.0,11.2,72.9,39.2,98.0,2.8,67.5,57.6
Madera,3/22/2010,0.15,0.0,509.0,11.3,68.7,41.7,98.0,5.5,132.8,57.5
Madera,3/23/2010,0.14,0.0,508.0,11.0,70.8,40.9,96.0,3.2,76.8,57.6
Madera,3/24/2010,0.14,0.0,444.0,10.7,75.0,40.9,98.0,4.6,110.1,57.8
Madera,3/25/2010,0.15,0.0,456.0,9.9,62.9,46.0,93.0,7.8,186.9,58.0
Madera,3/26/2010,0.15,0.0,526.0,8.8,64.7,38.0,94.0,5.7,137.8,57.7
Madera,3/27/2010,0.15,0.0,532.0,8.9,71.9,32.8,98.0,3.0,71.7,57.3
Madera,3/28/2010,0.17,0.0,507.0,8.9,79.0,38.6,95.0,3.7,88.4,58.0
Madera,3/29/2010,0.17,0.0,534.0,10.1,76.3,39.3,90.0,4.4,105.5,58.8
Madera,3/30/2010,0.11,0.05,326.0,10.2,64.5,49.6,93.0,6.3,152.4,59.3
Madera,3/31/2010,0.12,0.05,446.0,8.3,58.9,43.0,94.0,4.0,96.3,58.2
Madera,4/1/2010,0.14,0.0,510.0,8.2,61.3,37.8,95.0,5.2,123.8,57.5
Madera,4/2/2010,0.07,0.01,288.0,9.0,60.9,33.2,96.0,3.3,79.2,57.0
Madera,4/3/2010,0.13,0.0,450.0,8.0,57.2,32.0,94.0,6.3,150.4,57.0
Madera,4/4/2010,0.06,0.27,227.0,8.4,56.6,30.6,97.0,6.4,153.7,55.4
Madera,4/5/2010,0.13,0.57,508.0,8.9,59.4,40.9,96.0,4.2,101.1,55.7
Madera,4/6/2010,0.16,0.0,590.0,8.6,62.9,34.7,96.0,5.4,130.2,56.1
Madera,4/7/2010,0.16,0.0,588.0,10.0,71.7,35.4,98.0,2.6,62.3,57.0
Madera,4/8/2010,0.18,0.0,586.0,11.1,72.9,37.6,99.0,3.7,88.0,58.5
Madera,4/9/2010,0.17,0.0,584.0,10.2,70.1,43.3,96.0,4.8,116.0,59.3
Madera,4/10/2010,0.11,0.0,377.0,10.6,65.7,43.3,99.0,3.7,87.8,59.3
Madera,4/11/2010,0.04,0.25,113.0,10.0,60.5,46.3,92.0,8.2,197.9,58.2
Madera,4/12/2010,0.08,0.4,310.0,10.5,60.7,45.0,97.0,6.2,148.1,56.9
Madera,4/13/2010,0.13,0.0,492.0,10.0,63.6,38.0,98.0,2.7,64.1,56.9
Madera,4/14/2010,0.16,0.0,570.0,10.2,66.6,36.3,98.0,4.0,96.2,57.4
Madera,4/15/2010,0.15,0.0,552.0,11.2,70.6,41.1,96.0,3.4,82.4,58.8
Madera,4/16/2010,0.19,0.0,592.0,11.2,70.6,46.8,93.0,5.9,140.6,60.1
Madera,4/17/2010,0.19,0.0,622.0,12.1,73.5,44.4,97.0,4.8,114.5,60.8
Madera,4/18/2010,0.18,0.0,602.0,13.0,78.1,39.9,99.0,2.9,69.5,61.4
Madera,4/19/2010,0.18,0.0,527.0,11.9,79.3,45.1,95.0,3.9,94.1,62.3
Madera,4/20/2010,0.08,0.48,289.0,10.5,59.6,45.7,95.0,6.0,144.5,61.4
Madera,4/21/2010,0.03,0.37,205.0,9.5,52.2,38.7,97.0,3.5,83.9,59.2
Madera,4/22/2010,0.06,0.08,290.0,10.2,58.7,41.0,98.0,3.1,75.6,57.8
Madera,4/23/2010,0.18,0.0,637.0,11.1,68.9,38.7,98.0,2.8,67.2,58.7
Madera,4/24/2010,0.2,0.0,630.0,13.5,75.5,43.8,99.0,3.4,82.4,60.7
Madera,4/25/2010,0.2,0.0,632.0,14.3,77.6,45.8,96.0,3.0,70.9,62.4
