County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Marin,1/1/2010,0.02,0.0,90.0,11.7,56.0,46.7,97.0,2.6,63.1,51.4
Marin,1/2/2010,0.01,0.04,78.0,11.2,55.0,38.8,97.0,2.5,60.4,52.5
Marin,1/3/2010,0.04,0.01,189.0,9.0,51.1,36.2,97.0,3.1,73.6,50.2
Marin,1/4/2010,0.04,0.0,207.0,8.7,53.0,40.7,89.0,3.6,85.4,50.1
Marin,1/5/2010,0.04,0.0,157.0,7.0,50.4,42.0,70.0,3.7,89.3,49.8
Marin,1/6/2010,0.04,0.0,142.0,6.8,48.4,40.5,72.0,3.8,90.5,49.7
Marin,1/7/2010,0.01,0.0,59.0,9.5,45.8,44.2,95.0,4.0,96.0,49.2
Marin,1/8/2010,0.02,0.02,105.0,9.1,48.4,40.9,95.0,3.8,92.0,49.2
Marin,1/9/2010,0.02,0.0,99.0,9.7,49.4,43.1,96.0,3.6,87.4,49.1
Marin,1/10/2010,0.01,0.0,62.0,9.4,46.1,41.5,98.0,4.4,104.8,49.0
Marin,1/11/2010,0.02,0.0,113.0,9.3,48.8,41.8,97.0,3.2,77.8,49.2
Marin,1/12/2010,0.01,0.93,46.0,12.8,58.0,47.6,95.0,5.5,131.2,50.2
Marin,1/13/2010,0.03,0.07,142.0,11.4,62.4,43.2,94.0,3.2,77.4,52.1
Marin,1/14/2010,0.05,0.0,219.0,9.2,59.5,36.1,97.0,1.9,44.7,50.8
Marin,1/15/2010,0.02,0.0,125.0,10.0,51.2,42.5,96.0,3.0,71.9,50.2
Marin,1/16/2010,0.03,0.22,144.0,10.6,51.7,44.3,97.0,2.8,68.3,50.3
Marin,1/17/2010,0.01,0.38,57.0,11.4,53.1,48.9,97.0,5.9,140.8,51.4
Marin,1/18/2010,0.03,0.96,79.0,10.8,55.7,48.7,94.0,8.6,205.3,51.4
Marin,1/19/2010,0.04,2.03,130.0,10.3,56.5,43.6,93.0,8.3,198.1,50.9
Marin,1/20/2010,0.04,1.52,92.0,9.8,54.4,47.0,91.0,10.3,247.1,50.3
Marin,1/21/2010,0.0,0.75,21.0,8.6,51.5,39.5,93.0,4.8,115.9,49.4
Marin,1/22/2010,0.02,0.48,118.0,8.4,48.4,36.0,97.0,3.2,77.8,47.5
Marin,1/23/2010,0.04,0.27,207.0,9.4,51.9,38.8,97.0,3.8,92.0,48.0
Marin,1/24/2010,0.01,0.06,75.0,9.5,49.4,38.7,98.0,1.6,38.4,48.3
Marin,1/25/2010,0.01,0.92,45.0,11.0,53.5,45.9,96.0,4.0,96.5,49.1
Marin,1/26/2010,0.02,0.32,94.0,10.6,51.9,40.9,97.0,2.9,69.4,50.4
Marin,1/27/2010,0.03,0.0,165.0,10.1,53.7,38.3,98.0,1.9,46.8,50.3
Marin,1/28/2010,0.05,0.0,225.0,9.8,54.5,43.8,97.0,2.5,60.3,51.0
Marin,1/29/2010,0.03,0.26,133.0,10.5,55.5,43.0,96.0,2.8,66.8,51.0
