County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Mendocino,1/1/2010,0.01,0.28,58.0,12.4,55.7,49.2,96.0,3.1,74.0,48.6
Mendocino,1/2/2010,0.04,0.0,183.0,9.7,53.8,34.8,97.0,2.8,67.4,49.6
Mendocino,1/3/2010,0.04,0.0,211.0,8.3,65.8,34.2,97.0,2.1,51.4,48.7
Mendocino,1/4/2010,0.04,0.04,203.0,8.7,66.1,35.1,97.0,2.1,51.1,48.4
Mendocino,1/5/2010,0.04,0.0,163.0,9.2,64.6,36.9,97.0,2.5,61.0,48.5
Mendocino,1/6/2010,0.02,0.0,137.0,9.4,61.4,35.3,97.0,1.9,45.8,48.4
Mendocino,1/7/2010,0.02,0.0,120.0,11.6,60.1,39.9,97.0,1.8,44.3,48.9
Mendocino,1/8/2010,0.03,0.04,162.0,11.7,65.3,44.8,96.0,3.0,72.9,50.3
Mendocino,1/9/2010,0.01,0.0,88.0,10.8,56.0,42.6,97.0,2.6,62.2,50.7
Mendocino,1/10/2010,0.02,0.0,100.0,10.0,54.1,39.6,97.0,2.0,48.0,50.3
Mendocino,1/11/2010,0.02,0.47,116.0,10.1,53.7,40.7,97.0,4.3,103.4,50.0
Mendocino,1/12/2010,0.01,1.22,75.0,13.3,57.3,49.9,95.0,7.4,177.3,50.8
Mendocino,1/13/2010,0.06,0.04,256.0,10.8,62.4,38.4,96.0,2.9,69.2,52.1
Mendocino,1/14/2010,0.07,0.0,193.0,1.9,59.9,42.1,97.0,3.2,76.8,51.1
Mendocino,1/15/2010,0.06,0.0,114.0,1.8,55.1,38.4,67.0,2.7,66.0,50.5
Mendocino,1/16/2010,0.06,0.0,133.0,0.1,57.1,39.1,2.0,3.5,82.9,50.1
Mendocino,1/17/2010,0.09,0.63,54.0,0.1,51.9,49.3,3.0,5.8,139.0,50.8
Mendocino,1/18/2010,0.11,1.54,90.0,0.3,56.2,48.7,4.0,6.8,162.4,50.9
Mendocino,1/19/2010,0.12,1.81,130.0,0.5,54.2,43.7,10.0,7.7,184.1,50.9
Mendocino,1/20/2010,0.09,2.44,73.0,0.3,48.2,42.3,12.0,7.8,188.3,49.7
Mendocino,1/21/2010,0.06,0.94,30.0,0.4,45.8,39.9,13.0,3.1,73.8,48.3
Mendocino,1/22/2010,0.07,0.16,132.0,0.6,46.2,38.6,17.0,3.6,86.8,47.6
Mendocino,1/23/2010,0.08,0.2,180.0,0.2,53.2,38.2,7.0,3.8,90.7,48.1
Mendocino,1/24/2010,0.06,0.47,41.0,0.7,48.0,39.2,16.0,3.6,86.3,48.2
Mendocino,1/25/2010,0.05,2.05,25.0,3.7,51.2,46.0,88.0,4.2,101.7,48.4
Mendocino,1/26/2010,0.05,0.04,167.0,6.0,58.0,39.0,95.0,3.1,73.8,49.2
Mendocino,1/27/2010,0.08,0.0,270.0,1.3,62.6,36.4,29.0,2.3,54.0,49.7
Mendocino,1/28/2010,0.06,0.0,190.0,5.4,59.1,36.2,89.0,2.9,69.7,49.6
Mendocino,1/29/2010,0.05,0.16,110.0,6.2,54.4,40.7,95.0,3.9,92.8,49.7
Mendocino,1/30/2010,0.06,0.08,229.0,6.2,57.1,37.8,96.0,2.3,55.8,50.1
Mendocino,1/31/2010,0.07,0.0,185.0,1.1,58.8,39.5,36.0,3.2,76.0,50.2
Mendocino,2/1/2010,0.05,0.08,79.0,2.6,53.0,45.7,100.0,2.5,60.2,50.5
Mendocino,2/2/2010,0.1,0.0,222.0,1.0,58.9,38.2,76.0,3.9,94.0,50.5
Mendocino,2/3/2010,0.08,0.0,229.0,0.2,59.1,44.2,9.0,2.8,66.5,51.2
Mendocino,2/4/2010,0.07,1.5,48.0,0.0,54.0,44.5,2.0,5.4,130.6,51.2
