County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Merced,1/1/2010,,0.0,105.0,9.5,59.3,36.5,99.0,3.1,74.0,47.3
Merced,1/2/2010,,0.0,67.0,9.9,51.6,32.3,99.0,2.7,65.9,37.7
Merced,1/3/2010,,0.0,50.0,10.1,51.4,44.1,97.0,4.3,102.1,38.0
Merced,1/4/2010,,0.0,91.0,9.0,50.5,35.2,99.0,2.9,68.4,40.2
Merced,1/5/2010,,0.0,58.0,8.6,45.8,42.4,94.0,3.3,78.5,49.5
Merced,1/6/2010,,0.0,86.0,8.1,49.6,35.3,98.0,2.6,62.8,44.1
Merced,1/7/2010,,0.0,90.0,8.2,45.1,31.9,99.0,3.2,76.3,47.3
Merced,1/8/2010,,0.01,61.0,9.0,46.3,40.3,99.0,3.7,89.9,48.8
Merced,1/9/2010,,0.0,53.0,9.1,46.3,41.8,97.0,2.7,63.7,48.9
Merced,1/10/2010,,0.0,50.0,9.0,44.5,41.5,99.0,3.2,76.2,48.9
Merced,1/11/2010,,0.0,77.0,9.1,49.0,40.6,99.0,4.6,109.4,48.9
Merced,1/12/2010,,0.05,126.0,11.0,61.4,37.8,97.0,3.8,90.4,49.9
Merced,1/13/2010,,0.24,259.0,10.9,64.7,40.6,98.0,4.0,96.4,52.3
Merced,1/14/2010,,0.01,259.0,9.6,61.3,36.9,99.0,3.7,89.7,47.4
Merced,1/15/2010,,0.0,93.0,9.3,49.4,38.4,100.0,4.0,97.1,33.7
Merced,1/16/2010,,0.0,149.0,9.3,53.9,39.2,100.0,3.2,76.0,43.6
Merced,1/17/2010,,0.31,52.0,10.1,51.9,39.9,99.0,5.6,134.2,50.6
Merced,1/18/2010,,0.3,98.0,10.4,57.7,47.0,97.0,11.4,274.8,51.0
Merced,1/19/2010,,0.47,102.0,9.5,54.4,43.3,95.0,11.0,264.4,50.2
Merced,1/20/2010,,0.37,132.0,9.5,55.3,45.1,93.0,14.1,337.9,49.8
Merced,1/21/2010,,0.39,33.0,9.0,47.8,39.9,96.0,6.0,143.9,48.5
Merced,1/22/2010,,0.19,173.0,8.3,52.6,37.0,97.0,4.3,103.9,48.6
Merced,1/23/2010,,0.06,216.0,8.5,57.3,36.3,97.0,3.8,91.9,46.9
Merced,1/24/2010,,0.01,103.0,8.7,50.3,33.6,99.0,2.9,70.2,35.3
Merced,1/25/2010,,0.02,99.0,9.8,52.9,40.0,98.0,5.1,121.9,38.8
Merced,1/26/2010,,0.35,62.0,10.3,51.0,43.7,96.0,4.9,117.0,49.3
Merced,1/27/2010,,0.0,291.0,9.7,58.4,39.1,98.0,4.4,105.7,50.5
Merced,1/28/2010,,0.01,222.0,9.3,58.4,35.0,100.0,2.5,59.5,42.3
Merced,1/29/2010,,0.01,242.0,10.5,60.9,37.8,100.0,3.8,92.3,44.2
Merced,1/30/2010,,0.01,286.0,9.6,60.1,36.6,99.0,3.8,91.5,51.8
Merced,1/31/2010,,0.0,282.0,9.0,57.4,33.4,99.0,3.1,73.9,50.8
Merced,2/1/2010,,0.01,222.0,9.9,58.8,37.2,100.0,3.2,76.8,51.7
Merced,2/2/2010,,0.0,194.0,10.1,59.0,39.5,99.0,3.1,74.8,52.6
Merced,2/3/2010,,0.0,271.0,9.7,61.4,35.2,100.0,2.8,66.9,52.8
Merced,2/4/2010,,0.19,106.0,11.0,57.6,44.5,97.0,7.8,186.0,52.9
Merced,2/5/2010,,0.14,243.0,11.8,62.0,49.5,93.0,10.2,244.8,53.8
Merced,2/6/2010,,0.33,82.0,10.8,53.5,43.6,98.0,4.3,103.5,53.4
Merced,2/7/2010,,0.0,159.0,10.3,56.6,43.2,94.0,3.4,81.7,52.8
Merced,2/8/2010,,0.04,272.0,10.1,59.8,46.2,94.0,2.7,64.9,54.7
Merced,2/9/2010,,0.28,210.0,9.6,52.6,41.7,96.0,5.3,126.7,54.8
Merced,2/10/2010,,0.0,362.0,9.0,60.0,36.9,97.0,3.5,82.9,54.1
Merced,2/11/2010,,0.0,246.0,9.9,58.9,37.7,99.0,3.7,88.7,54.6
Merced,2/12/2010,,0.0,336.0,10.6,66.4,42.0,98.0,3.9,94.6,55.1
Merced,2/13/2010,,0.0,287.0,10.9,63.1,40.9,100.0,3.0,71.1,56.2
Merced,2/14/2010,,0.0,352.0,11.0,64.3,37.6,99.0,2.6,62.8,56.9
Merced,2/15/2010,,0.01,341.0,11.1,65.3,40.5,100.0,2.4,58.8,57.3
Merced,2/16/2010,,0.0,313.0,11.7,65.5,39.4,100.0,2.6,61.5,57.8
Merced,2/17/2010,,0.01,328.0,11.9,68.4,40.6,100.0,2.1,51.6,58.4
Merced,2/18/2010,,0.01,254.0,12.4,66.6,43.6,100.0,3.1,74.8,58.8
Merced,2/19/2010,,0.0,193.0,11.8,60.5,46.1,97.0,4.3,103.8,58.9
Merced,2/20/2010,,0.0,271.0,10.4,62.5,44.6,96.0,4.2,99.9,58.1
Merced,2/21/2010,,0.28,119.0,10.3,53.0,42.8,97.0,4.7,113.1,55.9
Merced,2/22/2010,,0.0,369.0,9.2,58.3,37.7,99.0,5.7,137.7,55.5
Merced,2/23/2010,,0.64,76.0,9.7,50.1,40.0,96.0,6.6,158.7,53.3
Merced,2/24/2010,,0.06,230.0,10.9,60.3,43.9,99.0,7.1,169.4,54.1
Merced,2/25/2010,,0.0,329.0,10.6,62.2,38.3,100.0,3.8,92.1,56.0
Merced,2/26/2010,,0.2,125.0,11.6,64.1,44.4,99.0,7.4,178.8,56.3
Merced,2/27/2010,,0.07,266.0,11.1,59.0,45.5,98.0,7.0,167.2,56.5
Merced,2/28/2010,,0.0,400.0,10.3,64.2,38.8,98.0,2.8,68.1,56.9
Merced,3/1/2010,,0.0,319.0,11.4,64.1,41.6,99.0,3.4,82.5,58.2
Merced,3/2/2010,,0.17,157.0,11.3,58.8,46.0,98.0,4.2,102.0,58.1
Merced,3/3/2010,,0.29,146.0,9.3,53.5,39.4,97.0,4.8,115.8,55.4
Merced,3/4/2010,,0.02,338.0,8.9,57.1,40.1,98.0,3.0,70.8,56.0
Merced,3/5/2010,,0.0,337.0,8.7,56.4,36.1,99.0,2.4,56.9,53.4
Merced,3/6/2010,,0.0,243.0,10.3,61.2,44.4,95.0,3.4,81.4,57.3
Merced,3/7/2010,,0.0,406.0,10.2,65.9,40.4,97.0,4.5,108.6,44.6
Merced,3/8/2010,,0.0,275.0,8.3,58.1,40.1,89.0,5.3,126.3,40.1
Merced,3/9/2010,,0.0,442.0,6.9,55.9,34.9,95.0,6.8,162.7,49.6
Merced,3/10/2010,,0.01,446.0,7.5,54.3,37.2,96.0,6.7,159.6,48.3
Merced,3/11/2010,,0.0,465.0,7.9,61.7,34.6,97.0,3.0,73.1,54.5
Merced,3/12/2010,,0.13,193.0,10.0,59.0,38.6,96.0,5.5,131.4,55.7
Merced,3/13/2010,,0.0,496.0,6.6,56.4,33.5,94.0,10.6,253.3,55.3
Merced,3/14/2010,,0.0,490.0,7.1,61.8,34.7,87.0,5.3,126.5,54.6
Merced,3/15/2010,,0.0,464.0,9.9,68.8,38.3,99.0,2.9,69.5,56.8
Merced,3/16/2010,,0.0,455.0,11.7,75.8,38.9,99.0,2.6,63.3,59.6
Merced,3/17/2010,,0.0,469.0,12.2,73.6,46.1,99.0,3.9,93.6,61.6
Merced,3/18/2010,,0.0,496.0,9.5,72.6,42.9,98.0,7.6,182.3,61.1
Merced,3/19/2010,,0.0,517.0,8.8,74.4,38.3,85.0,3.6,85.6,60.3
Merced,3/20/2010,,0.0,467.0,10.4,77.4,41.1,97.0,3.6,86.9,61.2
Merced,3/21/2010,,0.0,444.0,10.2,71.1,40.6,97.0,3.8,91.3,61.3
Merced,3/22/2010,,0.0,511.0,10.0,67.1,41.0,100.0,6.6,158.9,60.9
Merced,3/23/2010,,0.0,562.0,9.2,71.6,45.3,95.0,4.1,98.5,61.8
Merced,3/24/2010,,0.0,459.0,9.6,75.6,37.9,98.0,5.1,123.2,60.0
Merced,3/25/2010,,0.04,411.0,9.3,63.5,39.2,98.0,4.6,110.9,59.6
Merced,3/26/2010,,0.0,530.0,8.1,64.8,33.7,99.0,5.2,123.8,58.6
Merced,3/27/2010,,0.0,530.0,9.1,71.0,37.2,98.0,2.7,63.9,58.9
Merced,3/28/2010,,0.0,502.0,9.1,78.6,40.7,99.0,3.8,91.8,60.6
Merced,3/29/2010,,0.0,527.0,10.1,75.0,38.0,93.0,6.3,152.3,61.1
Merced,3/30/2010,,0.04,375.0,10.2,64.6,47.2,84.0,9.3,224.1,61.2
Merced,3/31/2010,,0.04,466.0,7.6,60.8,39.8,89.0,4.7,113.6,59.5
Merced,4/1/2010,,0.0,464.0,8.1,61.6,35.5,96.0,4.8,114.3,58.9
Merced,4/2/2010,,0.0,181.0,8.8,59.3,33.7,98.0,3.9,94.7,56.9
Merced,4/3/2010,,0.0,399.0,7.3,58.8,35.3,94.0,4.6,110.2,56.7
Merced,4/4/2010,,0.52,228.0,8.7,58.9,35.5,98.0,6.1,147.6,54.9
Merced,4/5/2010,,0.2,499.0,8.5,60.2,35.4,96.0,3.5,84.3,55.6
Merced,4/6/2010,,0.0,590.0,7.6,63.5,34.2,99.0,6.8,163.3,52.1
Merced,4/7/2010,,0.0,583.0,9.1,71.6,36.3,97.0,2.9,70.5,58.6
Merced,4/8/2010,,0.0,582.0,10.7,72.4,39.4,100.0,4.1,98.4,61.1
Merced,4/9/2010,,0.0,582.0,8.1,70.0,41.0,82.0,8.0,191.9,61.2
Merced,4/10/2010,,0.0,363.0,9.2,63.8,46.3,79.0,6.6,159.4,60.4
Merced,4/11/2010,,0.34,84.0,9.3,60.4,44.5,89.0,10.1,241.7,57.4
Merced,4/12/2010,,0.24,398.0,10.4,61.0,44.4,98.0,7.7,183.7,56.3
Merced,4/13/2010,,0.01,428.0,9.9,65.6,38.3,100.0,2.9,69.0,58.9
Merced,4/14/2010,,0.0,523.0,9.1,67.4,37.2,100.0,3.7,89.7,60.1
Merced,4/15/2010,,0.0,565.0,10.1,71.2,38.2,98.0,4.0,95.4,61.1
Merced,4/16/2010,,0.0,594.0,10.4,72.2,42.9,96.0,3.8,91.2,63.1
Merced,4/17/2010,,0.0,608.0,11.0,74.5,42.0,99.0,4.3,104.2,63.9
Merced,4/18/2010,,0.0,601.0,11.0,78.9,37.5,100.0,3.4,82.8,65.1
Merced,4/19/2010,,0.0,512.0,10.0,76.4,45.1,94.0,5.2,124.7,65.5
Merced,4/20/2010,,0.63,253.0,10.2,56.4,44.9,97.0,5.1,122.7,62.7
Merced,4/21/2010,,0.19,198.0,9.4,53.6,41.4,98.0,3.8,91.4,59.1
Merced,4/22/2010,,0.02,315.0,10.1,61.8,43.4,98.0,4.5,107.2,58.4
Merced,4/23/2010,,0.0,588.0,11.2,71.3,38.3,100.0,3.1,75.3,60.8
