County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Modoc,1/1/2010,0.02,0.01,68.0,6.8,48.0,33.5,93.0,9.4,225.5,33.2
Modoc,1/2/2010,0.01,0.0,99.0,5.9,42.3,25.1,96.0,2.5,59.5,33.4
Modoc,1/3/2010,0.03,0.0,167.0,4.8,49.1,21.2,97.0,3.2,77.2,33.6
Modoc,1/4/2010,0.03,0.0,181.0,5.0,49.7,22.2,92.0,2.7,65.3,33.8
Modoc,1/5/2010,0.03,0.0,150.0,5.7,53.4,27.7,93.0,2.9,68.4,34.0
Modoc,1/6/2010,0.02,0.0,96.0,6.6,47.8,26.2,98.0,2.2,52.5,34.8
Modoc,1/7/2010,0.02,0.0,113.0,7.1,48.6,32.5,99.0,4.1,97.2,36.6
Modoc,1/8/2010,0.03,0.04,94.0,7.2,49.9,33.8,89.0,7.5,179.5,37.7
Modoc,1/9/2010,0.03,0.0,142.0,7.0,52.1,25.2,97.0,3.5,83.8,38.3
Modoc,1/10/2010,0.05,0.0,178.0,7.0,52.8,35.0,93.0,8.5,202.8,39.3
Modoc,1/11/2010,0.06,0.0,78.0,6.0,55.5,36.9,79.0,10.2,244.5,39.7
Modoc,1/12/2010,0.05,0.09,85.0,7.0,47.8,40.0,88.0,14.3,342.3,40.2
Modoc,1/13/2010,0.03,0.19,117.0,6.6,44.5,31.2,96.0,6.4,154.5,40.5
Modoc,1/14/2010,0.04,0.0,180.0,5.6,47.3,23.2,99.0,4.4,106.4,39.2
Modoc,1/15/2010,0.07,0.0,78.0,4.6,52.1,32.7,70.0,9.4,226.7,38.7
Modoc,1/16/2010,0.07,0.0,137.0,4.3,50.5,33.8,68.0,7.7,183.6,38.8
Modoc,1/17/2010,0.05,0.03,64.0,5.9,44.2,36.8,86.0,15.8,379.6,39.3
Modoc,1/18/2010,0.06,0.0,105.0,5.6,49.7,34.7,76.0,14.5,349.1,38.9
Modoc,1/19/2010,0.09,0.0,176.0,4.8,46.2,33.0,74.0,16.1,385.5,38.4
Modoc,1/20/2010,0.07,0.0,120.0,4.6,42.0,31.8,81.0,15.6,374.9,37.6
Modoc,1/21/2010,0.05,0.0,123.0,4.1,42.1,29.2,74.0,11.2,269.6,36.9
Modoc,1/22/2010,0.03,0.0,113.0,4.7,37.4,24.8,93.0,5.8,139.7,36.6
Modoc,1/23/2010,0.02,0.0,149.0,4.6,37.7,22.3,96.0,4.2,101.5,36.2
Modoc,1/24/2010,0.01,0.0,50.0,5.0,35.9,27.9,97.0,9.6,230.8,35.8
Modoc,1/25/2010,0.01,0.0,53.0,6.3,40.2,30.9,98.0,4.9,116.6,36.0
Modoc,1/26/2010,0.03,0.0,126.0,5.9,42.4,24.3,97.0,5.4,128.8,37.4
Modoc,1/27/2010,0.03,0.0,195.0,4.9,45.3,21.4,98.0,3.5,83.2,37.1
Modoc,1/28/2010,0.06,0.0,240.0,4.7,47.8,19.6,94.0,5.6,134.4,36.4
Modoc,1/29/2010,0.03,0.0,110.0,5.4,47.2,30.8,87.0,4.8,115.3,36.8
Modoc,1/30/2010,0.02,0.0,115.0,6.2,40.6,32.0,96.0,3.7,89.3,37.8
Modoc,1/31/2010,0.05,0.0,259.0,5.2,45.3,25.1,98.0,3.4,82.1,38.6
Modoc,2/1/2010,0.02,0.0,114.0,5.3,44.0,21.8,94.0,5.5,132.1,37.5
Modoc,2/2/2010,0.05,0.0,212.0,5.6,49.2,21.9,98.0,4.2,101.5,37.4
Modoc,2/3/2010,0.04,0.0,152.0,5.7,46.1,29.5,91.0,6.3,150.7,38.1
Modoc,2/4/2010,0.04,0.0,81.0,5.6,42.9,29.4,93.0,9.7,231.6,37.8
Modoc,2/5/2010,0.07,0.0,220.0,5.7,48.3,31.2,88.0,9.3,222.2,38.7
Modoc,2/6/2010,0.03,0.0,123.0,5.8,45.8,29.1,97.0,4.3,103.6,38.7
Modoc,2/7/2010,0.03,0.0,126.0,5.9,42.5,32.4,97.0,4.4,104.6,39.1
Modoc,2/8/2010,0.05,0.0,210.0,5.2,44.5,31.7,97.0,3.9,94.4,39.5
Modoc,2/9/2010,0.05,0.0,239.0,5.5,45.3,26.7,99.0,2.7,64.5,39.8
Modoc,2/10/2010,0.04,0.0,179.0,4.6,43.6,18.7,91.0,4.6,109.3,38.8
Modoc,2/11/2010,0.04,0.02,122.0,6.3,46.9,31.7,97.0,9.3,224.4,39.1
Modoc,2/12/2010,0.08,0.0,235.0,5.8,52.3,30.8,90.0,8.8,210.4,39.8
Modoc,2/13/2010,0.06,0.0,209.0,6.1,54.0,26.8,92.0,5.1,123.3,40.6
Modoc,2/14/2010,0.05,0.0,163.0,5.4,57.4,25.2,94.0,4.2,101.2,40.2
Modoc,2/15/2010,0.07,0.0,290.0,6.0,55.7,24.3,98.0,3.0,71.2,40.7
Modoc,2/16/2010,0.08,0.0,294.0,6.0,57.8,27.9,98.0,3.2,77.4,41.2
Modoc,2/17/2010,0.08,0.0,326.0,4.8,60.4,20.5,98.0,2.9,70.3,40.8
Modoc,2/18/2010,0.07,0.0,322.0,5.2,51.9,20.9,97.0,3.5,84.9,40.1
