County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Monterey,1/1/2010,0.04,0.0,180.0,9.4,62.4,41.3,93.0,2.8,66.2,52.0
Monterey,1/2/2010,0.05,0.0,228.0,9.8,63.8,36.7,97.0,2.8,66.0,51.5
Monterey,1/3/2010,0.06,0.01,274.0,9.2,62.5,36.2,98.0,4.1,99.0,51.2
Monterey,1/4/2010,0.07,0.0,269.0,9.0,67.6,38.6,92.0,3.5,85.2,51.1
Monterey,1/5/2010,0.06,0.0,256.0,8.0,72.3,33.7,92.0,2.8,66.8,50.8
Monterey,1/6/2010,0.06,0.0,245.0,8.1,71.7,36.7,91.0,2.8,67.8,50.8
Monterey,1/7/2010,0.07,0.0,266.0,9.8,70.8,38.4,93.0,3.1,73.4,51.2
Monterey,1/8/2010,0.07,0.0,259.0,10.4,70.5,41.8,94.0,3.5,83.8,52.2
Monterey,1/9/2010,0.04,0.0,151.0,10.0,62.1,42.1,94.0,3.9,93.4,52.6
Monterey,1/10/2010,0.06,0.0,248.0,9.7,71.6,37.4,95.0,3.2,75.9,52.0
Monterey,1/11/2010,0.08,0.0,223.0,9.7,69.2,43.0,90.0,5.1,122.8,52.7
Monterey,1/12/2010,0.04,0.06,138.0,11.4,59.5,46.2,90.0,8.0,191.3,53.1
Monterey,1/13/2010,0.07,0.1,250.0,11.1,62.7,43.0,94.0,6.7,160.6,53.9
Monterey,1/14/2010,0.06,0.01,272.0,9.6,67.3,38.2,98.0,2.5,60.3,53.3
Monterey,1/15/2010,0.06,0.0,210.0,9.1,61.9,39.1,93.0,4.7,113.9,52.7
Monterey,1/16/2010,0.08,0.0,239.0,7.8,64.7,38.8,81.0,5.3,126.4,52.3
Monterey,1/17/2010,0.01,0.18,52.0,10.4,55.3,42.9,93.0,5.9,142.2,52.3
Monterey,1/18/2010,0.03,1.14,118.0,10.8,59.0,45.1,93.0,9.3,223.5,52.3
Monterey,1/19/2010,0.03,0.85,116.0,10.2,56.4,44.5,92.0,9.0,214.9,52.4
Monterey,1/20/2010,0.05,1.34,148.0,9.4,56.7,41.3,92.0,10.9,262.0,51.6
Monterey,1/21/2010,0.03,0.57,118.0,8.9,54.0,41.2,95.0,5.6,134.4,50.7
Monterey,1/22/2010,0.02,0.15,112.0,8.1,49.1,34.4,93.0,3.8,90.5,50.3
Monterey,1/23/2010,0.06,0.0,290.0,7.7,58.5,32.4,95.0,2.7,65.0,49.2
Monterey,1/24/2010,0.03,0.01,161.0,8.4,52.4,33.4,96.0,4.0,94.9,48.8
Monterey,1/25/2010,0.05,0.0,209.0,9.4,60.5,38.9,93.0,6.5,154.8,49.5
Monterey,1/26/2010,0.01,0.52,53.0,11.1,53.2,46.7,95.0,3.5,85.2,50.8
Monterey,1/27/2010,0.06,0.0,256.0,11.1,60.3,42.9,97.0,3.9,93.2,51.8
Monterey,1/28/2010,0.06,0.0,268.0,10.4,61.8,42.4,96.0,2.7,64.7,52.7
Monterey,1/29/2010,0.08,0.1,287.0,9.9,62.5,39.9,98.0,6.3,151.3,52.7
Monterey,1/30/2010,0.08,0.01,302.0,10.1,60.9,40.5,95.0,3.9,94.0,53.1
Monterey,1/31/2010,0.06,0.0,256.0,9.3,65.4,37.5,98.0,3.2,75.8,52.6
Monterey,2/1/2010,0.06,0.0,240.0,9.8,58.9,36.7,96.0,3.8,91.7,52.3
Monterey,2/2/2010,0.07,0.0,267.0,10.0,63.2,41.6,97.0,4.5,108.8,52.7
Monterey,2/3/2010,0.06,0.0,274.0,10.3,59.5,40.5,97.0,3.3,79.8,52.9
Monterey,2/4/2010,0.04,0.31,135.0,10.3,58.2,42.5,96.0,7.8,187.6,53.1
Monterey,2/5/2010,0.05,0.46,189.0,11.6,62.3,45.8,96.0,6.3,151.3,53.5
Monterey,2/6/2010,0.03,0.56,137.0,10.6,55.8,41.0,96.0,4.5,109.1,53.7
Monterey,2/7/2010,0.05,0.0,193.0,9.1,54.7,39.7,93.0,4.9,116.6,52.6
Monterey,2/8/2010,0.09,0.0,323.0,9.4,60.5,38.5,94.0,4.6,111.0,51.9
Monterey,2/9/2010,0.08,0.07,341.0,8.7,54.6,41.1,93.0,5.3,128.2,52.7
Monterey,2/10/2010,0.09,0.0,353.0,8.6,58.9,35.6,93.0,5.0,120.2,51.9
Monterey,2/11/2010,0.06,0.0,263.0,9.0,59.4,36.3,96.0,3.0,72.3,51.4
Monterey,2/12/2010,0.07,0.01,293.0,10.3,66.6,39.8,97.0,3.4,81.4,51.9
Monterey,2/13/2010,0.08,0.02,314.0,11.2,68.1,41.9,98.0,3.2,76.2,53.4
Monterey,2/14/2010,0.08,0.01,323.0,10.9,72.1,43.1,98.0,2.9,69.3,54.7
Monterey,2/15/2010,0.1,0.01,379.0,10.1,76.0,37.8,97.0,3.0,72.9,54.4
Monterey,2/16/2010,0.09,0.01,342.0,11.9,71.9,43.2,98.0,3.6,86.8,55.4
Monterey,2/17/2010,0.11,0.0,372.0,11.6,71.4,41.0,97.0,3.8,92.1,55.7
Monterey,2/18/2010,0.09,0.0,334.0,10.9,70.3,39.2,97.0,4.9,116.8,55.5
Monterey,2/19/2010,0.05,0.0,165.0,10.7,59.2,47.3,94.0,4.9,118.6,55.9
Monterey,2/20/2010,0.08,0.0,284.0,10.1,60.7,43.1,94.0,4.7,113.2,55.7
Monterey,2/21/2010,0.05,0.0,200.0,9.9,58.1,41.0,94.0,5.0,119.3,55.0
Monterey,2/22/2010,0.11,0.0,395.0,9.1,62.0,41.6,94.0,4.3,103.6,55.5
Monterey,2/23/2010,0.02,0.05,92.0,9.3,51.4,38.6,93.0,4.6,110.2,54.6
Monterey,2/24/2010,0.08,0.12,292.0,11.6,64.1,45.6,94.0,8.3,198.8,54.6
Monterey,2/25/2010,0.09,0.0,338.0,10.9,65.2,42.2,97.0,3.1,74.5,55.5
Monterey,2/26/2010,0.05,0.88,168.0,11.4,61.5,45.2,96.0,8.5,205.0,55.9
Monterey,2/27/2010,0.05,0.47,223.0,10.5,55.9,42.1,93.0,6.1,147.3,55.4
Monterey,2/28/2010,0.1,0.0,406.0,10.3,65.5,37.3,96.0,4.1,99.2,54.4
Monterey,3/1/2010,0.08,0.0,269.0,11.1,61.7,46.0,97.0,5.4,129.6,55.8
Monterey,3/2/2010,0.05,0.38,208.0,11.0,60.0,41.2,93.0,6.1,145.4,56.3
Monterey,3/3/2010,0.04,0.26,163.0,9.1,54.2,38.3,94.0,6.6,157.7,54.9
Monterey,3/4/2010,0.11,0.0,430.0,8.1,58.2,37.2,94.0,4.6,111.3,53.7
Monterey,3/5/2010,0.08,0.0,333.0,8.2,58.7,33.7,96.0,3.3,80.3,53.2
