County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Napa,1/1/2010,0.01,0.13,75.0,13.2,56.6,47.4,100.0,2.8,67.1,50.6
Napa,1/2/2010,0.04,0.01,197.0,12.3,61.6,42.1,100.0,3.2,77.3,51.7
Napa,1/3/2010,0.06,0.0,227.0,9.4,66.0,34.3,100.0,2.9,68.4,50.3
Napa,1/4/2010,0.05,0.02,227.0,9.5,61.7,32.9,100.0,2.1,50.9,49.2
Napa,1/5/2010,0.03,0.0,169.0,9.8,61.3,35.6,100.0,2.0,47.5,48.9
Napa,1/6/2010,0.01,0.01,90.0,9.9,52.3,39.2,100.0,1.9,45.5,49.0
Napa,1/7/2010,0.01,0.01,85.0,10.5,50.9,38.9,100.0,1.9,44.8,49.0
Napa,1/8/2010,0.02,0.03,133.0,11.2,59.6,40.7,100.0,2.0,47.9,49.8
Napa,1/9/2010,0.01,0.01,83.0,10.8,54.2,38.7,100.0,2.1,49.8,49.7
Napa,1/10/2010,0.02,0.01,129.0,10.9,56.6,39.7,100.0,1.9,46.4,49.9
Napa,1/11/2010,0.02,0.0,122.0,10.6,56.0,41.1,100.0,2.3,56.3,50.4
Napa,1/12/2010,0.0,0.97,33.0,14.9,59.4,47.4,100.0,6.4,153.8,51.0
Napa,1/13/2010,0.05,0.14,192.0,13.0,63.0,43.2,100.0,4.3,102.1,52.7
Napa,1/14/2010,0.05,0.0,225.0,11.0,65.2,39.6,100.0,2.5,59.5,51.7
Napa,1/15/2010,0.03,0.01,135.0,10.8,58.6,40.8,100.0,2.3,54.3,51.1
Napa,1/16/2010,0.03,0.05,158.0,11.0,56.8,38.7,100.0,2.5,60.2,50.7
Napa,1/17/2010,0.01,0.44,68.0,12.8,56.2,50.3,100.0,4.5,108.8,51.8
Napa,1/18/2010,0.01,2.14,44.0,12.2,55.1,49.4,100.0,6.1,146.7,51.5
Napa,1/19/2010,0.01,2.16,87.0,11.4,54.7,42.9,100.0,6.4,154.4,50.9
Napa,1/20/2010,0.01,2.81,79.0,10.7,53.1,43.3,99.0,6.8,163.4,49.8
Napa,1/21/2010,0.0,1.04,21.0,9.7,50.1,39.8,100.0,3.2,77.7,49.8
Napa,1/22/2010,0.01,0.19,83.0,8.9,47.3,36.2,100.0,2.2,52.8,48.6
Napa,1/23/2010,0.04,0.25,184.0,10.0,55.8,37.9,100.0,2.6,61.6,48.8
Napa,1/24/2010,0.01,0.14,70.0,9.9,50.3,36.2,100.0,1.9,46.2,48.7
Napa,1/25/2010,0.0,1.41,30.0,11.9,52.2,46.0,100.0,3.1,75.2,49.1
Napa,1/26/2010,0.01,0.13,68.0,12.7,54.7,40.3,100.0,2.7,65.0,50.3
Napa,1/27/2010,0.05,0.01,243.0,10.7,58.8,37.4,100.0,2.3,54.8,50.1
Napa,1/28/2010,0.05,0.01,222.0,10.0,62.0,35.8,100.0,2.1,51.1,50.2
Napa,1/29/2010,0.02,0.1,97.0,11.3,56.9,41.3,100.0,2.4,58.0,50.3
Napa,1/30/2010,0.04,0.02,189.0,11.6,61.2,40.2,100.0,2.5,59.2,51.2
Napa,1/31/2010,0.06,0.01,268.0,10.7,60.1,37.5,100.0,2.6,61.4,51.0
Napa,2/1/2010,0.03,0.0,140.0,11.4,58.6,42.0,100.0,2.4,56.9,51.3
Napa,2/2/2010,0.04,0.0,176.0,10.9,58.6,43.5,100.0,3.1,74.9,51.4
Napa,2/3/2010,0.03,0.06,151.0,11.4,60.4,40.9,100.0,2.1,50.0,51.5
Napa,2/4/2010,0.0,1.27,49.0,12.3,56.1,45.1,100.0,3.4,81.8,51.6
Napa,2/5/2010,0.06,0.02,235.0,13.1,62.5,48.7,100.0,2.8,66.8,52.4
Napa,2/6/2010,0.03,0.58,142.0,12.0,57.5,43.6,100.0,3.9,92.9,53.2
Napa,2/7/2010,0.07,0.0,294.0,10.3,62.0,39.6,100.0,2.7,64.6,52.3
Napa,2/8/2010,0.04,0.07,195.0,9.8,57.1,34.4,100.0,2.7,64.7,51.2
Napa,2/9/2010,0.02,0.36,112.0,10.5,53.4,37.6,100.0,3.2,76.3,51.3
Napa,2/10/2010,0.06,0.01,255.0,9.9,60.3,33.9,100.0,3.3,80.2,50.1
Napa,2/11/2010,0.05,0.04,211.0,11.2,59.5,42.0,100.0,3.4,81.8,51.2
Napa,2/12/2010,0.04,0.01,171.0,13.5,61.1,46.8,100.0,3.1,73.7,52.3
Napa,2/13/2010,0.07,0.0,280.0,12.9,66.0,45.0,100.0,2.4,57.0,53.9
Napa,2/14/2010,0.08,0.01,317.0,12.7,67.8,39.6,100.0,2.4,58.4,53.6
Napa,2/15/2010,0.08,0.01,323.0,13.7,68.9,43.5,100.0,2.5,59.5,54.4
Napa,2/16/2010,0.09,0.0,320.0,13.4,71.4,43.7,100.0,2.5,59.2,54.8
Napa,2/17/2010,0.1,0.01,342.0,12.5,75.2,39.7,100.0,2.2,53.2,54.7
Napa,2/18/2010,0.07,0.01,287.0,13.4,65.2,42.8,100.0,3.7,88.4,54.8
Napa,2/19/2010,0.01,0.0,71.0,12.0,54.7,46.1,100.0,2.6,62.7,55.0
Napa,2/20/2010,0.02,0.0,105.0,10.5,55.4,40.1,100.0,3.0,71.5,53.6
Napa,2/21/2010,0.03,0.05,160.0,10.7,53.7,38.6,100.0,3.0,71.9,52.9
Napa,2/22/2010,0.1,0.01,362.0,9.3,64.5,36.2,100.0,3.3,80.1,53.2
Napa,2/23/2010,0.0,1.19,45.0,10.7,50.1,41.8,100.0,3.2,76.8,52.6
Napa,2/24/2010,0.05,0.15,196.0,13.1,65.4,44.3,100.0,3.5,84.1,52.6
Napa,2/25/2010,0.08,0.0,294.0,12.6,63.9,44.5,100.0,2.8,67.3,53.9
Napa,2/26/2010,0.02,0.79,82.0,12.7,58.8,43.2,100.0,3.7,89.1,54.7
Napa,2/27/2010,0.04,0.41,194.0,11.1,60.0,40.6,100.0,3.3,79.7,53.3
Napa,2/28/2010,0.1,0.01,368.0,11.5,65.3,36.9,100.0,3.2,76.2,52.9
Napa,3/1/2010,0.05,0.01,205.0,12.5,58.8,43.9,100.0,3.0,72.7,53.9
Napa,3/2/2010,0.04,0.56,197.0,12.1,60.7,43.8,100.0,4.3,103.0,54.4
Napa,3/3/2010,0.04,1.01,183.0,10.2,53.9,37.0,100.0,4.4,104.7,53.3
Napa,3/4/2010,0.08,0.01,360.0,8.9,58.8,34.8,100.0,2.7,63.8,52.2
Napa,3/5/2010,0.06,0.0,243.0,9.0,55.7,33.6,100.0,2.6,62.9,51.7
Napa,3/6/2010,0.09,0.0,311.0,10.7,67.4,43.3,96.0,2.9,70.1,52.5
Napa,3/7/2010,0.12,0.0,424.0,10.9,69.2,37.0,100.0,3.3,80.1,53.3
Napa,3/8/2010,0.09,0.01,315.0,8.5,56.0,35.1,100.0,5.4,129.2,53.1
Napa,3/9/2010,0.1,0.2,368.0,7.2,58.4,30.3,100.0,4.0,95.4,51.3
Napa,3/10/2010,0.09,0.0,380.0,7.9,59.5,33.4,100.0,3.2,76.5,51.0
Napa,3/11/2010,0.11,0.0,432.0,8.6,61.9,31.8,100.0,3.2,76.8,51.0
Napa,3/12/2010,0.02,0.71,113.0,10.7,56.5,37.3,100.0,4.8,114.4,51.7
Napa,3/13/2010,0.12,0.01,469.0,6.7,60.0,34.2,100.0,4.1,98.8,50.9
Napa,3/14/2010,0.14,0.0,451.0,7.7,68.2,36.2,98.0,3.1,75.3,50.9
Napa,3/15/2010,0.13,0.0,456.0,10.3,70.6,35.2,100.0,2.7,64.8,52.3
Napa,3/16/2010,0.13,0.0,405.0,12.3,74.3,43.0,100.0,3.0,71.1,54.0
Napa,3/17/2010,0.14,0.0,441.0,13.3,76.0,46.1,100.0,2.8,66.8,56.1
Napa,3/18/2010,0.19,0.0,485.0,8.3,79.8,38.0,100.0,4.8,114.4,56.4
Napa,3/19/2010,0.19,0.0,489.0,7.8,80.0,44.2,75.0,4.5,108.6,56.5
Napa,3/20/2010,0.12,0.0,386.0,8.7,69.3,37.6,91.0,3.2,76.8,56.2
Napa,3/21/2010,0.08,0.0,316.0,11.4,66.9,37.3,100.0,3.5,83.2,55.5
Napa,3/22/2010,0.14,0.0,487.0,10.8,72.2,40.0,100.0,3.6,85.3,56.2
Napa,3/23/2010,0.18,0.0,491.0,8.0,76.2,43.2,92.0,4.5,108.9,57.1
Napa,3/24/2010,0.13,0.21,465.0,10.5,67.8,37.4,100.0,4.3,103.7,57.2
Napa,3/25/2010,0.11,0.02,398.0,10.7,61.1,39.7,100.0,4.8,115.0,56.9
Napa,3/26/2010,0.14,0.0,501.0,9.3,66.9,34.6,100.0,3.6,87.5,55.9
Napa,3/27/2010,0.16,0.0,498.0,9.1,71.8,38.8,100.0,3.3,79.1,56.5
Napa,3/28/2010,0.15,0.0,456.0,9.3,72.3,39.6,95.0,3.8,91.6,57.2
Napa,3/29/2010,0.04,0.25,175.0,13.9,63.4,48.7,100.0,5.6,133.5,57.6
Napa,3/30/2010,0.13,0.16,428.0,10.1,58.2,39.5,100.0,7.0,168.4,57.1
Napa,3/31/2010,0.06,0.31,256.0,8.9,54.1,36.7,100.0,3.8,90.7,55.0
Napa,4/1/2010,0.1,0.0,385.0,9.1,60.6,38.6,100.0,3.9,93.9,54.4
Napa,4/2/2010,0.04,0.25,222.0,10.2,58.2,37.5,100.0,4.6,109.9,54.1
Napa,4/3/2010,0.11,0.0,418.0,8.2,60.0,34.7,100.0,4.9,118.1,53.4
Napa,4/4/2010,0.01,1.33,99.0,9.8,50.6,38.8,100.0,4.0,97.1,52.5
Napa,4/5/2010,0.11,0.0,412.0,9.0,56.9,34.9,100.0,4.1,97.8,52.1
Napa,4/6/2010,0.15,0.0,550.0,8.6,66.7,35.2,100.0,3.3,79.5,53.2
Napa,4/7/2010,0.18,0.0,559.0,9.8,74.5,36.6,100.0,3.6,87.1,55.2
Napa,4/8/2010,0.14,0.0,481.0,11.3,69.5,42.5,99.0,3.7,88.3,56.9
Napa,4/9/2010,0.19,0.0,571.0,8.9,75.0,38.7,99.0,3.5,82.9,57.6
Napa,4/10/2010,0.03,0.0,146.0,10.8,56.3,46.3,96.0,3.7,88.7,57.3
Napa,4/11/2010,0.0,2.26,45.0,10.9,53.6,46.7,100.0,5.0,118.9,54.8
Napa,4/12/2010,0.05,0.52,233.0,11.5,58.5,41.5,100.0,4.6,109.4,53.7
Napa,4/13/2010,0.12,0.01,463.0,10.6,65.2,39.2,100.0,3.5,83.5,54.9
Napa,4/14/2010,0.12,0.0,447.0,9.6,61.4,38.5,100.0,4.4,106.0,55.6
Napa,4/15/2010,0.16,0.0,516.0,10.2,69.3,38.4,100.0,3.2,76.7,55.9
Napa,4/16/2010,0.18,0.0,572.0,11.3,70.6,42.6,95.0,4.5,107.9,58.5
Napa,4/17/2010,0.17,0.0,532.0,12.8,73.4,43.8,100.0,3.5,84.6,59.7
Napa,4/18/2010,0.2,0.0,593.0,12.3,78.0,43.5,100.0,3.9,93.6,60.9
Napa,4/19/2010,0.12,0.0,407.0,11.9,65.9,43.8,100.0,4.0,95.3,61.1
Napa,4/20/2010,0.11,0.26,402.0,10.9,59.1,41.8,99.0,5.5,133.0,60.0
