County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Orange,1/1/2010,0.07,0.0,216.0,8.8,71.4,46.5,71.0,2.4,58.3,54.8
Orange,1/2/2010,0.09,0.0,291.0,8.8,79.7,47.0,63.0,3.0,71.0,55.3
Orange,1/3/2010,0.09,0.0,272.0,6.1,80.7,45.8,50.0,2.6,62.2,55.9
Orange,1/4/2010,0.09,0.0,247.0,5.4,78.1,51.5,40.0,3.2,76.8,55.8
Orange,1/5/2010,0.1,0.0,300.0,6.7,78.0,48.6,52.0,3.1,74.9,55.8
Orange,1/6/2010,0.09,0.0,283.0,7.3,76.1,49.2,61.0,2.8,67.7,55.7
Orange,1/7/2010,0.09,0.0,293.0,8.1,76.6,46.0,68.0,2.8,66.3,55.5
Orange,1/8/2010,0.08,0.0,272.0,9.0,79.3,48.2,67.0,2.5,60.3,55.7
Orange,1/9/2010,0.08,0.0,256.0,8.9,77.0,49.7,59.0,2.6,62.2,56.4
Orange,1/10/2010,0.09,0.0,274.0,9.7,76.0,51.4,63.0,3.0,72.4,57.2
Orange,1/11/2010,0.09,0.0,288.0,9.5,79.4,49.9,65.0,2.8,66.3,57.1
Orange,1/12/2010,0.08,0.0,262.0,10.2,73.1,50.7,85.0,2.6,61.7,57.1
Orange,1/13/2010,0.03,0.0,164.0,12.8,64.6,50.3,87.0,3.2,77.1,54.6
Orange,1/14/2010,0.09,0.0,316.0,8.8,79.0,43.5,85.0,4.1,98.6,55.7
Orange,1/15/2010,0.09,0.0,220.0,6.2,75.6,51.7,47.0,3.1,74.4,56.5
Orange,1/16/2010,0.09,0.0,240.0,8.6,72.6,49.6,73.0,3.4,81.4,57.0
Orange,1/17/2010,0.05,0.03,186.0,11.5,66.4,49.5,87.0,3.0,71.5,55.6
Orange,1/18/2010,0.01,0.01,40.0,13.8,62.6,51.0,88.0,6.1,145.5,53.8
Orange,1/19/2010,0.02,0.02,90.0,11.4,61.1,48.7,87.0,5.4,129.4,54.0
Orange,1/20/2010,0.02,0.0,64.0,12.0,58.4,48.9,88.0,7.1,170.0,52.4
Orange,1/21/2010,0.01,0.0,66.0,12.3,60.7,51.4,89.0,5.6,134.7,52.1
Orange,1/22/2010,0.03,0.0,131.0,9.8,55.2,42.6,88.0,4.0,96.2,51.2
