County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Placer,1/1/2010,0.02,0.04,73.0,9.3,55.8,45.9,84.0,3.1,74.9,48.7
Placer,1/2/2010,0.04,0.0,171.0,10.3,59.9,41.2,93.0,3.5,83.7,50.2
Placer,1/3/2010,0.05,0.0,216.0,7.9,57.0,37.1,95.0,3.2,77.4,48.7
Placer,1/4/2010,0.04,0.0,210.0,8.0,57.2,30.7,96.0,2.5,61.1,48.4
Placer,1/5/2010,0.03,0.0,140.0,7.2,52.8,34.3,95.0,2.4,58.1,47.1
Placer,1/6/2010,0.01,0.0,92.0,8.1,48.9,34.1,96.0,2.2,53.5,46.7
Placer,1/7/2010,0.01,0.0,57.0,8.6,45.5,32.0,95.0,2.1,50.7,47.3
Placer,1/8/2010,0.01,0.08,71.0,9.3,54.0,40.2,96.0,2.4,56.9,47.4
Placer,1/9/2010,0.02,0.01,110.0,9.8,56.0,40.6,95.0,2.5,60.6,48.1
Placer,1/10/2010,0.02,0.0,134.0,8.9,51.7,35.5,95.0,2.3,54.4,48.0
Placer,1/11/2010,0.02,0.0,113.0,9.5,58.2,40.1,95.0,2.3,55.9,48.4
Placer,1/12/2010,0.01,0.76,62.0,11.1,57.8,44.4,94.0,3.7,87.9,49.3
Placer,1/13/2010,0.04,0.51,165.0,10.6,61.1,45.8,93.0,3.6,86.0,51.1
Placer,1/14/2010,0.04,0.0,183.0,8.1,59.6,40.7,92.0,3.6,85.8,49.3
Placer,1/15/2010,0.04,0.0,153.0,8.7,57.8,43.8,91.0,3.2,78.0,48.7
Placer,1/16/2010,0.05,0.0,199.0,7.5,62.4,40.5,81.0,3.6,85.6,48.8
Placer,1/17/2010,0.01,0.55,36.0,9.2,52.9,44.3,91.0,3.3,78.4,49.0
Placer,1/18/2010,0.01,1.11,25.0,9.9,53.6,47.4,92.0,4.3,104.0,49.1
Placer,1/19/2010,0.01,0.6,35.0,8.4,51.8,43.7,85.0,5.6,134.9,48.0
Placer,1/20/2010,0.02,0.94,41.0,8.2,51.8,41.3,88.0,5.8,140.2,46.9
