County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Plumas,12/31/2019,0.0,0.06,211,4.9,41.3,17.8,85,4.6,111.4,31.9
Plumas,10/29/2020,0.1,0.0,444,2.6,72.2,24.2,55,6.6,157.9,47.2
Plumas,10/30/2020,0.11,0.0,341,2.6,75.6,11.2,74,3.5,83.6,44.8
Plumas,10/31/2020,0.12,0.0,332,3.0,74.3,16.6,74,4.0,97.1,46.0
Plumas,11/1/2020,0.1,0.0,329,3.1,74.1,18.6,74,3.2,77.0,46.9
Plumas,11/2/2020,0.1,0.0,312,3.1,75.7,18.9,72,3.1,73.4,46.8
Plumas,11/3/2020,0.09,0.0,298,3.2,74.6,18.4,72,3.5,84.4,46.8
Plumas,11/4/2020,0.09,0.0,310,3.9,73.9,14.6,79,2.7,64.1,46.5
Plumas,11/5/2020,0.09,0.0,307,4.0,76.1,18.6,84,3.1,74.7,46.9
Plumas,11/6/2020,0.09,0.0,250,5.6,53.7,27.9,97,9.5,228.1,47.0
Plumas,11/7/2020,0.03,0.0,120,5.0,42.6,19.3,99,6.5,156.8,44.5
Plumas,11/8/2020,0.04,0.06,217,3.7,34.5,10.0,97,4.2,102.0,42.7
Plumas,11/9/2020,0.04,0.0,269,2.9,35.5,1.9,93,3.6,86.7,38.0
Plumas,11/10/2020,0.07,0.0,289,3.7,53.1,11.2,94,3.9,92.7,38.1
Plumas,11/11/2020,0.06,0.0,256,3.6,49.7,10.9,96,3.2,77.1,38.2
Plumas,11/12/2020,0.06,0.0,272,2.7,52.9,3.5,93,3.1,73.3,37.0
Plumas,11/13/2020,0.06,0.04,135,5.2,45.3,21.7,89,12.4,296.5,37.8
Plumas,11/14/2020,0.05,0.0,196,4.2,51.1,15.7,98,4.5,108.1,38.5
Plumas,11/15/2020,0.08,0.0,196,4.8,59.0,22.9,99,6.9,166.2,39.4
Plumas,11/16/2020,0.06,0.0,259,4.8,67.2,17.2,99,2.0,48.4,39.6
Plumas,11/17/2020,0.12,0.59,146,5.2,60.6,24.9,96,13.7,329.5,40.2
Plumas,11/18/2020,0.04,0.63,156,6.9,48.2,33.9,99,8.2,195.9,40.3
Plumas,11/19/2020,0.06,0.0,264,4.5,47.7,23.4,94,4.2,101.6,39.9
Plumas,11/20/2020,0.06,0.0,258,4.3,47.1,16.8,97,4.4,105.6,37.8
Plumas,11/21/2020,0.06,0.0,252,4.3,46.8,13.2,98,5.6,134.9,35.8
Plumas,11/22/2020,0.05,0.04,238,4.8,51.5,19.3,99,3.4,82.5,35.9
Plumas,11/23/2020,0.04,0.01,224,5.5,49.9,22.6,99,2.2,53.3,38.1
Plumas,11/24/2020,0.05,0.0,257,4.5,52.7,17.5,98,1.8,42.7,36.9
Plumas,11/25/2020,0.06,0.0,190,4.5,45.6,25.5,82,7.9,190.3,36.5
Plumas,11/26/2020,0.06,0.0,250,3.6,40.7,22.2,87,9.0,215.8,35.2
Plumas,11/27/2020,0.08,0.0,250,3.3,46.8,16.6,84,10.2,243.7,34.5
Plumas,11/28/2020,0.05,0.0,246,3.3,52.7,11.4,93,1.9,45.2,33.9
Plumas,11/29/2020,0.04,0.0,232,3.5,51.1,12.3,94,2.2,53.8,33.4
Plumas,11/30/2020,0.06,0.0,236,3.5,58.2,11.2,94,3.4,81.9,33.1
Plumas,12/1/2020,0.07,0.0,239,4.0,49.4,13.1,93,8.1,193.8,33.0
Plumas,12/2/2020,0.07,0.0,343,4.0,48.2,18.3,94,10.8,258.4,33.2
Plumas,12/3/2020,0.04,0.0,217,3.7,52.0,11.7,94,2.1,51.5,33.1
Plumas,12/4/2020,0.06,0.0,214,3.6,52.0,12.5,95,5.6,134.4,33.0
Plumas,12/5/2020,0.04,0.0,213,3.6,53.4,11.0,93,2.7,65.7,32.9
Plumas,12/6/2020,0.07,0.0,230,4.3,49.6,24.2,72,7.5,179.7,33.6
Plumas,12/7/2020,0.07,0.0,228,4.2,50.8,17.1,87,9.0,214.8,33.8
Plumas,12/8/2020,0.05,0.0,230,3.2,52.0,9.1,92,3.4,81.0,33.3
Plumas,12/9/2020,0.04,0.0,190,3.5,53.5,6.5,92,3.8,91.5,32.7
Plumas,12/10/2020,0.05,0.0,227,3.9,49.2,15.1,96,4.4,106.1,32.8
Plumas,12/11/2020,0.05,0.0,136,4.0,48.8,14.9,87,6.1,147.3,32.9
Plumas,12/12/2020,0.05,0.0,220,4.5,39.8,21.0,92,8.1,194.1,34.0
Plumas,12/13/2020,0.02,0.2,104,5.4,42.6,17.5,99,4.4,105.8,33.3
Plumas,12/14/2020,0.02,0.39,165,5.2,44.1,16.8,100,2.1,51.0,33.7
Plumas,12/15/2020,0.02,0.0,152,4.6,33.9,16.7,99,2.6,63.1,33.6
Plumas,12/16/2020,0.01,0.0,130,5.0,41.4,21.3,99,2.7,65.2,33.5
