County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Riverside,1/1/2010,0.08,0.0,202.0,5.3,71.7,41.5,58.0,3.2,77.4,49.8
Riverside,1/2/2010,0.12,0.0,273.0,4.6,80.5,51.2,34.0,4.8,115.1,51.0
Riverside,1/3/2010,0.1,0.0,253.0,3.4,75.5,47.2,34.0,4.3,102.8,50.7
Riverside,1/4/2010,0.09,0.0,189.0,3.9,74.3,46.3,33.0,3.2,77.8,49.9
Riverside,1/5/2010,0.11,0.0,276.0,3.7,76.9,45.7,36.0,3.6,87.4,50.1
Riverside,1/6/2010,0.1,0.0,264.0,4.8,75.1,46.6,49.0,2.9,69.1,50.9
Riverside,1/7/2010,0.09,0.0,266.0,5.7,78.5,45.3,52.0,2.7,64.1,51.5
Riverside,1/8/2010,0.1,0.0,242.0,6.3,75.6,47.9,53.0,3.3,79.1,52.4
Riverside,1/9/2010,0.1,0.0,231.0,5.2,73.6,50.1,45.0,4.1,97.3,52.4
Riverside,1/10/2010,0.09,0.0,241.0,5.7,76.5,48.9,50.0,3.1,74.0,53.2
Riverside,1/11/2010,0.11,0.0,260.0,4.9,78.0,49.4,42.0,3.4,80.6,53.0
Riverside,1/12/2010,0.08,0.0,233.0,6.1,75.5,48.3,56.0,2.4,56.4,53.4
Riverside,1/13/2010,0.04,0.02,160.0,9.6,58.8,45.1,83.0,3.0,71.7,53.2
Riverside,1/14/2010,0.16,0.0,292.0,4.9,69.3,42.4,84.0,8.6,206.5,51.1
Riverside,1/15/2010,0.08,0.0,202.0,4.0,70.6,47.2,42.0,3.6,87.1,50.2
Riverside,1/16/2010,0.09,0.0,223.0,6.1,68.1,46.0,59.0,2.9,70.0,51.1
Riverside,1/17/2010,0.06,0.21,219.0,8.4,62.1,44.0,85.0,2.8,67.4,51.5
Riverside,1/18/2010,0.02,0.96,72.0,11.0,56.7,44.7,85.0,5.0,119.5,53.0
Riverside,1/19/2010,0.01,0.43,62.0,9.2,55.1,42.8,85.0,3.5,83.9,49.9
Riverside,1/20/2010,0.03,0.82,90.0,9.3,54.5,46.4,83.0,6.8,162.2,50.1
Riverside,1/21/2010,0.01,1.35,46.0,9.2,52.2,46.5,85.0,5.0,121.1,49.8
Riverside,1/22/2010,0.01,1.3,81.0,7.8,47.0,40.2,84.0,3.8,92.2,48.8
Riverside,1/23/2010,0.07,0.0,301.0,7.4,54.4,40.4,84.0,2.7,64.7,48.8
Riverside,1/24/2010,0.07,0.0,302.0,7.1,61.6,36.1,84.0,2.4,58.6,48.8
Riverside,1/25/2010,0.07,0.0,266.0,7.1,66.7,39.0,79.0,2.4,58.0,49.9
Riverside,1/26/2010,0.04,0.22,164.0,8.6,59.6,40.2,84.0,3.1,73.3,50.1
Riverside,1/27/2010,0.08,0.0,210.0,8.9,61.7,46.9,86.0,5.8,139.8,51.2
Riverside,1/28/2010,0.13,0.0,317.0,6.5,65.8,47.6,69.0,7.0,167.0,50.8
Riverside,1/29/2010,0.08,0.0,269.0,7.6,66.8,45.0,74.0,2.9,70.8,51.2
