County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Sacramento,1/1/2010,0.01,0.04,80.0,10.6,56.9,47.3,89.0,2.1,50.2,50.3
Sacramento,1/2/2010,0.03,0.0,147.0,11.4,59.5,41.2,94.0,2.7,65.6,51.4
Sacramento,1/3/2010,0.01,0.0,86.0,10.7,53.8,41.9,95.0,2.1,50.9,50.8
Sacramento,1/4/2010,0.04,0.0,189.0,9.3,56.4,38.7,94.0,2.4,57.5,51.1
Sacramento,1/5/2010,0.0,0.0,53.0,8.6,46.5,36.7,95.0,2.2,53.1,49.1
Sacramento,1/6/2010,0.0,0.0,47.0,9.0,47.4,42.1,95.0,2.3,54.8,49.2
Sacramento,1/7/2010,0.0,0.0,68.0,9.1,46.4,32.0,95.0,2.1,50.7,49.6
Sacramento,1/8/2010,0.01,0.05,82.0,9.7,52.3,43.4,95.0,2.9,68.7,49.8
Sacramento,1/9/2010,0.0,0.0,57.0,10.2,49.7,44.1,96.0,2.3,55.6,50.1
Sacramento,1/10/2010,0.0,0.0,46.0,9.9,46.6,43.4,96.0,2.2,52.1,50.3
Sacramento,1/11/2010,0.01,0.0,71.0,9.9,48.9,43.8,96.0,2.1,50.7,50.3
Sacramento,1/12/2010,0.01,0.26,57.0,12.1,60.8,46.3,94.0,3.9,93.4,51.1
Sacramento,1/13/2010,0.05,0.35,217.0,11.6,62.8,43.8,94.0,3.6,86.5,52.7
Sacramento,1/14/2010,0.05,0.0,208.0,8.9,58.3,39.0,94.0,2.4,58.2,50.9
Sacramento,1/15/2010,0.03,0.0,158.0,9.7,58.9,41.8,93.0,1.7,41.8,50.4
Sacramento,1/16/2010,0.03,0.01,186.0,9.3,51.7,37.7,95.0,2.7,65.3,50.2
Sacramento,1/17/2010,0.0,0.33,40.0,10.8,52.8,47.7,92.0,4.2,100.9,50.7
Sacramento,1/18/2010,0.01,0.85,54.0,11.1,56.9,48.9,92.0,7.7,185.7,51.0
Sacramento,1/19/2010,0.03,0.53,61.0,9.7,54.1,46.7,88.0,10.3,247.2,50.3
Sacramento,1/20/2010,0.03,0.85,62.0,9.4,53.6,45.0,88.0,10.7,257.2,49.6
Sacramento,1/21/2010,0.01,0.74,38.0,8.5,49.2,42.6,94.0,3.9,92.7,48.9
Sacramento,1/22/2010,0.01,0.13,72.0,8.4,46.8,40.3,94.0,3.9,92.8,48.4
Sacramento,1/23/2010,0.03,0.03,140.0,8.6,53.6,39.5,91.0,3.9,93.9,47.7
Sacramento,1/24/2010,0.01,0.03,56.0,8.4,49.2,40.4,88.0,2.1,51.0,47.5
Sacramento,1/25/2010,0.01,0.49,68.0,9.9,51.3,44.2,94.0,3.4,82.8,48.7
Sacramento,1/26/2010,0.02,0.04,96.0,10.6,53.3,43.9,93.0,3.8,92.0,49.8
Sacramento,1/27/2010,0.02,0.0,127.0,9.9,56.6,42.5,95.0,2.3,54.2,49.8
Sacramento,1/28/2010,0.04,0.0,187.0,9.9,58.6,39.6,94.0,2.2,52.7,49.5
Sacramento,1/29/2010,0.04,0.08,166.0,10.6,60.3,43.2,94.0,2.6,61.7,50.5
Sacramento,1/30/2010,0.05,0.0,217.0,10.3,60.4,43.0,93.0,2.7,64.0,51.7
Sacramento,1/31/2010,0.06,0.0,276.0,8.6,61.2,35.8,94.0,1.7,40.9,50.3
Sacramento,2/1/2010,0.05,0.0,220.0,9.6,61.5,43.8,92.0,2.7,65.4,51.4
Sacramento,2/2/2010,0.03,0.02,164.0,10.2,59.3,41.0,95.0,1.9,46.5,51.4
Sacramento,2/3/2010,0.06,0.04,259.0,10.8,62.3,44.2,95.0,1.8,42.8,52.6
Sacramento,2/4/2010,0.03,0.62,99.0,10.7,59.6,47.7,93.0,5.6,135.3,52.0
Sacramento,2/5/2010,0.06,0.16,229.0,12.2,61.8,49.9,94.0,5.9,142.4,53.0
Sacramento,2/6/2010,0.02,0.21,84.0,11.1,55.5,48.7,92.0,5.1,122.7,53.0
