County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
San Benito,1/1/2010,0.03,0.0,132.0,10.5,62.2,44.3,95.0,2.1,49.3,51.1
San Benito,1/2/2010,0.05,0.0,207.0,11.0,62.5,40.7,99.0,2.5,58.8,50.9
San Benito,1/3/2010,0.05,0.0,229.0,9.5,61.5,38.6,97.0,2.2,51.6,50.6
San Benito,1/4/2010,0.05,0.0,242.0,9.5,61.8,37.9,98.0,2.1,50.0,50.0
San Benito,1/5/2010,0.03,,,,,,,,,
San Benito,1/6/2010,0.05,0.0,308.0,9.8,62.1,43.5,92.0,2.3,56.0,49.4
San Benito,1/7/2010,0.05,0.0,227.0,10.2,65.6,38.6,97.0,2.0,48.9,49.6
San Benito,1/8/2010,0.04,0.0,169.0,10.5,63.8,40.3,98.0,2.3,55.9,50.0
San Benito,1/9/2010,0.02,0.0,122.0,10.3,56.8,39.4,98.0,1.9,46.5,49.9
San Benito,1/10/2010,0.05,0.0,314.0,11.2,63.1,43.3,98.0,2.4,57.2,49.8
San Benito,1/11/2010,0.04,0.0,185.0,11.3,63.8,42.0,97.0,2.3,54.7,50.3
San Benito,1/12/2010,0.03,0.13,123.0,13.7,65.1,48.7,98.0,3.4,81.6,51.4
San Benito,1/13/2010,0.06,0.0,371.0,12.8,63.1,49.6,96.0,3.5,84.2,53.0
San Benito,1/14/2010,0.06,0.0,395.0,11.3,64.1,45.2,98.0,2.8,66.8,52.4
San Benito,1/15/2010,0.04,,,,,,,,,
San Benito,1/16/2010,0.04,,,,,,,,,
San Benito,1/17/2010,0.04,,,,,,,,,
San Benito,1/18/2010,0.04,,,,,,,,,
San Benito,1/19/2010,0.01,0.27,66.0,10.0,59.3,46.0,94.0,3.9,94.5,51.1
San Benito,1/20/2010,0.04,0.74,136.0,10.0,59.3,44.2,92.0,4.8,116.2,50.7
San Benito,1/21/2010,0.01,0.21,57.0,9.4,52.0,44.9,95.0,4.2,101.8,50.1
San Benito,1/22/2010,0.03,0.37,176.0,9.0,52.1,40.5,97.0,2.4,58.4,49.3
San Benito,1/23/2010,0.06,0.01,239.0,9.0,57.5,39.7,96.0,2.6,63.4,49.5
San Benito,1/24/2010,0.02,0.0,113.0,9.2,52.9,35.1,98.0,1.7,41.7,48.9
San Benito,1/25/2010,0.03,0.02,105.0,10.7,58.9,45.7,98.0,3.1,74.1,49.6
San Benito,1/26/2010,0.0,0.41,50.0,12.7,55.5,49.4,99.0,2.8,66.0,50.8
San Benito,1/27/2010,0.03,0.0,166.0,11.5,55.5,43.5,99.0,2.2,51.8,51.4
San Benito,1/28/2010,0.06,0.0,254.0,10.9,61.9,41.9,99.0,2.4,57.6,51.1
San Benito,1/29/2010,0.06,0.1,244.0,11.3,66.5,41.4,98.0,2.8,66.7,51.1
San Benito,1/30/2010,0.07,0.0,282.0,11.4,61.3,44.7,99.0,2.3,55.8,51.7
San Benito,1/31/2010,0.07,0.0,287.0,10.4,63.5,38.5,99.0,2.3,55.7,51.3
San Benito,2/1/2010,0.06,0.01,245.0,10.2,61.7,39.2,98.0,2.2,52.0,51.0
San Benito,2/2/2010,0.07,0.0,283.0,10.4,64.4,43.6,94.0,2.5,60.0,51.4
San Benito,2/3/2010,0.08,0.0,310.0,10.4,64.3,37.9,98.0,2.6,61.6,51.3
