County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
San Diego,1/1/2010,0.08,0.0,306,6.9,72.6,45.7,71.0,1.0,24.2,54.7
San Diego,1/2/2010,0.07,0.0,324,8.2,79.8,47.7,71.0,1.0,24.9,55.2
San Diego,1/3/2010,0.07,0.0,280,4.8,81.3,48.9,40.0,1.0,24.2,54.7
San Diego,1/4/2010,0.07,0.0,270,5.7,79.8,48.7,54.0,1.8,43.8,54.5
San Diego,1/5/2010,0.08,0.0,344,5.5,76.0,47.0,59.0,3.8,91.8,54.5
San Diego,1/6/2010,0.09,0.0,326,7.2,73.9,46.7,69.0,3.6,85.7,54.6
San Diego,1/7/2010,0.09,0.0,326,8.2,72.5,44.1,79.0,3.4,80.9,54.5
San Diego,1/8/2010,0.08,0.0,299,7.8,80.0,48.6,75.0,3.5,83.6,55.1
San Diego,1/9/2010,0.06,0.0,274,7.9,76.0,50.3,58.0,2.3,55.6,55.6
San Diego,1/10/2010,0.07,0.0,300,8.6,78.6,51.1,72.0,3.4,81.0,56.2
San Diego,1/11/2010,0.07,0.0,301,7.9,79.0,48.9,65.0,3.8,90.7,56.1
San Diego,1/12/2010,0.08,0.0,297,8.5,73.7,48.3,91.0,2.6,61.6,56.1
San Diego,1/13/2010,0.04,0.0,177,13.0,62.5,48.9,99.0,3.0,72.1,
San Diego,1/14/2010,0.08,0.0,326,10.3,69.9,45.4,99.0,3.4,82.7,56.4
San Diego,1/15/2010,0.07,0.0,228,6.9,72.4,45.5,73.0,3.8,91.6,55.8
San Diego,1/16/2010,0.09,0.0,10,8.2,60.6,32.0,76.0,3.4,82.7,56.6
San Diego,1/17/2010,0.06,0.0,232,10.7,64.0,46.7,93.0,3.1,73.3,55.6
San Diego,1/18/2010,0.01,0.48,55,12.7,61.2,48.9,97.0,5.6,133.4,56.3
San Diego,1/19/2010,0.02,0.33,90,12.0,61.5,45.1,96.0,4.5,108.7,55.2
San Diego,1/20/2010,0.05,0.5,192,11.2,60.2,44.8,97.0,5.7,137.4,54.5
San Diego,1/21/2010,0.01,1.0,66,13.1,60.3,49.0,97.0,10.1,242.6,55.4
San Diego,1/22/2010,0.03,0.46,154,10.1,55.6,43.8,94.0,5.3,126.8,54.5
San Diego,1/23/2010,0.06,0.17,275,9.6,57.9,43.0,96.0,2.7,64.8,53.7
San Diego,1/24/2010,0.08,0.0,458,8.9,63.7,32.0,94.0,4.5,106.9,53.8
San Diego,1/25/2010,0.09,0.0,345,9.7,64.9,41.4,91.0,3.4,82.1,53.7
San Diego,1/26/2010,0.04,0.05,196,11.4,61.1,44.2,92.0,3.7,87.9,54.4
San Diego,1/27/2010,0.07,0.0,266,10.8,63.5,44.8,91.0,3.4,81.8,55.2
San Diego,1/28/2010,0.09,0.0,359,10.9,65.0,44.6,95.0,3.8,91.7,55.4
San Diego,1/29/2010,0.08,0.0,291,11.0,67.2,45.6,96.0,3.5,85.0,55.4
San Diego,1/30/2010,0.09,0.0,343,11.2,65.0,44.5,98.0,3.8,91.0,55.5
San Diego,1/31/2010,0.08,0.0,344,11.5,63.2,45.9,97.0,3.6,86.2,55.8
San Diego,2/1/2010,0.07,0.0,305,12.2,65.0,45.3,97.0,3.0,72.3,56.2
San Diego,2/2/2010,0.06,0.0,272,12.0,61.4,46.4,97.0,3.3,78.4,56.7
San Diego,2/3/2010,0.06,0.0,259,12.2,63.6,48.2,97.0,3.0,72.3,57.2
San Diego,2/4/2010,0.08,0.0,323,11.5,63.8,45.3,96.0,4.2,100.0,57.1
San Diego,2/5/2010,0.05,0.22,196,12.2,62.3,50.2,94.0,4.0,96.9,57.3
San Diego,2/6/2010,0.02,0.64,114,13.9,60.0,49.9,96.0,6.1,146.5,57.6
San Diego,2/7/2010,0.08,0.0,311,10.3,59.4,44.8,97.0,4.1,99.3,56.8
San Diego,2/8/2010,0.08,0.0,336,10.1,61.4,44.6,95.0,3.9,93.8,56.0
San Diego,2/9/2010,0.03,0.52,134,11.2,58.9,45.5,94.0,4.5,108.0,56.1
