County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
San Joaquin,1/1/2010,0.02,0.0,119.0,10.8,60.5,45.3,95.0,3.2,76.4,47.7
San Joaquin,1/2/2010,0.01,0.0,68.0,11.4,57.3,40.2,97.0,3.5,82.9,47.7
San Joaquin,1/3/2010,0.01,0.0,83.0,11.0,52.1,47.1,96.0,4.3,102.3,48.1
San Joaquin,1/4/2010,0.02,0.0,118.0,9.4,52.7,36.4,97.0,3.0,71.7,48.3
San Joaquin,1/5/2010,0.01,0.0,97.0,8.9,50.1,35.0,97.0,2.8,67.5,47.5
San Joaquin,1/6/2010,0.01,0.04,72.0,8.9,48.7,38.0,97.0,2.6,63.5,47.0
San Joaquin,1/7/2010,0.0,0.0,41.0,8.7,45.8,35.4,97.0,2.5,60.1,46.6
San Joaquin,1/8/2010,0.0,0.0,50.0,9.4,47.7,41.8,97.0,3.9,93.9,46.6
San Joaquin,1/9/2010,0.0,0.0,59.0,10.0,49.3,44.1,97.0,2.6,63.4,46.9
San Joaquin,1/10/2010,0.0,0.0,41.0,9.8,46.0,43.5,98.0,2.8,67.9,47.1
San Joaquin,1/11/2010,0.01,0.0,83.0,9.9,50.1,41.7,98.0,4.5,109.1,47.1
San Joaquin,1/12/2010,0.04,0.16,108.0,12.1,63.1,41.7,97.0,6.8,162.8,47.3
San Joaquin,1/13/2010,0.06,0.87,213.0,12.6,64.4,47.3,94.0,5.1,122.1,48.8
San Joaquin,1/14/2010,0.05,0.0,209.0,10.6,60.5,41.0,98.0,3.9,93.7,48.9
San Joaquin,1/15/2010,0.03,0.0,147.0,10.3,53.8,39.3,97.0,3.8,91.3,48.2
San Joaquin,1/16/2010,0.01,0.0,70.0,10.6,51.6,44.0,98.0,2.8,68.3,48.1
San Joaquin,1/17/2010,0.01,0.24,73.0,11.5,57.0,43.9,97.0,7.1,169.7,48.1
San Joaquin,1/18/2010,0.02,0.43,70.0,11.7,59.0,48.5,94.0,10.6,253.8,48.5
San Joaquin,1/19/2010,0.03,0.51,88.0,10.6,55.1,46.6,93.0,11.1,266.7,48.2
San Joaquin,1/20/2010,0.03,0.67,67.0,10.3,54.0,47.3,90.0,12.0,288.8,47.8
San Joaquin,1/21/2010,0.0,0.71,34.0,9.4,48.8,42.4,97.0,5.2,124.7,47.3
San Joaquin,1/22/2010,0.02,0.08,114.0,8.9,52.7,37.6,97.0,4.8,115.8,46.7
San Joaquin,1/23/2010,0.05,0.04,224.0,9.2,56.4,37.8,97.0,4.9,117.3,46.2
San Joaquin,1/24/2010,0.02,0.0,95.0,9.2,52.6,37.7,97.0,5.4,128.7,45.9
San Joaquin,1/25/2010,0.01,0.16,62.0,10.7,52.5,46.9,94.0,6.9,165.4,46.3
San Joaquin,1/26/2010,0.01,0.12,73.0,10.8,54.9,45.4,96.0,5.1,121.6,46.8
San Joaquin,1/27/2010,0.06,0.0,240.0,9.9,59.0,39.0,97.0,3.7,87.8,47.0
San Joaquin,1/28/2010,0.04,0.04,204.0,10.0,58.4,35.3,98.0,2.9,70.4,46.7
San Joaquin,1/29/2010,0.04,0.04,182.0,11.3,61.1,42.0,98.0,3.4,82.8,47.0
San Joaquin,1/30/2010,0.07,0.0,272.0,10.6,61.7,40.2,98.0,2.7,65.6,47.8
San Joaquin,1/31/2010,0.03,0.0,152.0,9.7,55.7,36.4,98.0,2.2,53.6,47.4
San Joaquin,2/1/2010,0.06,0.0,239.0,10.6,62.4,38.9,98.0,3.7,87.9,47.1
San Joaquin,2/2/2010,0.01,0.0,95.0,10.9,53.6,45.2,97.0,3.0,70.9,47.7
San Joaquin,2/3/2010,0.06,0.0,271.0,11.1,64.9,43.3,98.0,2.2,53.0,48.0
San Joaquin,2/4/2010,0.03,0.0,94.0,11.9,58.3,47.4,95.0,8.7,209.1,48.4
San Joaquin,2/5/2010,0.06,0.0,240.0,13.0,62.0,51.1,93.0,8.8,210.5,48.7
San Joaquin,2/6/2010,0.01,0.0,70.0,11.9,54.7,47.8,95.0,6.1,146.3,49.3
San Joaquin,2/7/2010,0.03,0.0,135.0,11.1,57.5,44.7,93.0,4.5,107.8,49.1
San Joaquin,2/8/2010,0.04,0.0,178.0,10.6,59.2,42.2,97.0,3.1,73.4,48.9
San Joaquin,2/9/2010,0.03,0.0,78.0,9.7,55.9,32.0,95.0,3.4,82.1,49.0
San Joaquin,2/10/2010,0.06,0.0,268.0,10.0,60.9,37.2,96.0,3.8,91.2,48.6
San Joaquin,2/11/2010,0.05,0.0,217.0,10.9,60.9,45.4,94.0,4.4,105.2,48.9
San Joaquin,2/12/2010,0.07,0.0,286.0,11.7,68.2,46.9,92.0,3.6,85.2,49.4
San Joaquin,2/13/2010,0.07,0.0,280.0,12.4,64.1,45.0,98.0,2.8,67.4,50.2
San Joaquin,2/14/2010,0.07,0.0,290.0,11.7,65.0,40.0,98.0,2.5,60.5,50.1
San Joaquin,2/15/2010,0.08,0.0,324.0,12.2,68.5,42.5,98.0,2.6,62.7,50.1
San Joaquin,2/16/2010,0.08,0.0,299.0,12.3,68.3,43.9,97.0,2.9,68.4,50.3
San Joaquin,2/17/2010,0.07,0.0,283.0,12.7,70.5,40.9,98.0,1.9,46.3,50.4
San Joaquin,2/18/2010,0.03,0.0,172.0,13.0,63.0,42.5,98.0,3.2,76.3,50.4
San Joaquin,2/19/2010,0.01,0.0,99.0,12.0,58.2,46.4,97.0,3.2,77.3,50.6
San Joaquin,2/20/2010,0.06,0.0,207.0,10.8,60.0,41.4,97.0,6.6,157.3,50.4
San Joaquin,2/21/2010,0.02,0.24,104.0,10.7,52.6,47.0,97.0,4.4,106.1,50.0
