County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
San Luis Obispo,1/1/2010,0.06,0.0,130.0,7.9,64.7,41.5,92.0,4.0,96.5,53.0
San Luis Obispo,1/2/2010,0.12,0.0,229.0,7.7,68.2,52.7,67.0,7.2,172.4,53.2
San Luis Obispo,1/3/2010,0.1,0.0,253.0,7.8,73.5,45.3,79.0,5.5,132.3,53.4
San Luis Obispo,1/4/2010,0.07,0.0,242.0,9.0,72.0,43.4,88.0,2.3,54.8,53.3
San Luis Obispo,1/5/2010,0.12,0.0,222.0,4.9,72.1,41.1,90.0,4.6,110.0,53.0
San Luis Obispo,1/6/2010,0.13,0.0,226.0,4.8,72.6,49.1,62.0,4.7,112.4,53.1
San Luis Obispo,1/7/2010,0.13,0.0,249.0,6.9,74.0,57.1,48.0,5.8,139.9,53.5
San Luis Obispo,1/8/2010,0.09,0.0,241.0,9.6,72.7,48.1,89.0,3.1,75.2,54.5
San Luis Obispo,1/9/2010,0.04,0.0,149.0,10.5,68.7,44.6,91.0,1.8,43.8,54.6
San Luis Obispo,1/10/2010,0.07,0.0,238.0,10.9,73.1,43.6,92.0,2.6,61.8,54.4
San Luis Obispo,1/11/2010,0.06,0.0,209.0,9.5,73.8,42.1,90.0,2.0,46.9,54.8
San Luis Obispo,1/12/2010,0.04,0.22,157.0,11.3,64.2,42.0,94.0,2.8,66.9,54.9
San Luis Obispo,1/13/2010,0.05,0.48,203.0,12.4,63.1,47.9,93.0,3.1,75.0,55.9
San Luis Obispo,1/14/2010,0.09,0.0,263.0,8.1,65.3,48.7,78.0,4.8,114.0,55.6
San Luis Obispo,1/15/2010,0.06,0.0,190.0,8.1,70.3,41.8,81.0,2.0,48.2,55.0
San Luis Obispo,1/16/2010,0.06,0.0,203.0,8.9,61.9,40.7,88.0,2.4,58.4,54.7
San Luis Obispo,1/17/2010,0.0,0.56,34.0,10.9,55.2,46.4,94.0,2.0,47.2,54.5
San Luis Obispo,1/18/2010,0.03,0.98,123.0,11.5,60.3,49.1,95.0,4.1,97.4,54.8
San Luis Obispo,1/19/2010,0.03,0.7,93.0,10.4,57.9,46.2,93.0,3.5,84.1,54.8
San Luis Obispo,1/20/2010,0.01,1.36,38.0,10.4,54.9,42.0,93.0,4.6,110.7,54.3
San Luis Obispo,1/21/2010,0.02,1.42,74.0,9.7,57.2,40.8,94.0,3.8,90.3,53.3
San Luis Obispo,1/22/2010,0.01,0.53,89.0,8.8,47.0,38.8,95.0,2.0,49.0,53.0
