County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
San Mateo,8/4/2017,0.14,,,,,,,,,
San Mateo,8/5/2017,0.14,,,,,,,,,
San Mateo,8/6/2017,0.14,,,,,,,,,
San Mateo,8/7/2017,0.14,,,,,,,,,
San Mateo,8/8/2017,0.14,,,,,,,,,
San Mateo,8/24/2017,0.16,0.0,784.0,15.5,67.5,55.6,94.0,5.9,140.4,69.5
San Mateo,8/25/2017,0.17,0.0,586.0,14.5,66.7,52.9,97.0,5.0,118.9,68.8
San Mateo,8/26/2017,0.17,0.0,613.0,14.1,67.4,45.0,98.0,3.1,75.4,68.5
San Mateo,8/27/2017,0.18,0.0,605.0,15.1,72.6,47.8,98.0,4.1,97.2,67.8
San Mateo,8/28/2017,0.15,0.0,503.0,16.0,69.0,52.3,99.0,5.3,127.8,68.6
San Mateo,8/29/2017,0.12,0.0,405.0,15.6,67.5,56.9,97.0,6.1,147.1,68.4
San Mateo,8/30/2017,0.17,0.0,584.0,15.1,67.9,55.9,95.0,6.4,154.4,68.3
San Mateo,8/31/2017,0.17,0.0,576.0,14.8,74.3,51.9,95.0,3.1,75.5,68.5
San Mateo,9/1/2017,0.17,0.0,555.0,14.8,90.9,51.8,96.0,2.4,58.1,68.5
San Mateo,9/2/2017,0.15,0.0,550.0,14.7,93.3,57.9,82.0,2.4,58.8,69.7
San Mateo,9/3/2017,0.17,0.0,471.0,17.1,85.9,61.4,91.0,3.0,72.4,70.3
San Mateo,9/4/2017,0.08,0.04,255.0,19.5,80.6,60.6,89.0,2.9,70.4,69.7
San Mateo,9/5/2017,0.17,0.0,507.0,20.1,82.1,57.5,95.0,3.7,88.6,71.1
San Mateo,9/6/2017,0.13,0.44,444.0,18.9,75.2,57.6,96.0,3.3,79.4,71.8
San Mateo,9/7/2017,0.09,0.0,320.0,19.2,73.5,62.1,96.0,3.3,79.2,72.0
San Mateo,9/8/2017,0.05,0.0,208.0,17.7,70.1,60.1,97.0,4.1,98.4,70.6
San Mateo,9/9/2017,0.12,0.0,398.0,17.7,71.3,58.3,98.0,3.1,74.5,70.4
San Mateo,9/10/2017,0.17,0.0,527.0,16.8,83.6,51.7,98.0,2.9,70.0,70.1
San Mateo,9/11/2017,0.14,0.0,432.0,16.9,91.8,60.2,92.0,3.5,83.9,70.9
San Mateo,9/12/2017,0.16,0.0,498.0,18.3,80.8,57.0,94.0,3.2,77.4,70.9
San Mateo,9/13/2017,0.07,0.01,243.0,18.1,71.1,61.9,96.0,2.6,62.1,70.6
San Mateo,9/14/2017,0.13,0.01,436.0,15.8,69.0,59.5,96.0,3.9,94.2,70.1
San Mateo,9/15/2017,0.15,0.0,476.0,14.0,68.1,49.5,94.0,4.7,112.5,69.1
San Mateo,9/16/2017,0.13,0.0,440.0,14.5,68.7,48.2,95.0,3.4,81.5,68.0
San Mateo,9/17/2017,0.15,0.02,502.0,15.5,69.1,51.8,98.0,4.1,99.1,68.2
San Mateo,9/18/2017,0.07,0.02,260.0,18.0,72.2,58.6,98.0,4.6,109.3,68.7
San Mateo,9/19/2017,0.16,0.0,500.0,14.5,69.4,50.1,93.0,7.0,168.3,67.7
San Mateo,9/20/2017,0.08,0.02,281.0,15.9,71.0,49.2,96.0,3.1,74.7,66.6
San Mateo,9/21/2017,0.15,0.0,493.0,12.6,66.5,46.0,96.0,5.4,129.1,66.4
San Mateo,9/22/2017,0.13,0.28,476.0,12.3,66.8,45.0,97.0,3.4,80.5,65.0
San Mateo,9/23/2017,0.16,0.64,508.0,10.7,71.8,39.8,97.0,3.8,90.2,64.2
San Mateo,9/24/2017,0.16,0.0,485.0,10.6,76.4,40.7,93.0,3.7,88.0,63.6
San Mateo,9/25/2017,0.16,0.0,483.0,11.1,75.7,41.6,92.0,3.0,73.2,62.9
San Mateo,9/26/2017,0.17,0.0,482.0,11.7,81.4,45.4,94.0,3.7,89.5,62.9
San Mateo,9/27/2017,0.16,0.0,476.0,11.5,84.5,46.9,87.0,2.6,62.5,63.2
San Mateo,9/28/2017,0.13,0.0,464.0,13.1,68.8,43.2,96.0,3.7,87.7,62.7
San Mateo,9/29/2017,0.12,0.0,386.0,15.3,68.1,49.5,97.0,5.2,124.5,63.4
San Mateo,9/30/2017,0.13,0.0,429.0,13.8,67.8,46.6,98.0,3.9,94.0,64.1
San Mateo,10/1/2017,0.14,0.0,452.0,11.4,69.0,41.2,98.0,4.3,103.0,62.2
San Mateo,10/2/2017,0.15,0.41,473.0,9.9,71.4,38.1,96.0,4.2,100.7,60.7
San Mateo,10/3/2017,0.13,0.0,432.0,10.3,72.0,40.1,97.0,3.0,72.0,60.4
San Mateo,10/4/2017,0.13,0.18,462.0,10.6,67.4,38.7,97.0,3.0,73.1,60.0
San Mateo,10/5/2017,0.12,0.0,454.0,9.7,69.4,35.0,98.0,2.8,67.4,59.1
San Mateo,10/6/2017,0.15,0.0,450.0,9.4,76.9,36.8,95.0,3.1,75.1,58.2
San Mateo,10/7/2017,0.13,0.0,441.0,10.9,72.2,36.4,95.0,3.5,83.5,57.9
San Mateo,10/8/2017,0.14,0.0,431.0,10.5,73.1,39.5,98.0,4.4,104.4,58.0
San Mateo,10/9/2017,0.17,0.0,415.0,7.8,78.1,50.5,77.0,3.4,82.3,58.2
San Mateo,10/10/2017,0.1,0.0,359.0,11.8,68.1,44.9,97.0,3.3,78.3,58.6
San Mateo,10/11/2017,0.11,0.0,338.0,11.1,64.5,38.6,97.0,4.8,114.5,59.0
San Mateo,10/12/2017,0.13,0.0,398.0,8.7,66.1,35.7,96.0,4.3,103.8,56.8
San Mateo,10/13/2017,0.13,0.0,401.0,9.0,72.5,35.0,91.0,4.1,98.1,55.6
San Mateo,10/14/2017,0.15,0.0,419.0,7.1,81.2,36.2,95.0,3.1,74.0,55.5
San Mateo,10/15/2017,0.15,0.0,404.0,7.4,84.9,43.3,63.0,2.7,64.9,55.9
San Mateo,10/16/2017,0.14,0.0,403.0,7.7,82.7,45.2,64.0,2.6,63.1,56.4
San Mateo,10/17/2017,0.1,0.0,306.0,10.1,72.2,42.3,96.0,3.3,79.8,56.3
San Mateo,10/18/2017,0.09,0.0,341.0,10.7,61.1,37.1,96.0,3.7,88.3,56.3
San Mateo,10/19/2017,0.05,0.33,211.0,14.1,65.4,45.4,97.0,2.9,70.3,57.3
San Mateo,10/20/2017,0.09,0.07,337.0,12.4,63.0,45.9,97.0,3.6,87.0,58.5
San Mateo,10/21/2017,0.11,0.0,368.0,10.6,67.4,40.8,98.0,4.2,99.8,56.9
San Mateo,10/22/2017,0.12,0.0,374.0,12.0,72.1,40.3,99.0,4.4,104.8,56.2
San Mateo,10/23/2017,0.13,0.0,361.0,12.7,93.1,45.4,97.0,3.4,82.3,56.8
San Mateo,10/24/2017,0.11,0.0,365.0,13.2,93.6,51.5,91.0,2.8,66.3,58.8
