County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Santa Barbara,1/1/2010,0.02,0.0,133.0,8.1,59.7,33.0,96.0,1.5,36.2,46.7
Santa Barbara,1/2/2010,0.06,0.0,240.0,7.9,73.9,31.7,96.0,1.7,41.8,46.3
Santa Barbara,1/3/2010,0.07,0.0,262.0,5.9,79.3,28.0,95.0,2.1,50.1,45.0
Santa Barbara,1/4/2010,0.06,0.0,234.0,6.5,75.2,32.3,91.0,1.9,46.1,45.1
Santa Barbara,1/5/2010,0.06,0.0,253.0,6.7,74.9,27.5,94.0,1.9,45.0,44.5
Santa Barbara,1/6/2010,0.06,0.0,238.0,7.6,73.1,31.8,94.0,1.9,46.4,45.4
Santa Barbara,1/7/2010,0.07,0.0,263.0,7.7,74.7,31.6,95.0,2.0,47.9,45.4
Santa Barbara,1/8/2010,0.07,0.0,249.0,8.4,75.5,35.6,94.0,2.1,51.0,46.2
Santa Barbara,1/9/2010,0.05,0.0,167.0,9.0,71.2,34.4,94.0,2.3,54.1,47.0
Santa Barbara,1/10/2010,0.07,0.0,254.0,9.2,74.7,32.5,96.0,2.3,54.9,47.3
Santa Barbara,1/11/2010,0.07,0.0,237.0,8.1,79.2,35.0,95.0,2.3,55.7,47.4
Santa Barbara,1/12/2010,0.06,0.05,226.0,9.7,71.5,36.1,95.0,2.8,68.1,48.1
Santa Barbara,1/13/2010,0.07,0.3,259.0,11.7,63.9,49.2,94.0,6.0,143.0,50.6
Santa Barbara,1/14/2010,0.08,0.0,279.0,8.4,70.8,37.3,91.0,3.1,75.4,49.6
Santa Barbara,1/15/2010,0.07,0.0,217.0,7.0,73.0,36.6,94.0,2.9,68.5,48.7
Santa Barbara,1/16/2010,0.07,0.0,230.0,8.1,66.0,39.5,85.0,3.8,90.3,49.1
Santa Barbara,1/17/2010,0.01,0.6,58.0,10.5,56.5,41.7,94.0,2.0,48.2,49.6
Santa Barbara,1/18/2010,0.03,1.73,87.0,11.5,59.4,43.3,94.0,7.0,169.1,51.9
Santa Barbara,1/19/2010,0.05,0.54,144.0,10.3,58.7,42.6,92.0,7.8,187.4,51.6
Santa Barbara,1/20/2010,0.02,2.32,66.0,10.6,55.7,46.6,92.0,6.8,162.6,51.2
Santa Barbara,1/21/2010,0.03,1.65,77.0,10.0,54.7,44.3,92.0,7.9,190.2,51.0
Santa Barbara,1/22/2010,0.01,0.83,92.0,8.3,46.6,35.0,95.0,2.8,68.1,49.7
Santa Barbara,1/23/2010,0.06,0.0,287.0,7.8,59.1,30.1,96.0,2.2,52.7,47.4
Santa Barbara,1/24/2010,0.06,0.01,255.0,8.3,60.8,34.1,96.0,2.3,54.5,47.3
Santa Barbara,1/25/2010,0.03,0.01,178.0,8.6,60.6,34.6,96.0,2.4,57.7,47.6
Santa Barbara,1/26/2010,0.0,0.38,38.0,9.8,52.4,41.1,92.0,3.4,81.2,48.2
Santa Barbara,1/27/2010,0.08,0.0,282.0,9.5,67.7,39.1,94.0,3.1,74.6,49.0
Santa Barbara,1/28/2010,0.08,0.0,304.0,8.2,69.1,32.4,96.0,2.4,58.0,47.6
Santa Barbara,1/29/2010,0.07,0.0,277.0,8.1,65.4,34.0,95.0,3.2,75.7,47.3
Santa Barbara,1/30/2010,0.07,0.02,289.0,9.3,62.5,35.0,95.0,2.9,70.2,47.5
Santa Barbara,1/31/2010,0.07,0.0,282.0,8.5,64.6,36.5,95.0,2.5,58.8,48.6
Santa Barbara,2/1/2010,0.06,0.0,264.0,8.9,65.4,34.3,95.0,2.3,54.0,47.9
Santa Barbara,2/2/2010,0.06,0.0,256.0,9.7,62.6,39.5,94.0,2.8,67.1,48.9
Santa Barbara,2/3/2010,0.08,0.0,290.0,9.8,68.1,39.0,94.0,3.4,81.6,49.9
Santa Barbara,2/4/2010,0.04,0.0,151.0,9.5,60.8,37.3,95.0,4.7,113.1,49.7
Santa Barbara,2/5/2010,0.05,0.83,173.0,12.0,59.9,49.9,91.0,8.0,191.0,52.0
Santa Barbara,2/6/2010,0.02,0.43,130.0,10.4,54.8,41.7,94.0,2.0,49.1,51.9
Santa Barbara,2/7/2010,0.08,0.01,278.0,8.8,57.0,40.1,94.0,5.6,133.5,49.9
Santa Barbara,2/8/2010,0.08,0.0,336.0,8.7,62.9,32.6,95.0,3.0,71.5,48.7
Santa Barbara,2/9/2010,0.03,0.43,173.0,8.8,53.2,35.3,93.0,3.1,75.6,49.6
Santa Barbara,2/10/2010,0.09,0.0,342.0,7.9,62.7,32.0,95.0,4.5,108.2,48.3
Santa Barbara,2/11/2010,0.07,0.0,293.0,8.8,61.5,31.3,95.0,2.9,68.8,48.0
Santa Barbara,2/12/2010,0.09,0.0,327.0,10.3,66.9,42.2,91.0,3.8,91.7,50.3
Santa Barbara,2/13/2010,0.09,0.01,348.0,9.4,69.7,32.6,96.0,2.9,70.6,49.5
Santa Barbara,2/14/2010,0.1,0.01,359.0,10.4,76.6,39.8,95.0,3.2,77.7,50.8
Santa Barbara,2/15/2010,0.1,0.01,370.0,9.7,75.9,34.8,96.0,2.5,59.4,51.1
Santa Barbara,2/16/2010,0.11,0.0,370.0,10.1,77.1,35.9,95.0,2.2,51.8,50.7
