County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Santa Cruz,1/1/2010,0.03,0.0,133.0,11.1,62.4,45.2,95.0,2.4,57.0,52.2
Santa Cruz,1/2/2010,0.05,0.0,206.0,11.4,62.4,41.9,96.0,2.3,55.9,52.0
Santa Cruz,1/3/2010,0.06,0.0,248.0,9.1,67.2,38.8,95.0,3.2,77.5,51.1
Santa Cruz,1/4/2010,0.07,0.0,254.0,8.8,69.1,42.6,86.0,3.3,78.1,50.9
Santa Cruz,1/5/2010,0.05,0.0,194.0,8.8,64.0,39.7,89.0,2.8,66.4,50.8
Santa Cruz,1/6/2010,0.05,0.0,184.0,9.0,63.8,41.5,81.0,2.6,62.3,51.0
Santa Cruz,1/7/2010,0.06,0.0,217.0,10.8,65.7,43.8,92.0,2.2,53.4,51.6
Santa Cruz,1/8/2010,0.04,0.0,167.0,11.6,69.3,46.3,92.0,2.8,66.8,52.5
Santa Cruz,1/9/2010,0.04,0.0,139.0,11.1,65.1,45.1,94.0,2.8,67.1,52.7
Santa Cruz,1/10/2010,0.05,0.0,193.0,10.5,68.0,42.0,94.0,2.9,69.3,52.4
Santa Cruz,1/11/2010,0.04,0.0,146.0,11.4,61.7,47.2,94.0,2.8,67.1,53.0
Santa Cruz,1/12/2010,0.0,1.27,36.0,13.1,56.1,49.9,96.0,2.5,59.6,53.6
Santa Cruz,1/13/2010,0.04,0.14,183.0,12.2,61.7,44.3,96.0,2.7,64.1,54.2
Santa Cruz,1/14/2010,0.07,0.0,257.0,9.7,62.2,40.1,96.0,3.0,71.9,52.6
Santa Cruz,1/15/2010,0.04,0.0,151.0,9.8,61.6,41.1,94.0,3.0,72.7,52.2
Santa Cruz,1/16/2010,0.04,0.0,148.0,10.6,57.6,41.1,93.0,2.9,68.5,52.0
Santa Cruz,1/17/2010,0.0,0.57,37.0,11.2,53.3,46.9,96.0,1.9,46.3,52.7
Santa Cruz,1/18/2010,0.02,1.26,85.0,11.3,56.3,48.0,95.0,4.3,102.6,52.4
Santa Cruz,1/19/2010,0.02,0.98,92.0,10.9,55.5,46.9,94.0,4.1,98.3,52.4
Santa Cruz,1/20/2010,0.04,1.77,125.0,10.3,56.3,46.4,95.0,5.1,123.6,52.0
Santa Cruz,1/21/2010,0.01,0.8,44.0,9.4,49.0,41.1,95.0,2.3,54.9,50.7
Santa Cruz,1/22/2010,0.03,0.53,162.0,8.6,52.6,39.1,96.0,2.0,47.9,49.4
Santa Cruz,1/23/2010,0.07,0.15,291.0,9.1,56.6,39.3,96.0,2.5,60.9,49.4
Santa Cruz,1/24/2010,0.02,0.0,98.0,9.4,53.1,38.5,96.0,2.5,60.3,49.7
Santa Cruz,1/25/2010,0.02,0.28,92.0,10.8,54.8,46.0,95.0,2.1,51.0,50.9
Santa Cruz,1/26/2010,0.01,0.97,66.0,12.0,55.2,46.4,96.0,1.7,41.8,51.9
Santa Cruz,1/27/2010,0.07,0.01,295.0,10.4,60.3,41.5,96.0,2.8,66.6,51.7
Santa Cruz,1/28/2010,0.06,0.0,252.0,9.8,60.9,38.4,96.0,3.0,70.8,51.3
Santa Cruz,1/29/2010,0.06,0.62,220.0,10.5,57.8,42.3,96.0,3.1,74.3,51.7
Santa Cruz,1/30/2010,0.07,0.0,301.0,10.3,60.7,40.8,97.0,2.7,63.8,52.0
Santa Cruz,1/31/2010,0.08,0.0,307.0,9.4,59.7,38.7,95.0,3.2,77.5,51.8
Santa Cruz,2/1/2010,0.06,0.0,218.0,9.5,58.9,40.6,96.0,2.8,66.7,51.9
Santa Cruz,2/2/2010,0.04,0.01,154.0,10.0,62.5,43.5,95.0,2.8,67.6,52.3
Santa Cruz,2/3/2010,0.08,0.0,282.0,10.2,61.5,41.2,96.0,2.4,57.6,52.3
Santa Cruz,2/4/2010,0.02,0.95,69.0,11.4,56.1,46.7,95.0,2.6,62.5,53.1
Santa Cruz,2/5/2010,0.05,0.13,179.0,12.4,60.3,49.9,96.0,2.8,66.1,53.7
