County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Shasta,1/1/2010,0.01,0.31,80.0,6.8,43.7,33.4,93.0,4.0,96.8,35.0
Shasta,1/2/2010,0.02,0.0,134.0,6.2,46.1,28.2,91.0,2.6,62.7,36.4
Shasta,1/3/2010,0.02,0.0,142.0,5.0,41.0,23.5,91.0,1.9,46.6,36.6
Shasta,1/4/2010,0.03,0.0,175.0,5.0,45.1,22.8,90.0,2.5,60.8,36.2
Shasta,1/5/2010,0.03,0.0,156.0,5.5,51.5,25.1,89.0,2.5,59.9,36.2
Shasta,1/6/2010,0.01,0.15,78.0,6.4,44.1,28.4,91.0,1.8,43.6,36.8
Shasta,1/7/2010,0.02,0.01,130.0,6.9,49.4,31.8,93.0,2.5,61.0,37.9
Shasta,1/8/2010,0.02,0.05,101.0,7.4,49.5,34.2,92.0,2.8,66.4,38.7
Shasta,1/9/2010,0.01,0.01,66.0,7.2,40.9,34.8,93.0,2.3,54.7,39.5
Shasta,1/10/2010,0.01,0.0,86.0,6.9,40.1,33.8,93.0,2.2,52.0,39.9
Shasta,1/11/2010,0.01,0.0,105.0,6.7,45.3,30.1,93.0,2.6,63.6,40.1
Shasta,1/12/2010,0.01,0.56,71.0,7.7,48.5,31.3,90.0,5.9,142.2,40.0
Shasta,1/13/2010,0.04,0.48,158.0,7.3,48.4,32.2,91.0,7.0,166.9,40.9
Shasta,1/14/2010,0.03,0.0,160.0,6.3,45.1,28.3,91.0,2.7,64.4,40.3
Shasta,1/15/2010,0.02,0.0,153.0,6.0,47.3,28.7,92.0,2.1,51.5,39.9
Shasta,1/16/2010,0.03,0.0,173.0,6.0,49.7,27.5,91.0,2.4,58.4,39.5
Shasta,1/17/2010,0.01,0.38,47.0,7.0,44.3,36.8,91.0,5.3,127.2,40.1
Shasta,1/18/2010,0.03,0.09,67.0,6.5,47.0,34.5,90.0,8.9,212.9,39.9
Shasta,1/19/2010,0.05,0.0,199.0,5.8,45.8,32.8,84.0,7.8,186.2,39.4
Shasta,1/20/2010,0.01,0.16,58.0,5.7,39.9,30.9,87.0,5.8,139.4,38.8
Shasta,1/21/2010,0.01,0.05,69.0,5.6,39.1,32.5,88.0,6.9,165.3,38.1
Shasta,1/22/2010,0.03,0.0,168.0,5.4,40.0,26.8,88.0,5.3,126.7,38.0
Shasta,1/23/2010,0.03,0.01,152.0,5.0,38.1,25.4,88.0,3.2,77.8,37.6
Shasta,1/24/2010,0.0,0.14,49.0,5.5,34.7,30.0,91.0,2.3,55.5,37.2
Shasta,1/25/2010,0.0,0.24,48.0,5.6,34.3,31.7,92.0,1.3,30.3,36.8
Shasta,1/26/2010,0.02,0.3,133.0,5.7,43.1,26.3,92.0,2.0,48.7,36.5
Shasta,1/27/2010,0.03,0.0,221.0,5.3,46.4,24.6,90.0,2.4,58.3,36.2
Shasta,1/28/2010,0.04,0.0,220.0,5.5,47.1,26.8,87.0,3.5,83.6,36.0
Shasta,1/29/2010,0.02,0.0,123.0,6.2,45.9,32.6,89.0,3.3,80.2,36.7
Shasta,1/30/2010,0.02,0.15,106.0,6.4,41.5,33.1,91.0,3.1,74.7,37.7
Shasta,1/31/2010,0.05,0.0,241.0,6.0,47.7,32.0,91.0,2.9,68.9,38.8
Shasta,2/1/2010,0.01,0.09,76.0,5.6,36.5,28.4,90.0,2.3,54.2,38.7
Shasta,2/2/2010,0.02,0.06,132.0,6.1,40.3,30.7,91.0,2.8,68.2,38.7
Shasta,2/3/2010,0.03,0.07,165.0,6.5,45.1,32.7,92.0,4.0,95.5,39.6
Shasta,2/4/2010,0.01,0.16,87.0,6.6,43.3,33.0,91.0,3.7,88.6,39.7
Shasta,2/5/2010,0.04,0.14,210.0,6.6,50.1,32.9,90.0,4.7,113.5,40.0
Shasta,2/6/2010,0.03,0.13,149.0,6.7,43.7,33.7,90.0,3.3,78.5,40.4
Shasta,2/7/2010,0.06,0.0,252.0,6.1,48.7,31.3,90.0,4.4,106.4,40.9
Shasta,2/8/2010,0.05,0.07,260.0,5.5,48.6,24.3,89.0,3.3,79.9,40.2
Shasta,2/9/2010,0.04,0.08,234.0,6.2,49.3,29.9,90.0,3.6,86.8,40.7
Shasta,2/10/2010,0.02,0.02,146.0,5.3,42.6,25.1,90.0,3.2,76.8,40.2
Shasta,2/11/2010,0.01,0.01,74.0,6.7,45.4,34.8,90.0,4.3,103.6,40.2
Shasta,2/12/2010,0.08,0.02,297.0,7.2,49.9,35.5,89.0,7.2,173.7,40.9
Shasta,2/13/2010,0.06,0.0,251.0,7.5,53.7,36.0,88.0,2.8,67.8,42.3
Shasta,2/14/2010,0.04,0.0,176.0,6.9,52.8,30.5,91.0,3.6,86.7,42.7
Shasta,2/15/2010,0.06,0.0,274.0,7.2,57.6,32.2,92.0,2.8,67.1,43.1
Shasta,2/16/2010,0.08,0.0,337.0,7.2,64.8,34.4,91.0,3.5,84.1,44.1
Shasta,2/17/2010,0.08,0.0,361.0,6.0,63.1,25.5,90.0,2.6,61.4,44.4
Shasta,2/18/2010,0.08,0.0,367.0,5.9,59.0,24.2,89.0,3.7,88.0,44.0
Shasta,2/19/2010,0.08,0.0,371.0,4.9,55.4,26.3,88.0,4.0,95.9,43.8
Shasta,2/20/2010,0.09,0.0,365.0,4.1,51.7,24.1,85.0,4.1,99.2,43.2
Shasta,2/21/2010,0.08,0.0,385.0,3.5,48.8,25.4,69.0,4.7,111.9,43.0
Shasta,2/22/2010,0.09,0.0,381.0,3.2,53.0,20.5,80.0,4.7,112.9,41.9
Shasta,2/23/2010,0.02,0.05,95.0,4.8,37.3,26.3,90.0,2.6,62.8,40.8
Shasta,2/24/2010,0.06,0.17,262.0,6.4,48.4,31.5,91.0,3.7,89.4,40.8
Shasta,2/25/2010,0.06,0.0,241.0,6.6,50.2,35.3,90.0,3.6,86.0,42.1
Shasta,2/26/2010,0.02,0.3,77.0,6.9,47.8,29.4,88.0,6.7,161.0,42.9
Shasta,2/27/2010,0.09,0.0,396.0,5.5,55.5,25.9,89.0,3.5,84.2,42.2
Shasta,2/28/2010,0.09,0.0,370.0,5.3,57.7,24.1,88.0,3.0,71.9,42.4
Shasta,3/1/2010,0.08,0.0,307.0,6.7,53.3,29.6,87.0,4.1,97.8,42.9
Shasta,3/2/2010,0.02,0.0,54.0,6.4,45.8,32.0,88.0,5.0,120.6,43.7
Shasta,3/3/2010,0.04,0.12,215.0,5.2,41.4,26.9,89.0,4.8,116.1,42.4
Shasta,3/4/2010,0.07,0.0,348.0,5.1,46.6,22.6,89.0,4.8,115.3,41.2
Shasta,3/5/2010,0.06,0.0,248.0,5.8,48.1,28.8,89.0,3.0,71.4,42.1
Shasta,3/6/2010,0.1,0.0,347.0,5.8,59.0,35.1,81.0,4.8,114.5,43.1
Shasta,3/7/2010,0.11,0.0,406.0,5.6,61.1,24.3,88.0,4.2,100.9,43.9
Shasta,3/8/2010,0.05,0.11,189.0,5.6,43.7,28.6,88.0,6.8,162.7,44.1
Shasta,3/9/2010,0.07,0.01,337.0,3.3,39.8,18.1,87.0,5.0,119.1,42.5
Shasta,3/10/2010,0.09,0.07,443.0,3.9,45.8,15.7,88.0,3.8,90.3,42.4
Shasta,3/11/2010,0.1,0.0,411.0,4.8,52.0,22.9,86.0,4.9,117.5,42.5
Shasta,3/12/2010,0.03,0.44,120.0,5.7,46.8,28.8,89.0,6.1,146.8,42.4
Shasta,3/13/2010,0.08,0.11,452.0,4.1,41.2,18.7,85.0,3.6,85.8,41.4
Shasta,3/14/2010,0.11,0.0,466.0,4.6,57.1,24.5,82.0,4.0,96.5,41.6
Shasta,3/15/2010,0.13,0.0,477.0,5.2,65.0,25.4,87.0,3.6,86.4,42.9
Shasta,3/16/2010,0.14,0.0,455.0,6.2,64.3,27.9,87.0,4.9,117.3,44.3
Shasta,3/17/2010,0.14,0.0,493.0,5.7,69.7,28.7,85.0,4.5,106.8,45.4
Shasta,3/18/2010,0.15,0.0,513.0,4.5,61.8,32.8,67.0,7.4,177.7,46.4
Shasta,3/19/2010,0.14,0.0,524.0,4.2,69.1,23.2,84.0,3.1,73.2,46.1
Shasta,3/20/2010,0.13,0.0,429.0,5.9,64.8,26.7,81.0,5.0,119.0,46.5
