County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Siskiyou,1/1/2010,0.05,0.24,159.0,6.3,49.5,33.3,89.0,8.2,196.4,32.4
Siskiyou,1/2/2010,0.02,0.0,112.0,5.7,43.8,26.9,93.0,2.1,50.4,32.6
Siskiyou,1/3/2010,0.01,0.04,75.0,4.9,32.6,24.6,94.0,2.3,54.6,32.7
Siskiyou,1/4/2010,0.02,0.0,118.0,5.2,46.2,23.7,94.0,1.9,46.2,32.8
Siskiyou,1/5/2010,0.02,0.0,133.0,6.2,50.1,30.1,93.0,2.0,48.4,32.9
Siskiyou,1/6/2010,0.01,0.0,80.0,7.3,47.4,33.0,93.0,2.1,51.1,33.2
Siskiyou,1/7/2010,0.03,0.0,139.0,7.4,51.0,32.9,95.0,3.9,92.9,35.2
Siskiyou,1/8/2010,0.01,0.12,80.0,7.0,48.9,31.6,94.0,3.4,81.6,36.6
Siskiyou,1/9/2010,0.02,0.04,141.0,6.8,46.6,28.7,94.0,2.2,53.4,36.6
Siskiyou,1/10/2010,0.03,0.0,143.0,6.7,51.5,29.9,92.0,4.0,96.4,36.9
Siskiyou,1/11/2010,0.04,0.0,37.0,6.3,51.5,36.9,82.0,9.6,229.3,37.7
Siskiyou,1/12/2010,0.05,0.08,118.0,7.1,50.8,38.9,84.0,12.4,297.6,38.6
Siskiyou,1/13/2010,0.03,0.31,131.0,6.4,46.8,31.9,92.0,6.1,146.1,39.4
Siskiyou,1/14/2010,0.03,0.0,143.0,5.7,45.2,27.3,93.0,2.9,69.2,38.3
Siskiyou,1/15/2010,0.06,0.0,127.0,5.2,53.2,33.1,82.0,7.1,170.0,38.0
Siskiyou,1/16/2010,0.07,0.0,181.0,4.8,51.9,37.0,69.0,7.3,174.7,38.6
Siskiyou,1/17/2010,0.02,0.04,61.0,6.0,41.2,33.5,88.0,10.4,249.8,39.0
Siskiyou,1/18/2010,0.04,0.08,76.0,6.0,46.3,35.1,85.0,12.6,302.3,38.3
Siskiyou,1/19/2010,0.04,0.08,126.0,5.4,40.0,30.6,86.0,13.0,312.6,37.9
Siskiyou,1/20/2010,0.03,0.08,96.0,5.2,38.0,29.7,93.0,14.2,340.5,37.1
Siskiyou,1/21/2010,0.03,0.0,148.0,5.0,37.7,28.5,88.0,8.1,194.5,36.5
Siskiyou,1/22/2010,0.03,0.08,143.0,4.8,38.6,22.1,91.0,3.4,81.2,36.7
Siskiyou,1/23/2010,0.02,0.0,122.0,4.2,39.3,18.0,89.0,3.3,80.3,35.6
Siskiyou,1/24/2010,0.01,0.12,51.0,5.3,34.1,28.9,94.0,9.6,229.8,34.7
Siskiyou,1/25/2010,0.02,0.2,99.0,5.5,36.4,29.3,93.0,6.0,143.2,34.6
Siskiyou,1/26/2010,0.03,0.08,203.0,5.7,40.5,22.9,93.0,2.6,63.5,34.9
Siskiyou,1/27/2010,0.03,0.0,199.0,5.1,39.0,23.9,93.0,3.0,71.6,35.4
