County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Solano,1/1/2010,,0.0,91.0,11.4,57.4,45.3,97.0,3.3,78.0,49.9
Solano,1/2/2010,,0.01,179.0,10.2,59.6,41.7,98.0,3.0,73.0,50.6
Solano,1/3/2010,,0.0,155.0,9.3,54.1,36.0,98.0,2.2,53.5,50.2
Solano,1/4/2010,,0.0,146.0,9.4,53.7,34.7,98.0,2.2,53.4,50.6
Solano,1/5/2010,,0.01,116.0,8.8,50.1,33.8,99.0,2.1,49.2,50.2
Solano,1/6/2010,,0.0,50.0,9.1,46.2,40.9,98.0,1.9,46.1,50.4
Solano,1/7/2010,,0.0,49.0,9.3,45.0,41.5,98.0,1.8,43.8,50.4
Solano,1/8/2010,,0.05,55.0,9.8,47.8,42.5,99.0,2.5,61.2,50.6
Solano,1/9/2010,,0.0,69.0,9.6,48.9,37.7,99.0,1.9,44.8,50.6
Solano,1/10/2010,,0.01,61.0,10.0,47.8,41.5,99.0,1.9,45.9,50.6
Solano,1/11/2010,,0.0,49.0,9.5,46.5,42.1,99.0,2.2,51.6,50.9
Solano,1/12/2010,,0.34,81.0,12.2,59.6,43.7,98.0,2.9,68.7,51.0
Solano,1/13/2010,,0.18,227.0,10.8,64.1,49.5,94.0,4.5,108.3,52.1
Solano,1/14/2010,,0.0,193.0,9.4,63.2,40.2,96.0,2.6,62.7,52.1
Solano,1/15/2010,,0.0,131.0,9.2,53.1,35.1,99.0,2.1,49.4,51.5
Solano,1/16/2010,,0.04,143.0,9.5,55.0,34.7,100.0,2.2,51.7,50.9
Solano,1/17/2010,,0.07,64.0,10.9,54.9,46.3,98.0,5.2,123.6,51.4
Solano,1/18/2010,,1.28,85.0,10.8,56.6,47.4,96.0,7.3,174.3,51.5
Solano,1/19/2010,,2.0,79.0,10.0,51.8,42.0,96.0,6.9,164.8,50.9
Solano,1/20/2010,,1.52,72.0,9.7,52.4,44.6,94.0,8.7,207.9,49.9
Solano,1/21/2010,,1.01,29.0,8.8,45.5,40.8,96.0,4.3,102.0,49.4
Solano,1/22/2010,,0.06,88.0,8.2,47.3,36.6,97.0,3.3,78.5,48.4
Solano,1/23/2010,,0.17,170.0,9.0,53.5,38.5,98.0,2.9,70.8,48.4
Solano,1/24/2010,,0.04,66.0,8.4,45.3,35.2,99.0,1.5,36.0,48.5
Solano,1/25/2010,,1.01,39.0,10.1,48.5,43.3,98.0,2.2,52.7,48.6
Solano,1/26/2010,,0.12,96.0,10.3,51.7,43.0,98.0,3.7,89.4,49.2
Solano,1/27/2010,,0.0,252.0,8.7,60.3,36.1,96.0,3.4,82.0,49.1
Solano,1/28/2010,,0.0,230.0,8.6,56.3,33.4,98.0,2.0,49.1,49.0
Solano,1/29/2010,,0.07,115.0,10.2,55.6,39.0,97.0,2.2,52.1,49.3
Solano,1/30/2010,,0.0,263.0,9.6,61.1,39.6,99.0,2.6,62.5,49.9
Solano,1/31/2010,,0.0,251.0,9.3,58.7,35.5,98.0,2.4,56.9,49.9
Solano,2/1/2010,,0.0,148.0,10.0,56.1,42.5,96.0,2.5,60.7,50.4
Solano,2/2/2010,,0.02,182.0,9.4,57.5,37.1,96.0,2.6,61.8,50.3
Solano,2/3/2010,,0.01,200.0,9.7,61.8,36.7,98.0,2.3,55.0,50.6
Solano,2/4/2010,,0.92,64.0,11.2,53.9,43.0,97.0,3.9,94.7,50.8
Solano,2/5/2010,,0.0,136.0,12.0,59.7,49.0,98.0,3.7,89.6,51.4
Solano,2/6/2010,,0.48,109.0,10.9,55.5,47.4,97.0,3.2,77.3,51.9
Solano,2/7/2010,,0.0,250.0,9.9,62.5,43.9,93.0,2.5,60.8,52.1
Solano,2/8/2010,,0.01,241.0,9.1,58.1,37.9,97.0,3.5,83.2,51.9
Solano,2/9/2010,,0.28,99.0,9.9,52.8,41.6,96.0,3.3,80.4,51.8
