County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Sonoma,1/1/2010,0.0,0.35,47.0,12.6,54.4,49.2,97.0,3.2,75.6,51.9
Sonoma,1/2/2010,0.04,0.0,183.0,10.6,60.0,36.5,97.0,2.6,62.8,52.8
Sonoma,1/3/2010,0.03,0.01,177.0,9.0,56.8,33.8,98.0,3.2,75.9,51.9
Sonoma,1/4/2010,0.03,0.0,65.0,8.9,56.4,32.0,97.0,2.8,66.6,52.3
Sonoma,1/5/2010,0.03,0.0,148.0,9.3,58.6,36.9,98.0,2.4,57.2,51.7
Sonoma,1/6/2010,0.01,0.0,85.0,9.2,51.2,36.6,98.0,2.8,66.4,51.5
Sonoma,1/7/2010,0.01,0.0,62.0,9.6,47.7,39.9,98.0,2.8,67.5,51.3
Sonoma,1/8/2010,0.02,0.0,102.0,9.9,53.1,42.3,97.0,3.9,92.7,51.6
Sonoma,1/9/2010,0.01,0.0,67.0,10.1,51.7,43.0,97.0,2.6,61.6,51.8
Sonoma,1/10/2010,0.01,0.0,64.0,10.0,48.9,41.5,98.0,3.1,75.1,51.9
Sonoma,1/11/2010,0.02,0.26,96.0,10.0,50.6,43.6,97.0,4.5,109.1,52.1
Sonoma,1/12/2010,0.01,0.89,47.0,13.8,57.5,49.1,96.0,8.4,201.7,52.8
Sonoma,1/13/2010,0.05,0.15,215.0,11.6,62.2,37.7,97.0,4.2,100.2,54.2
Sonoma,1/14/2010,0.04,0.01,210.0,9.5,61.9,35.1,98.0,2.4,58.4,53.0
Sonoma,1/15/2010,0.02,0.0,118.0,9.7,54.1,37.9,97.0,2.7,65.5,52.5
Sonoma,1/16/2010,0.01,0.05,87.0,10.5,55.4,38.1,98.0,3.6,85.8,52.4
Sonoma,1/17/2010,0.01,0.53,58.0,11.8,54.3,49.0,97.0,6.0,145.1,52.9
Sonoma,1/18/2010,0.02,1.09,66.0,11.3,55.9,48.3,95.0,10.3,248.0,52.5
Sonoma,1/19/2010,0.03,1.18,116.0,10.4,58.0,42.4,95.0,8.4,202.6,52.2
Sonoma,1/20/2010,0.02,2.06,76.0,10.0,52.8,43.4,94.0,9.5,228.7,51.3
Sonoma,1/21/2010,0.0,1.31,19.0,9.0,48.6,40.6,96.0,3.8,92.3,50.3
Sonoma,1/22/2010,0.02,0.23,106.0,8.2,50.6,35.2,97.0,2.7,64.0,49.0
Sonoma,1/23/2010,0.04,0.26,206.0,9.3,56.4,37.5,97.0,3.0,71.2,
Sonoma,1/24/2010,0.01,0.31,63.0,9.4,49.3,38.4,97.0,3.2,77.3,
Sonoma,1/25/2010,0.0,1.75,29.0,11.1,54.3,46.7,96.0,7.4,176.5,
Sonoma,1/26/2010,0.01,0.0,125.0,11.3,54.9,32.0,97.0,2.7,64.6,
Sonoma,1/27/2010,0.03,0.0,160.0,10.8,57.8,42.7,97.0,2.4,57.9,
Sonoma,1/28/2010,0.03,0.01,141.0,10.3,54.5,41.9,97.0,2.2,51.8,
Sonoma,1/29/2010,0.01,0.32,82.0,10.4,54.8,40.1,97.0,3.5,82.9,
Sonoma,1/30/2010,0.05,0.0,211.0,10.1,59.5,38.2,97.0,2.4,57.1,
Sonoma,1/31/2010,0.03,0.0,149.0,9.7,52.4,40.3,97.0,2.7,64.7,
Sonoma,2/1/2010,0.02,0.0,78.0,10.8,55.6,32.0,97.0,2.3,55.2,
Sonoma,2/2/2010,0.03,0.0,167.0,10.1,59.3,38.2,97.0,2.4,58.3,
Sonoma,2/3/2010,0.05,0.22,217.0,10.6,59.5,41.0,97.0,2.4,58.4,
Sonoma,2/4/2010,0.0,0.98,42.0,11.2,53.9,42.7,97.0,6.1,145.9,
Sonoma,2/5/2010,0.05,0.03,209.0,11.7,61.1,43.9,97.0,4.0,94.8,
Sonoma,2/6/2010,0.03,0.8,153.0,10.7,57.4,42.5,96.0,4.3,104.3,
Sonoma,2/7/2010,0.06,0.0,265.0,8.8,61.1,34.6,97.0,2.2,53.6,
Sonoma,2/8/2010,0.03,0.06,224.0,10.4,54.6,32.0,98.0,3.2,76.3,
Sonoma,2/9/2010,0.02,0.2,115.0,9.5,52.7,36.7,97.0,3.3,80.3,
Sonoma,2/10/2010,0.04,0.0,96.0,10.2,57.5,32.0,98.0,2.8,67.0,50.8
Sonoma,2/11/2010,0.05,0.15,188.0,10.5,58.4,40.6,96.0,3.5,83.2,51.1
Sonoma,2/12/2010,0.03,0.17,147.0,12.6,60.0,48.6,96.0,3.9,93.6,52.6
Sonoma,2/13/2010,0.06,0.01,249.0,11.4,64.4,40.9,98.0,2.1,50.0,53.3
Sonoma,2/14/2010,0.06,0.0,254.0,11.7,67.4,41.4,98.0,2.6,62.9,53.1
Sonoma,2/15/2010,0.07,0.01,263.0,12.5,67.2,44.7,97.0,2.5,59.2,54.1
Sonoma,2/16/2010,0.08,0.01,308.0,11.7,71.9,41.6,98.0,2.3,54.9,54.2
Sonoma,2/17/2010,0.08,0.01,293.0,11.5,70.6,39.7,97.0,1.9,45.7,54.2
Sonoma,2/18/2010,0.06,0.0,259.0,10.5,61.1,37.1,97.0,3.0,72.2,53.5
Sonoma,2/19/2010,0.01,0.0,75.0,10.6,53.8,46.9,94.0,2.0,46.8,53.8
Sonoma,2/20/2010,0.03,0.0,120.0,9.7,56.2,37.7,97.0,3.0,71.2,53.1
Sonoma,2/21/2010,0.03,0.0,163.0,9.9,55.3,38.8,95.0,2.3,54.7,52.9
Sonoma,2/22/2010,0.08,0.0,309.0,9.2,63.1,39.1,97.0,2.6,62.9,53.2
Sonoma,2/23/2010,0.0,2.01,41.0,10.1,50.1,40.7,97.0,4.7,112.9,52.3
Sonoma,2/24/2010,0.05,0.16,214.0,12.0,62.0,39.2,97.0,3.5,83.3,52.8
