County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Stanislaus,1/1/2010,0.02,0.0,124.0,9.9,58.2,39.9,95.0,4.1,99.4,50.3
Stanislaus,1/2/2010,0.01,0.0,67.0,10.1,53.6,36.1,96.0,3.8,90.1,49.8
Stanislaus,1/3/2010,0.01,0.0,79.0,10.2,51.1,43.4,95.0,5.3,127.9,50.6
Stanislaus,1/4/2010,0.02,0.0,122.0,8.7,51.6,32.4,96.0,3.0,72.2,50.8
Stanislaus,1/5/2010,0.02,0.0,108.0,8.4,48.8,34.6,96.0,3.7,90.0,49.9
Stanislaus,1/6/2010,0.01,0.0,95.0,8.5,47.4,40.3,95.0,3.1,75.0,49.5
Stanislaus,1/7/2010,0.01,0.0,61.0,8.5,45.3,35.8,95.0,3.2,77.7,49.4
Stanislaus,1/8/2010,0.0,0.02,48.0,9.0,46.2,41.1,96.0,4.7,113.2,49.6
Stanislaus,1/9/2010,0.0,0.0,61.0,9.0,46.8,38.5,95.0,2.9,69.8,49.7
Stanislaus,1/10/2010,0.0,0.01,46.0,9.0,44.6,41.7,96.0,3.4,81.0,49.6
Stanislaus,1/11/2010,0.01,0.0,86.0,9.2,47.6,40.9,96.0,7.1,170.2,49.7
Stanislaus,1/12/2010,0.03,0.15,106.0,11.2,61.7,39.7,95.0,6.8,163.5,50.1
Stanislaus,1/13/2010,0.07,0.27,258.0,11.0,63.1,42.0,95.0,5.5,131.8,51.6
Stanislaus,1/14/2010,0.06,0.0,235.0,9.1,60.5,36.0,96.0,5.0,119.1,50.6
Stanislaus,1/15/2010,0.01,0.01,90.0,9.4,49.7,37.3,96.0,5.0,119.5,49.9
Stanislaus,1/16/2010,0.01,0.01,75.0,9.8,48.0,42.9,96.0,3.0,72.1,50.5
Stanislaus,1/17/2010,0.01,0.21,71.0,10.6,53.5,43.9,95.0,7.6,183.3,50.6
Stanislaus,1/18/2010,0.03,0.58,99.0,10.6,59.3,44.8,93.0,11.6,277.6,51.1
Stanislaus,1/19/2010,0.03,0.67,105.0,9.8,54.5,42.8,91.0,12.6,302.6,50.9
Stanislaus,1/20/2010,0.04,0.94,105.0,9.6,55.2,44.8,92.0,15.5,372.0,50.3
Stanislaus,1/21/2010,0.0,0.65,39.0,8.8,45.9,40.2,95.0,5.6,134.5,49.7
Stanislaus,1/22/2010,0.03,0.16,150.0,8.1,52.0,34.6,95.0,5.3,127.6,49.1
Stanislaus,1/23/2010,0.06,0.03,248.0,8.5,54.8,34.7,95.0,6.2,148.7,48.7
Stanislaus,1/24/2010,0.02,0.01,105.0,8.6,49.6,33.5,96.0,6.1,145.6,48.2
Stanislaus,1/25/2010,0.01,0.13,69.0,10.0,50.6,44.9,94.0,8.0,192.7,49.0
Stanislaus,1/26/2010,0.01,0.16,59.0,10.1,51.2,44.0,94.0,6.7,160.4,49.4
Stanislaus,1/27/2010,0.06,0.0,265.0,9.3,57.6,37.1,95.0,4.6,110.9,49.6
Stanislaus,1/28/2010,0.06,0.0,273.0,8.7,57.6,32.9,96.0,3.2,77.4,48.8
Stanislaus,1/29/2010,0.05,0.04,209.0,10.3,60.4,37.1,96.0,4.0,95.9,49.4
Stanislaus,1/30/2010,0.07,0.01,301.0,9.4,60.2,36.2,96.0,3.2,77.5,50.3
Stanislaus,1/31/2010,0.03,0.01,159.0,8.3,52.9,31.5,96.0,2.8,66.3,49.2
Stanislaus,2/1/2010,0.06,0.01,243.0,9.6,60.1,35.4,96.0,4.5,107.6,48.9
Stanislaus,2/2/2010,0.03,0.0,146.0,9.8,53.7,38.5,95.0,3.5,83.6,49.8
Stanislaus,2/3/2010,0.06,0.0,282.0,9.9,63.9,38.6,96.0,2.4,57.9,50.1
Stanislaus,2/4/2010,0.03,0.03,94.0,11.1,56.1,45.9,94.0,9.8,235.1,51.0
Stanislaus,2/5/2010,0.05,0.09,187.0,12.0,60.4,48.5,94.0,8.4,202.5,51.7
Stanislaus,2/6/2010,0.01,0.25,78.0,10.9,52.6,46.1,94.0,5.5,132.9,52.3
Stanislaus,2/7/2010,0.05,0.0,187.0,10.0,57.2,39.0,92.0,4.4,105.7,52.0
Stanislaus,2/8/2010,0.04,0.05,204.0,10.2,58.0,39.7,95.0,3.1,75.2,51.7
Stanislaus,2/9/2010,0.04,0.64,211.0,9.5,55.2,41.8,94.0,5.4,130.2,52.0
Stanislaus,2/10/2010,0.07,0.0,314.0,9.0,60.6,34.3,95.0,3.1,75.4,51.2
Stanislaus,2/11/2010,0.06,0.0,258.0,10.3,58.5,41.7,94.0,5.4,129.9,51.5
Stanislaus,2/12/2010,0.08,0.0,306.0,11.1,65.7,40.3,94.0,4.2,101.2,52.3
Stanislaus,2/13/2010,0.07,0.0,310.0,11.4,63.9,41.5,96.0,3.0,71.6,53.0
Stanislaus,2/14/2010,0.07,0.01,304.0,10.5,63.8,34.8,96.0,2.4,57.7,52.4
Stanislaus,2/15/2010,0.08,0.0,327.0,10.9,65.4,40.1,96.0,3.1,75.3,52.3
Stanislaus,2/16/2010,0.07,0.0,281.0,11.1,66.9,40.5,96.0,3.0,72.4,52.5
Stanislaus,2/17/2010,0.08,0.01,329.0,11.4,70.6,40.2,96.0,2.3,54.5,52.8
Stanislaus,2/18/2010,0.04,0.01,207.0,11.7,62.2,40.8,96.0,3.2,75.8,53.2
Stanislaus,2/19/2010,0.03,0.08,148.0,11.5,57.6,44.2,95.0,3.3,78.3,53.6
Stanislaus,2/20/2010,0.07,0.0,264.0,9.6,59.7,39.5,95.0,5.1,122.1,53.3
Stanislaus,2/21/2010,0.02,0.35,108.0,10.2,51.6,43.9,95.0,4.5,108.6,52.7
Stanislaus,2/22/2010,0.08,0.0,327.0,8.9,57.6,39.9,96.0,6.2,149.5,52.5
Stanislaus,2/23/2010,0.01,1.0,64.0,9.7,48.9,42.0,94.0,9.5,228.3,51.8
Stanislaus,2/24/2010,0.06,0.07,239.0,11.3,60.1,45.3,94.0,6.9,166.3,51.8
Stanislaus,2/25/2010,0.08,0.0,325.0,11.0,62.5,39.8,96.0,4.3,103.0,52.6
