County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Sutter,5/18/2012,0.27,0.0,721.0,10.5,84.7,47.4,94.0,5.2,123.7,71.7
Sutter,5/19/2012,0.24,0.0,709.0,11.8,87.0,47.1,91.0,3.4,81.9,71.1
Sutter,5/20/2012,0.26,0.0,687.0,14.2,91.3,52.9,91.0,4.5,107.4,71.1
Sutter,5/21/2012,0.26,0.0,683.0,14.3,83.6,56.1,81.0,8.3,198.5,70.8
Sutter,5/22/2012,0.24,0.0,711.0,14.7,84.0,54.8,92.0,4.7,112.5,72.1
Sutter,5/23/2012,0.27,0.0,725.0,10.8,79.3,51.0,81.0,6.2,149.7,71.4
Sutter,5/24/2012,0.27,0.0,723.0,10.4,79.7,51.4,75.0,6.7,160.9,70.3
Sutter,5/25/2012,0.18,0.03,575.0,9.3,69.7,47.0,90.0,4.1,98.0,67.8
Sutter,5/26/2012,0.22,0.0,665.0,11.9,73.5,47.9,88.0,5.7,135.7,68.1
Sutter,5/27/2012,0.22,0.0,713.0,12.4,76.8,50.3,90.0,4.7,112.9,68.3
Sutter,5/28/2012,0.25,0.0,725.0,11.4,74.3,52.6,86.0,8.0,192.4,68.3
Sutter,5/29/2012,0.22,0.0,724.0,12.9,81.6,48.7,88.0,4.0,95.9,68.7
Sutter,5/30/2012,0.24,0.0,735.0,15.3,89.5,47.3,92.0,3.1,73.2,71.0
Sutter,5/31/2012,0.24,0.0,722.0,16.8,94.3,52.7,83.0,2.7,63.7,72.7
Sutter,6/1/2012,0.26,0.0,717.0,18.6,95.7,57.1,90.0,3.8,91.9,74.4
Sutter,6/2/2012,0.26,0.0,699.0,16.0,88.8,60.1,78.0,6.2,147.8,74.3
Sutter,6/3/2012,0.26,0.0,692.0,14.2,87.1,55.4,80.0,6.2,147.7,73.1
Sutter,6/4/2012,0.09,0.05,276.0,12.8,69.8,50.7,91.0,6.9,165.2,70.5
Sutter,6/5/2012,0.24,0.0,728.0,9.6,72.5,47.0,87.0,5.6,134.4,68.5
Sutter,6/6/2012,0.28,0.0,743.0,10.1,82.6,53.3,73.0,7.1,170.1,69.4
