County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Tehama,8/13/2014,0.13,,564,,84.8,65.7,75.0,,,73.8
Tehama,8/14/2014,0.26,,1007,,89.2,,83.0,,,
Tehama,8/15/2014,0.25,,634,,93.1,57.9,85.0,,,73.9
Tehama,8/16/2014,0.25,,658,,95.0,58.1,85.0,,,74.2
Tehama,8/17/2014,0.25,0.0,658,16.6,94.9,57.5,82.0,5.1,122.6,73.9
Tehama,8/18/2014,0.23,0.0,625,14.0,93.0,55.1,88.0,3.1,74.4,71.6
Tehama,8/19/2014,0.24,0.0,622,16.5,90.6,57.4,89.0,5.0,119.9,72.1
Tehama,8/20/2014,0.23,0.0,606,17.1,83.8,59.8,89.0,5.8,138.6,72.7
Tehama,8/21/2014,0.24,0.0,604,16.9,89.1,59.5,90.0,4.2,99.7,72.7
Tehama,8/22/2014,0.23,0.0,619,16.8,87.7,62.0,86.0,4.4,105.4,73.3
Tehama,8/23/2014,0.25,0.0,618,14.3,95.5,59.0,89.0,4.2,100.9,73.1
Tehama,8/24/2014,0.25,0.0,606,15.2,90.3,56.7,83.0,5.1,121.8,73.1
Tehama,8/25/2014,0.21,0.0,600,15.5,84.1,60.5,83.0,4.4,104.9,73.3
Tehama,8/26/2014,0.22,0.0,598,16.9,93.0,59.5,88.0,4.0,95.6,73.5
Tehama,8/27/2014,0.22,0.0,590,17.1,93.7,59.6,88.0,3.2,77.8,74.1
Tehama,8/28/2014,0.23,0.0,585,16.0,95.4,61.6,84.0,3.1,74.8,72.8
Tehama,8/29/2014,0.16,0.0,409,16.7,88.3,62.4,86.0,3.4,82.1,73.7
Tehama,8/30/2014,0.22,0.0,578,14.1,92.4,55.7,93.0,3.7,88.0,73.4
Tehama,8/31/2014,0.22,0.0,582,12.7,98.9,58.9,69.0,3.4,81.7,73.5
Tehama,9/1/2014,0.26,0.0,572,12.3,98.9,62.0,65.0,5.4,130.5,73.4
Tehama,9/2/2014,0.24,0.0,567,14.0,93.6,59.3,68.0,4.2,100.3,73.6
Tehama,9/3/2014,0.28,0.0,577,10.4,95.1,58.2,85.0,6.2,148.4,73.1
Tehama,9/4/2014,0.27,0.0,594,7.7,101.7,59.5,61.0,5.7,137.0,72.0
Tehama,9/5/2014,0.21,0.0,582,11.8,93.9,52.2,67.0,3.1,74.1,71.8
Tehama,9/6/2014,0.21,0.0,571,13.3,92.0,56.2,81.0,3.4,82.1,72.6
Tehama,9/7/2014,0.21,0.0,571,12.7,91.9,52.8,86.0,3.4,82.6,72.0
Tehama,9/8/2014,0.21,0.0,563,13.0,87.9,53.0,89.0,4.2,100.0,70.0
Tehama,9/9/2014,0.19,0.0,551,12.6,89.0,52.0,92.0,2.7,64.3,70.0
Tehama,9/10/2014,0.22,0.0,552,11.6,94.1,55.1,75.0,4.5,107.5,70.2
Tehama,9/11/2014,0.2,0.0,533,12.3,95.8,57.0,75.0,2.9,69.3,70.5
Tehama,9/12/2014,0.21,0.0,541,11.8,95.9,58.5,64.0,3.3,79.2,70.9
Tehama,9/13/2014,0.19,0.0,480,12.9,96.2,60.1,61.0,3.5,83.4,71.2
Tehama,9/14/2014,0.21,0.0,525,14.2,93.8,58.5,75.0,3.9,93.8,71.5
Tehama,9/15/2014,0.23,0.0,514,13.5,93.4,60.6,78.0,5.7,137.1,71.5
Tehama,9/16/2014,0.17,0.0,499,13.1,88.0,53.9,85.0,3.0,71.2,71.1
Tehama,9/17/2014,0.25,0.0,496,12.6,88.7,54.9,79.0,8.3,199.7,70.4
Tehama,9/18/2014,0.16,0.0,418,17.4,82.3,60.8,81.0,5.9,140.9,71.1
Tehama,9/19/2014,0.21,0.0,480,15.2,96.3,59.5,82.0,6.6,158.4,70.7
