County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Tulare,1/1/2010,0.03,0.01,143.0,9.0,57.0,36.6,96.0,2.3,55.0,47.9
Tulare,1/2/2010,0.01,0.01,87.0,8.7,46.7,33.1,99.0,2.5,59.3,47.4
Tulare,1/3/2010,0.03,0.01,146.0,9.0,56.7,35.3,99.0,2.4,58.5,49.1
Tulare,1/4/2010,0.0,0.01,54.0,8.2,43.2,34.1,99.0,2.3,54.7,47.8
Tulare,1/5/2010,0.0,0.0,53.0,8.1,42.9,38.7,99.0,2.8,67.1,48.2
Tulare,1/6/2010,0.01,0.0,80.0,7.7,46.6,35.9,97.0,2.6,62.3,48.1
Tulare,1/7/2010,0.0,0.0,53.0,8.0,42.4,38.3,96.0,2.6,61.6,47.6
Tulare,1/8/2010,0.02,0.0,111.0,8.3,52.6,36.0,98.0,2.8,67.7,48.2
Tulare,1/9/2010,0.0,0.01,66.0,8.5,45.1,35.2,99.0,3.4,81.2,47.7
Tulare,1/10/2010,0.0,0.0,57.0,9.2,45.7,41.8,99.0,2.6,61.8,48.7
Tulare,1/11/2010,0.03,0.0,155.0,9.9,62.4,41.6,99.0,2.6,61.7,49.8
Tulare,1/12/2010,0.05,0.02,173.0,9.0,73.7,38.5,96.0,2.3,55.5,50.1
Tulare,1/13/2010,0.06,0.39,211.0,11.1,63.6,43.2,96.0,4.1,98.1,51.9
Tulare,1/14/2010,0.04,0.01,194.0,9.4,57.8,37.2,97.0,2.6,63.5,50.5
Tulare,1/15/2010,0.04,0.01,212.0,9.4,61.0,37.0,97.0,2.4,58.8,49.9
Tulare,1/16/2010,0.07,0.0,259.0,9.3,73.0,43.0,95.0,2.9,70.0,51.0
Tulare,1/17/2010,0.02,0.41,106.0,9.8,60.2,41.3,97.0,2.4,58.1,51.4
Tulare,1/18/2010,0.03,0.31,89.0,10.3,61.6,46.3,96.0,5.1,122.3,52.2
Tulare,1/19/2010,0.01,0.52,57.0,8.9,57.2,42.4,95.0,3.7,89.4,50.7
Tulare,1/20/2010,0.01,0.3,39.0,9.1,55.7,42.3,94.0,5.0,119.5,50.2
Tulare,1/21/2010,0.0,0.49,40.0,8.5,47.9,37.5,92.0,4.1,99.2,48.7
Tulare,1/22/2010,0.04,0.17,173.0,8.4,54.2,38.8,94.0,4.3,102.8,49.4
Tulare,1/23/2010,0.06,0.0,287.0,7.7,58.1,35.2,94.0,2.5,59.0,49.0
Tulare,1/24/2010,0.05,0.0,242.0,8.0,57.5,32.6,94.0,2.3,55.5,48.8
Tulare,1/25/2010,0.03,0.0,139.0,8.6,57.0,34.8,95.0,2.7,63.7,49.1
Tulare,1/26/2010,0.02,0.02,94.0,9.3,55.1,38.5,96.0,2.7,64.1,49.5
Tulare,1/27/2010,0.01,0.0,61.0,10.6,52.6,42.7,97.0,2.5,59.1,51.0
Tulare,1/28/2010,0.07,0.0,300.0,10.1,62.7,42.1,95.0,2.4,57.3,51.9
Tulare,1/29/2010,0.06,0.0,260.0,9.8,67.9,39.7,99.0,2.7,64.8,52.4
Tulare,1/30/2010,0.06,0.0,240.0,9.6,62.9,42.4,93.0,3.0,71.5,52.6
Tulare,1/31/2010,0.06,0.0,272.0,9.1,61.3,37.0,97.0,2.5,61.1,51.9
Tulare,2/1/2010,0.05,0.0,229.0,9.6,62.9,36.9,96.0,2.5,60.2,51.5
Tulare,2/2/2010,0.04,0.0,207.0,10.0,60.8,40.5,97.0,2.4,58.6,52.3
Tulare,2/3/2010,0.04,0.01,194.0,9.8,56.6,38.2,99.0,2.4,56.6,52.3
Tulare,2/4/2010,0.05,0.0,209.0,9.3,63.6,39.0,98.0,2.8,66.3,51.9
Tulare,2/5/2010,0.01,0.28,87.0,11.9,56.3,48.4,96.0,2.9,70.0,53.9
Tulare,2/6/2010,0.01,0.16,77.0,11.0,52.0,46.0,97.0,3.3,79.1,53.9
Tulare,2/7/2010,0.03,0.06,140.0,9.9,53.6,42.7,96.0,3.2,77.5,53.3
Tulare,2/8/2010,0.04,0.0,192.0,10.4,57.4,45.3,95.0,2.2,53.6,53.9
Tulare,2/9/2010,0.01,0.22,60.0,9.1,50.0,37.5,93.0,3.5,84.7,53.5
Tulare,2/10/2010,0.05,0.0,235.0,8.2,58.1,36.2,94.0,2.7,64.6,51.3
Tulare,2/11/2010,0.07,0.0,286.0,8.5,59.7,37.4,93.0,2.2,53.3,51.7
Tulare,2/12/2010,0.08,0.0,352.0,9.1,64.0,36.2,94.0,2.4,56.7,52.4
Tulare,2/13/2010,0.09,0.0,343.0,9.7,66.1,37.7,93.0,2.6,61.7,53.2
Tulare,2/14/2010,0.08,0.0,336.0,10.7,64.1,40.1,96.0,2.8,66.7,54.2
Tulare,2/15/2010,0.05,0.0,221.0,11.6,65.6,46.7,96.0,2.2,53.9,55.5
Tulare,2/16/2010,0.08,0.0,334.0,11.2,68.0,40.8,96.0,2.6,61.6,55.5
Tulare,2/17/2010,0.09,0.0,350.0,12.2,71.4,43.4,96.0,2.5,59.5,56.8
Tulare,2/18/2010,0.08,0.0,297.0,12.1,71.5,42.3,98.0,2.3,55.8,57.4
Tulare,2/19/2010,0.08,0.0,259.0,10.1,65.6,47.5,87.0,4.5,109.0,57.7
Tulare,2/20/2010,0.04,0.21,174.0,11.0,62.4,49.0,95.0,3.7,88.9,57.6
Tulare,2/21/2010,0.03,0.11,154.0,10.9,60.1,45.1,96.0,3.1,73.3,57.2
Tulare,2/22/2010,0.05,0.04,224.0,9.4,56.8,39.6,96.0,3.5,82.8,56.7
Tulare,2/23/2010,0.06,0.0,237.0,9.2,60.6,35.5,95.0,3.2,76.8,54.4
Tulare,2/24/2010,0.05,0.26,202.0,12.2,66.4,46.9,96.0,2.9,68.4,55.9
Tulare,2/25/2010,0.07,0.01,287.0,11.4,63.1,46.7,98.0,2.7,65.2,57.5
Tulare,2/26/2010,0.08,0.23,230.0,10.1,71.9,43.1,97.0,4.0,95.4,56.7
Tulare,2/27/2010,0.05,0.49,202.0,10.8,60.5,45.4,95.0,4.6,109.8,57.2
Tulare,2/28/2010,0.07,0.0,298.0,10.9,64.5,45.6,95.0,3.0,72.5,56.7
Tulare,3/1/2010,0.1,0.0,360.0,11.1,66.5,41.9,94.0,2.5,60.9,57.0
Tulare,3/2/2010,0.07,0.0,263.0,10.8,65.7,48.5,92.0,3.1,75.0,57.8
Tulare,3/3/2010,0.1,0.03,359.0,9.5,63.7,45.6,91.0,5.1,122.8,57.8
Tulare,3/4/2010,0.09,0.0,376.0,8.4,57.1,39.7,94.0,3.3,79.2,57.2
Tulare,3/5/2010,0.09,0.06,377.0,8.5,58.6,35.5,94.0,2.8,67.7,55.4
Tulare,3/6/2010,0.04,0.04,205.0,10.0,58.0,44.5,94.0,2.5,59.7,56.3
Tulare,3/7/2010,0.12,0.03,445.0,9.8,66.3,41.2,95.0,3.7,89.1,56.1
Tulare,3/8/2010,0.06,0.03,245.0,9.6,60.0,41.0,92.0,4.0,95.9,57.7
Tulare,3/9/2010,0.08,0.01,330.0,7.3,55.5,38.3,86.0,4.3,102.3,56.0
Tulare,3/10/2010,0.09,0.02,360.0,7.2,55.8,34.9,90.0,3.6,86.9,54.8
Tulare,3/11/2010,0.12,0.0,473.0,7.6,63.2,34.0,93.0,2.8,66.6,54.5
Tulare,3/12/2010,0.13,0.0,437.0,8.5,73.8,35.8,93.0,2.8,67.6,56.0
Tulare,3/13/2010,0.12,0.0,426.0,7.9,59.7,44.8,90.0,5.6,135.1,58.9
Tulare,3/14/2010,0.13,0.0,500.0,7.1,62.3,37.4,86.0,3.3,78.2,57.9
Tulare,3/15/2010,0.14,0.0,496.0,9.2,75.4,38.1,91.0,2.6,62.9,58.3
Tulare,3/16/2010,0.16,0.0,500.0,10.2,79.8,41.3,89.0,2.6,63.0,60.2
Tulare,3/17/2010,0.14,0.13,462.0,11.9,75.5,44.6,92.0,2.9,69.5,61.7
Tulare,3/18/2010,0.15,0.08,490.0,11.6,75.4,47.0,93.0,3.5,82.9,62.6
Tulare,3/19/2010,0.16,0.0,509.0,9.9,80.1,45.9,91.0,3.5,84.1,63.1
Tulare,3/20/2010,0.15,0.0,487.0,9.2,82.5,42.9,89.0,2.4,57.7,62.8
Tulare,3/21/2010,0.11,0.07,381.0,11.1,73.5,43.5,90.0,2.8,67.2,62.4
Tulare,3/22/2010,0.15,0.13,516.0,10.9,71.2,43.6,93.0,3.8,90.1,62.5
Tulare,3/23/2010,0.16,0.0,520.0,9.6,75.3,44.4,90.0,3.3,79.5,62.8
Tulare,3/24/2010,0.16,0.01,469.0,9.1,79.1,42.8,90.0,3.1,73.7,62.9
Tulare,3/25/2010,0.1,0.0,358.0,8.8,65.8,41.3,88.0,4.0,94.9,62.0
Tulare,3/26/2010,0.13,0.01,492.0,8.4,66.3,38.7,92.0,3.2,75.9,60.5
Tulare,3/27/2010,0.16,0.0,530.0,8.5,73.3,38.6,88.0,2.9,68.9,61.1
Tulare,3/28/2010,0.18,0.02,533.0,7.7,83.0,42.0,85.0,2.6,62.5,62.4
Tulare,3/29/2010,0.28,0.05,,8.3,76.3,43.0,77.0,3.9,94.1,63.3
Tulare,3/30/2010,0.14,0.08,400.0,10.6,69.6,51.9,83.0,5.6,133.3,63.8
Tulare,3/31/2010,0.13,0.05,443.0,7.8,62.0,41.8,84.0,4.0,97.2,62.9
Tulare,4/1/2010,0.12,0.0,445.0,7.2,62.4,37.6,84.0,3.8,90.4,60.7
Tulare,4/2/2010,0.13,0.0,483.0,7.7,67.6,39.0,86.0,2.7,63.9,60.7
