County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Ventura,1/1/2010,0.05,0.0,190,7.4,71.1,44.1,72.0,1.5,36.3,52.7
Ventura,1/2/2010,0.1,0.0,247,6.6,78.2,43.7,80.0,3.1,73.5,54.4
Ventura,1/3/2010,0.11,0.0,269,4.8,77.1,45.9,59.0,3.5,82.8,54.4
Ventura,1/4/2010,0.09,0.0,199,4.3,74.6,47.0,43.0,3.3,79.2,53.8
Ventura,1/5/2010,0.1,0.0,267,6.2,77.5,38.2,78.0,2.9,70.3,53.2
Ventura,1/6/2010,0.09,0.0,251,6.9,69.6,46.0,64.0,3.3,80.2,54.5
Ventura,1/7/2010,0.08,0.0,258,8.0,69.7,39.5,80.0,3.0,71.0,53.9
Ventura,1/8/2010,0.08,0.0,246,8.5,77.4,44.8,85.0,2.6,63.0,55.2
Ventura,1/9/2010,0.07,0.0,188,6.5,74.3,48.6,68.0,1.8,43.7,55.0
Ventura,1/10/2010,0.08,0.0,245,8.4,72.7,50.2,74.0,3.0,71.6,55.8
Ventura,1/11/2010,0.1,0.0,244,7.8,80.5,48.9,78.0,3.7,88.7,56.7
Ventura,1/12/2010,0.06,0.0,239,10.4,67.2,41.3,90.0,2.1,51.4,55.7
Ventura,1/13/2010,0.04,0.21,209,12.0,63.0,47.1,92.0,1.4,32.6,56.8
Ventura,1/14/2010,0.08,0.0,278,6.2,72.1,39.0,86.0,1.0,24.0,54.7
Ventura,1/15/2010,0.11,0.0,215,5.3,74.3,50.9,59.0,3.4,81.2,56.2
Ventura,1/16/2010,0.07,0.0,218,8.3,70.9,46.9,88.0,3.2,75.6,56.2
Ventura,1/17/2010,0.01,0.35,71,11.2,60.9,46.1,93.0,2.2,52.0,54.8
Ventura,1/18/2010,0.01,0.39,82,12.4,61.4,47.2,93.0,1.0,24.0,55.6
Ventura,1/19/2010,0.01,0.07,78,10.5,57.0,44.8,91.0,1.0,24.0,53.1
Ventura,1/20/2010,0.0,0.79,31,10.9,56.7,32.0,93.0,1.0,23.9,52.9
Ventura,1/21/2010,0.01,0.34,62,10.5,57.1,47.8,91.0,1.0,24.0,52.9
Ventura,1/22/2010,0.01,0.46,122,9.1,50.0,38.4,92.0,1.0,24.0,52.6
Ventura,1/23/2010,0.06,0.0,290,7.9,57.5,36.2,93.0,1.0,24.0,51.2
Ventura,1/24/2010,0.06,0.0,279,8.2,62.8,39.5,88.0,1.5,35.7,51.9
Ventura,1/25/2010,0.05,0.0,197,8.7,62.6,39.3,88.0,3.5,83.0,51.5
Ventura,1/26/2010,0.02,0.0,105,9.4,58.1,39.0,90.0,2.8,67.6,51.7
Ventura,1/27/2010,0.08,0.0,285,9.0,69.1,44.3,90.0,3.0,71.4,57.3
Ventura,1/28/2010,0.12,0.0,314,6.8,69.9,44.1,74.0,4.4,104.4,54.4
Ventura,1/29/2010,0.07,0.0,267,9.2,65.2,41.2,91.0,2.7,65.4,54.2
Ventura,1/30/2010,0.07,0.0,284,10.2,61.2,42.6,92.0,3.4,80.7,55.0
Ventura,1/31/2010,0.07,0.0,284,9.0,64.9,38.8,88.0,3.5,84.8,54.6
Ventura,2/1/2010,0.07,0.0,279,10.0,63.1,40.9,88.0,3.2,76.2,54.9
Ventura,2/2/2010,0.04,0.0,188,10.5,60.7,43.2,90.0,2.8,67.0,55.0
Ventura,2/3/2010,0.09,0.0,323,9.7,67.9,42.3,91.0,3.6,86.8,55.5
Ventura,2/4/2010,0.04,0.0,191,10.6,63.3,44.7,89.0,3.1,73.4,55.5
Ventura,2/5/2010,0.0,0.96,58,11.9,55.5,51.0,91.0,1.5,35.9,55.2
Ventura,2/6/2010,0.01,0.33,120,11.9,56.5,42.5,93.0,1.0,24.0,55.7
Ventura,2/7/2010,0.08,0.0,348,8.3,61.3,35.8,93.0,1.0,24.0,53.9
Ventura,2/8/2010,0.08,0.0,341,8.8,61.1,41.8,85.0,1.5,35.1,54.2
Ventura,2/9/2010,0.02,0.19,105,9.0,56.9,39.9,89.0,2.9,69.1,52.9
Ventura,2/10/2010,0.09,0.0,351,7.9,63.6,35.8,90.0,3.1,73.9,52.6
Ventura,2/11/2010,0.08,0.0,300,9.8,62.3,42.0,90.0,3.3,78.8,54.1
Ventura,2/12/2010,0.09,0.0,349,10.1,65.4,41.2,91.0,3.4,81.1,55.7
Ventura,2/13/2010,0.11,0.0,360,8.9,73.7,41.1,80.0,3.5,83.4,56.5
Ventura,2/14/2010,0.13,0.0,364,8.5,81.7,43.2,78.0,3.2,76.6,57.7
Ventura,2/15/2010,0.14,0.0,372,8.4,81.3,50.3,71.0,3.8,90.3,59.1
Ventura,2/16/2010,0.14,0.0,367,8.7,80.9,50.2,64.0,3.6,87.6,60.0
Ventura,2/17/2010,0.12,0.0,363,9.7,75.4,47.4,81.0,3.4,80.4,60.6
Ventura,2/18/2010,0.07,0.0,278,11.0,62.8,40.8,93.0,2.6,63.1,58.4
Ventura,2/19/2010,0.04,0.27,141,10.7,60.7,49.0,89.0,2.5,59.7,58.3
Ventura,2/20/2010,0.07,0.01,296,10.7,61.2,43.8,92.0,3.2,75.6,57.3
Ventura,2/21/2010,0.06,0.03,241,11.2,61.1,43.9,92.0,3.5,83.3,57.3
Ventura,2/22/2010,0.12,0.0,405,8.3,64.7,43.3,89.0,4.2,102.0,57.9
Ventura,2/23/2010,0.1,0.0,284,5.6,67.6,41.8,71.0,3.1,73.9,55.8
Ventura,2/24/2010,0.04,0.13,160,10.7,58.7,45.3,93.0,2.3,54.7,56.6
Ventura,2/25/2010,0.12,0.0,409,11.7,68.3,47.8,94.0,3.0,71.0,59.9
Ventura,2/26/2010,0.07,0.0,248,12.1,70.3,46.7,87.0,3.2,76.2,59.3
Ventura,2/27/2010,0.03,1.31,170,11.7,59.4,43.8,92.0,3.1,73.5,58.7
Ventura,2/28/2010,0.11,0.01,400,9.6,65.7,40.1,93.0,3.2,76.2,57.1
Ventura,3/1/2010,0.1,0.0,361,11.3,68.1,46.1,89.0,3.7,88.7,58.3
Ventura,3/2/2010,0.09,0.04,323,11.6,62.5,50.2,92.0,2.9,70.3,59.9
Ventura,3/3/2010,0.11,0.26,422,10.9,61.6,46.8,93.0,3.6,86.0,60.5
Ventura,3/4/2010,0.12,0.04,437,9.1,60.7,41.3,91.0,3.3,80.2,59.1
Ventura,3/5/2010,0.1,0.0,377,8.9,64.9,41.7,85.0,3.4,81.6,58.1
Ventura,3/6/2010,0.04,0.03,161,9.9,59.5,47.8,86.0,3.3,79.8,57.5
Ventura,3/7/2010,0.09,0.03,329,10.5,63.1,43.9,88.0,3.8,90.8,58.1
Ventura,3/8/2010,0.11,0.0,399,10.1,62.7,42.6,91.0,4.2,101.6,58.8
Ventura,3/9/2010,0.14,0.0,447,5.9,62.3,39.8,75.0,4.4,105.5,58.4
Ventura,3/10/2010,0.12,0.0,399,6.9,63.1,36.4,84.0,3.9,94.2,57.6
Ventura,3/11/2010,0.15,0.0,457,6.1,68.8,35.6,81.0,4.0,95.6,56.9
Ventura,3/12/2010,0.14,0.0,450,8.0,66.8,40.1,81.0,3.8,91.9,58.2
Ventura,3/13/2010,0.12,0.0,420,9.4,63.9,42.9,92.0,3.2,76.8,59.0
Ventura,3/14/2010,0.19,0.0,474,5.1,72.6,44.7,63.0,5.4,130.1,58.5
Ventura,3/15/2010,0.22,0.0,472,5.7,79.9,52.1,64.0,5.5,132.2,60.6
Ventura,3/16/2010,0.2,0.0,471,7.5,84.8,50.3,61.0,4.1,97.8,62.7
Ventura,3/17/2010,0.19,0.0,464,7.7,84.4,51.6,58.0,4.0,95.6,63.0
Ventura,3/18/2010,0.15,0.0,467,11.3,72.7,47.1,92.0,3.6,86.6,63.4
Ventura,3/19/2010,0.16,0.0,481,11.1,78.3,48.2,94.0,4.1,98.1,63.6
Ventura,3/20/2010,0.14,0.0,465,10.8,70.4,40.9,91.0,2.8,67.5,61.8
Ventura,3/21/2010,0.11,0.0,351,10.4,76.2,44.3,87.0,2.7,64.4,61.1
Ventura,3/22/2010,0.12,0.0,445,10.9,67.7,40.2,91.0,3.0,71.7,60.5
Ventura,3/23/2010,0.15,0.0,483,10.5,72.8,44.5,91.0,3.3,80.1,62.0
Ventura,3/24/2010,0.14,0.0,455,11.5,70.6,40.8,90.0,3.5,83.2,61.7
Ventura,3/25/2010,0.09,0.0,328,11.1,62.6,47.3,89.0,3.1,73.7,62.6
Ventura,3/26/2010,0.16,0.0,495,8.8,71.8,42.4,91.0,3.2,77.5,61.6
Ventura,3/27/2010,0.26,0.0,499,4.4,78.0,42.9,80.0,7.2,172.4,60.7
Ventura,3/28/2010,0.22,0.0,507,4.8,81.7,50.4,51.0,4.4,105.8,62.6
Ventura,3/29/2010,0.16,0.0,505,9.4,72.3,41.8,88.0,3.4,81.7,62.1
Ventura,3/30/2010,0.14,0.0,446,11.6,66.4,48.3,91.0,4.0,96.4,62.6
Ventura,3/31/2010,0.12,0.0,360,8.9,62.6,49.5,80.0,5.0,120.5,61.1
Ventura,4/1/2010,0.14,0.15,517,8.9,60.0,43.5,91.0,3.6,85.7,60.0
Ventura,4/2/2010,0.14,0.0,481,9.2,64.1,40.9,89.0,3.6,87.0,60.0
Ventura,4/3/2010,0.14,0.0,496,9.4,64.9,42.9,86.0,3.9,94.4,60.9
Ventura,4/4/2010,0.12,0.1,432,9.4,62.9,40.2,91.0,3.5,83.5,59.8
Ventura,4/5/2010,0.14,0.39,489,10.8,62.7,42.6,91.0,5.2,124.2,61.1
Ventura,4/6/2010,0.19,0.0,545,6.8,72.5,40.2,89.0,4.2,101.9,60.1
Ventura,4/7/2010,0.27,0.0,548,5.4,80.7,46.5,66.0,6.6,159.2,63.2
Ventura,4/8/2010,0.2,0.0,540,9.3,82.0,43.7,87.0,3.8,92.3,63.1
Ventura,4/9/2010,0.15,0.0,510,11.7,67.0,44.2,91.0,3.4,80.4,63.7
Ventura,4/10/2010,0.11,0.0,376,9.7,64.2,48.6,87.0,3.0,72.0,62.9
Ventura,4/11/2010,0.04,0.36,145,10.2,61.1,48.5,90.0,3.9,92.6,59.5
Ventura,4/12/2010,0.13,0.01,454,10.5,61.4,47.9,92.0,4.1,98.0,60.4
Ventura,4/13/2010,0.16,0.0,549,9.5,63.8,42.9,87.0,3.7,89.0,60.8
Ventura,4/14/2010,0.16,0.0,538,10.4,65.7,41.3,86.0,3.7,89.7,62.1
Ventura,4/15/2010,0.15,0.0,484,11.1,67.9,45.1,86.0,3.8,91.2,63.2
Ventura,4/16/2010,0.16,0.0,548,11.4,67.1,46.5,90.0,3.6,86.2,64.9
Ventura,4/17/2010,0.15,0.0,482,11.9,70.2,46.2,92.0,3.4,81.1,63.9
Ventura,4/18/2010,0.17,0.0,560,12.3,70.2,46.9,90.0,3.9,94.3,64.1
Ventura,4/19/2010,0.17,0.0,557,12.8,68.7,52.7,88.0,3.7,87.9,66.5
Ventura,4/20/2010,0.08,0.09,284,11.2,62.6,49.7,91.0,4.5,107.0,63.4
Ventura,4/21/2010,0.16,0.0,492,8.2,61.1,41.9,80.0,5.8,140.2,59.8
Ventura,4/22/2010,0.07,0.0,284,8.6,58.2,41.2,85.0,3.3,78.1,59.1
Ventura,4/23/2010,0.17,0.0,580,10.3,65.3,42.4,88.0,4.1,97.9,61.2
Ventura,4/24/2010,0.16,0.0,566,11.0,65.1,43.0,92.0,3.4,81.6,62.8
Ventura,4/25/2010,0.15,0.0,542,12.2,65.4,44.8,93.0,3.3,78.7,63.6
Ventura,4/26/2010,0.13,0.0,486,12.8,65.9,50.1,93.0,3.5,83.4,65.8
Ventura,4/27/2010,0.04,0.02,178,13.1,61.4,52.6,92.0,3.5,83.6,63.8
Ventura,4/28/2010,0.19,0.01,590,10.7,65.7,49.3,93.0,5.8,139.4,65.4
Ventura,4/29/2010,0.2,0.0,603,7.2,68.6,40.7,87.0,4.8,114.8,62.4
Ventura,4/30/2010,0.2,0.0,606,8.3,69.5,40.3,80.0,3.9,93.5,63.1
Ventura,5/1/2010,0.2,0.0,603,9.6,73.0,43.1,87.0,3.8,90.2,63.6
Ventura,5/2/2010,0.18,0.0,598,11.5,67.7,46.6,90.0,3.9,94.7,64.4
Ventura,5/3/2010,0.2,0.0,603,12.2,74.1,46.6,89.0,3.6,85.5,66.5
Ventura,5/4/2010,0.19,0.0,613,12.6,70.8,47.1,91.0,3.4,82.6,66.3
Ventura,5/5/2010,0.19,0.0,610,11.9,68.8,47.1,91.0,3.5,83.3,65.5
Ventura,5/6/2010,0.19,0.0,618,11.0,69.9,45.1,91.0,3.1,75.4,65.2
Ventura,5/7/2010,0.21,0.0,622,10.2,74.4,45.8,86.0,3.5,83.7,66.6
Ventura,5/8/2010,0.2,0.0,619,11.1,70.5,47.3,90.0,3.5,84.2,66.3
Ventura,5/9/2010,0.19,0.0,618,10.7,66.1,46.0,92.0,4.5,108.6,64.8
Ventura,5/10/2010,0.19,0.0,620,10.5,64.9,43.1,89.0,4.5,107.3,64.5
Ventura,5/11/2010,0.19,0.0,639,9.2,65.0,42.6,85.0,4.3,104.2,63.4
Ventura,5/12/2010,0.21,0.0,631,10.0,72.9,44.1,82.0,4.1,97.6,64.3
Ventura,5/13/2010,0.2,0.0,629,11.9,69.9,48.0,91.0,3.3,79.6,65.8
Ventura,5/14/2010,0.18,0.0,613,12.2,66.6,45.2,90.0,3.3,79.0,65.8
Ventura,5/15/2010,0.14,0.0,510,12.8,65.7,52.0,91.0,3.3,79.8,66.2
Ventura,5/16/2010,0.11,0.0,395,12.7,66.1,52.0,92.0,3.2,75.6,65.8
Ventura,5/17/2010,0.02,0.02,126,12.5,59.1,52.7,89.0,2.7,65.3,63.7
Ventura,5/18/2010,0.09,0.06,318,13.5,67.7,53.2,91.0,3.3,79.5,64.7
Ventura,5/19/2010,0.19,0.0,628,13.5,68.8,52.5,87.0,3.4,80.7,67.3
Ventura,5/20/2010,0.21,0.0,632,12.9,77.0,50.3,91.0,3.6,86.9,66.7
Ventura,5/21/2010,0.19,0.0,640,11.0,65.8,46.3,89.0,2.4,58.3,67.0
Ventura,5/22/2010,0.2,0.0,654,9.3,65.4,44.5,91.0,4.0,96.0,65.8
Ventura,5/23/2010,0.19,0.0,631,8.8,63.6,41.8,89.0,4.4,105.7,64.1
Ventura,5/24/2010,0.18,0.0,615,10.0,64.9,42.6,86.0,4.1,97.9,65.0
Ventura,5/25/2010,0.18,0.0,601,11.2,66.0,44.7,90.0,4.0,95.4,65.3
Ventura,5/26/2010,0.17,0.0,542,12.7,66.2,53.9,85.0,4.0,96.7,67.7
Ventura,5/27/2010,0.1,0.03,360,12.6,67.0,54.3,91.0,3.7,87.9,66.1
Ventura,5/28/2010,0.2,0.0,631,10.4,69.2,46.2,90.0,3.8,92.3,66.0
Ventura,5/29/2010,0.29,0.0,672,8.4,88.3,45.5,85.0,5.5,132.0,67.0
Ventura,5/30/2010,0.23,0.0,665,11.9,77.2,45.8,89.0,3.1,73.8,68.2
Ventura,5/31/2010,0.2,0.0,640,13.5,72.1,49.5,89.0,3.6,85.5,69.7
Ventura,6/1/2010,0.17,0.0,562,13.6,67.1,53.1,90.0,3.7,88.1,70.0
Ventura,6/2/2010,0.15,0.0,502,13.4,69.3,51.4,92.0,3.2,76.7,68.7
Ventura,6/3/2010,0.17,0.0,576,14.2,67.9,51.2,92.0,3.3,78.4,68.7
Ventura,6/4/2010,0.17,0.0,579,15.3,71.2,56.1,91.0,3.2,77.8,70.9
Ventura,6/5/2010,0.17,0.0,574,16.0,72.4,56.9,93.0,3.5,83.1,71.6
Ventura,6/6/2010,0.16,0.0,536,16.4,72.2,59.5,92.0,3.4,82.5,72.3
Ventura,6/7/2010,0.09,0.0,348,15.6,69.0,56.9,90.0,3.3,78.4,71.4
Ventura,6/8/2010,0.12,0.0,423,14.6,69.7,53.5,93.0,3.3,79.9,70.2
Ventura,6/9/2010,0.12,0.0,418,14.5,69.9,53.3,91.0,3.0,72.7,69.3
Ventura,6/10/2010,0.16,0.0,515,13.5,69.8,53.7,91.0,3.3,80.0,69.2
Ventura,6/11/2010,0.19,0.0,602,13.3,69.6,51.4,87.0,3.6,86.8,70.1
Ventura,6/12/2010,0.2,0.0,631,13.9,70.7,49.8,92.0,3.5,83.8,70.4
Ventura,6/13/2010,0.18,0.0,581,14.4,71.0,51.1,92.0,3.3,79.1,70.8
Ventura,6/14/2010,0.19,0.0,618,15.1,73.1,55.1,91.0,3.6,86.4,72.7
Ventura,6/15/2010,0.18,0.0,597,14.9,69.8,53.1,92.0,3.6,85.2,72.7
Ventura,6/16/2010,0.2,0.0,643,13.3,70.1,52.1,90.0,3.5,83.4,72.3
Ventura,6/17/2010,0.2,0.0,656,13.8,71.4,50.1,91.0,3.6,86.1,71.1
Ventura,6/18/2010,0.18,0.0,589,13.4,69.8,51.4,88.0,3.5,84.8,71.1
Ventura,6/19/2010,0.2,0.0,648,12.8,69.9,49.2,91.0,3.6,86.8,70.6
Ventura,6/20/2010,0.2,0.0,655,13.1,71.0,48.7,92.0,3.3,79.2,70.7
Ventura,6/21/2010,0.18,0.0,595,13.7,69.9,50.1,88.0,3.6,87.2,70.9
Ventura,6/22/2010,0.19,0.0,628,14.1,71.3,53.7,91.0,3.6,86.5,71.5
Ventura,6/23/2010,0.19,0.0,623,14.5,69.9,52.4,92.0,3.6,86.7,71.7
Ventura,6/24/2010,0.18,0.0,592,14.8,71.0,56.1,92.0,3.4,82.5,71.6
Ventura,6/25/2010,0.2,0.0,635,14.5,71.2,55.7,88.0,3.7,89.8,72.5
Ventura,6/26/2010,0.18,0.0,585,14.2,70.8,54.0,87.0,3.3,79.1,73.2
Ventura,6/27/2010,0.19,0.0,620,14.9,70.8,53.7,88.0,3.5,84.2,74.4
Ventura,6/28/2010,0.14,0.0,460,15.7,70.7,59.2,87.0,3.8,90.9,74.5
Ventura,6/29/2010,0.04,0.01,178,15.7,65.6,58.6,92.0,3.4,81.6,72.1
Ventura,6/30/2010,0.14,0.0,488,15.6,70.0,55.0,92.0,3.5,83.1,71.5
Ventura,7/1/2010,0.2,0.0,639,14.4,75.0,53.4,92.0,3.5,84.3,70.8
Ventura,7/2/2010,0.21,0.0,641,13.7,71.9,51.2,89.0,3.4,81.0,71.4
Ventura,7/3/2010,0.14,0.0,468,14.6,69.6,53.8,91.0,3.3,80.4,71.0
Ventura,7/4/2010,0.17,0.0,545,15.1,70.6,57.3,92.0,3.4,81.7,71.5
Ventura,7/5/2010,0.08,0.0,285,14.9,68.6,58.1,90.0,3.4,80.8,70.4
Ventura,7/6/2010,0.09,0.0,333,14.6,66.4,57.4,92.0,3.7,87.7,69.4
Ventura,7/7/2010,0.05,0.01,232,14.8,65.8,57.5,92.0,3.2,77.4,68.8
Ventura,7/8/2010,0.11,0.0,386,14.4,67.2,57.3,89.0,3.4,81.3,68.8
Ventura,7/9/2010,0.16,0.0,517,15.0,70.6,58.3,86.0,3.5,83.2,70.7
Ventura,7/10/2010,0.15,0.0,484,15.3,71.6,57.5,91.0,3.4,82.7,71.6
Ventura,7/11/2010,0.15,0.0,488,15.6,71.6,58.0,91.0,3.5,84.0,72.0
Ventura,7/12/2010,0.15,0.0,483,15.2,71.2,57.0,88.0,3.6,86.9,72.1
Ventura,7/13/2010,0.22,0.0,626,14.3,81.3,53.3,92.0,3.3,79.8,72.8
Ventura,7/14/2010,0.22,0.0,620,15.4,82.7,55.2,91.0,3.2,76.7,74.4
Ventura,7/15/2010,0.22,0.0,601,16.2,82.2,59.1,91.0,3.3,79.9,75.7
Ventura,7/16/2010,0.14,0.0,400,16.4,84.3,61.2,81.0,3.1,74.0,75.2
Ventura,7/17/2010,0.21,0.0,599,16.1,81.6,57.4,91.0,3.3,79.1,75.2
Ventura,7/18/2010,0.21,0.0,602,16.0,78.0,56.8,91.0,3.4,82.4,75.5
Ventura,7/19/2010,0.19,0.0,587,16.6,74.8,57.4,89.0,3.6,85.9,76.0
