County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Yolo,1/1/2010,0.02,0.04,87.0,10.7,55.5,45.5,90.0,5.0,121.0,50.0
Yolo,1/2/2010,0.03,0.0,113.0,10.5,57.5,42.6,94.0,6.0,143.0,51.0
Yolo,1/3/2010,0.0,0.01,56.0,8.8,50.5,34.7,94.0,2.3,55.4,49.1
Yolo,1/4/2010,0.01,0.0,67.0,9.0,51.7,39.0,93.0,3.5,82.9,50.0
Yolo,1/5/2010,0.0,0.0,34.0,8.5,45.8,38.1,94.0,2.9,68.9,49.4
Yolo,1/6/2010,0.0,0.0,27.0,8.6,46.3,40.9,93.0,2.9,70.7,49.7
Yolo,1/7/2010,0.0,0.0,19.0,8.9,45.4,41.9,93.0,2.6,62.2,49.8
Yolo,1/8/2010,0.0,0.03,39.0,8.8,49.0,39.6,93.0,3.7,89.6,49.7
Yolo,1/9/2010,0.0,0.01,28.0,9.2,47.3,38.5,94.0,2.8,66.6,49.2
Yolo,1/10/2010,0.0,0.0,28.0,9.4,46.9,42.4,94.0,3.3,78.1,50.1
Yolo,1/11/2010,0.0,0.0,18.0,9.0,46.7,42.2,94.0,3.6,86.3,50.1
Yolo,1/12/2010,0.02,0.3,83.0,11.7,61.2,42.4,94.0,6.7,161.4,50.8
Yolo,1/13/2010,0.05,0.28,197.0,11.0,63.4,41.9,92.0,5.5,131.3,52.8
Yolo,1/14/2010,0.05,0.0,189.0,9.3,59.4,41.3,92.0,5.8,138.7,51.1
Yolo,1/15/2010,0.02,0.0,122.0,9.2,51.6,36.3,94.0,3.4,80.9,50.2
Yolo,1/16/2010,0.01,0.06,98.0,9.3,52.6,37.8,94.0,3.4,80.7,50.1
Yolo,1/17/2010,0.01,0.07,52.0,10.4,53.3,46.2,93.0,7.0,167.1,51.0
Yolo,1/18/2010,0.03,0.64,86.0,10.3,55.7,47.3,91.0,11.2,268.8,51.3
Yolo,1/19/2010,0.02,1.55,50.0,9.5,50.5,44.9,89.0,11.9,286.6,49.9
Yolo,1/20/2010,0.03,1.55,80.0,9.1,51.0,42.3,89.0,13.9,332.5,48.3
Yolo,1/21/2010,0.01,0.77,32.0,8.5,46.8,40.9,92.0,6.9,165.5,47.6
Yolo,1/22/2010,0.02,0.1,89.0,7.9,46.7,38.1,91.0,5.9,142.7,46.8
Yolo,1/23/2010,0.04,0.18,195.0,8.6,54.1,38.0,92.0,5.1,123.3,47.2
Yolo,1/24/2010,0.01,0.04,63.0,8.1,47.7,37.0,93.0,2.8,66.6,46.9
Yolo,1/25/2010,0.01,0.51,57.0,9.6,49.2,43.4,93.0,5.5,132.6,48.0
Yolo,1/26/2010,0.02,0.09,93.0,9.7,50.2,43.4,93.0,7.8,188.1,48.9
Yolo,1/27/2010,0.07,0.0,266.0,8.3,56.0,34.7,92.0,5.1,122.7,47.9
Yolo,1/28/2010,0.04,0.0,191.0,9.1,55.3,37.7,94.0,2.6,62.2,48.2
Yolo,1/29/2010,0.03,0.06,132.0,10.0,53.7,42.0,92.0,3.9,94.4,49.2
Yolo,1/30/2010,0.06,0.0,265.0,9.6,59.2,40.3,93.0,4.1,97.9,50.5
Yolo,1/31/2010,0.06,0.0,274.0,9.0,57.6,36.7,93.0,3.1,75.1,49.6
Yolo,2/1/2010,0.03,0.01,160.0,9.7,55.0,43.8,92.0,4.1,99.1,50.6
Yolo,2/2/2010,0.03,0.0,172.0,8.7,54.8,39.0,90.0,5.0,120.7,50.3
Yolo,2/3/2010,0.06,0.0,245.0,9.4,58.9,37.5,93.0,3.4,81.7,51.1
Yolo,2/4/2010,0.01,0.51,71.0,10.2,53.7,43.3,92.0,7.5,179.6,51.0
Yolo,2/5/2010,0.06,0.02,255.0,11.1,59.0,45.5,92.0,7.0,169.0,52.2
Yolo,2/6/2010,0.02,0.12,105.0,10.3,53.2,44.8,92.0,5.2,126.0,52.7
Yolo,2/7/2010,0.05,0.0,206.0,9.5,56.8,40.9,92.0,4.2,100.2,52.3
Yolo,2/8/2010,0.05,0.02,220.0,8.5,55.3,35.7,94.0,4.5,108.3,50.9
Yolo,2/9/2010,0.02,0.38,122.0,9.1,52.2,39.1,92.0,5.0,120.4,51.4
Yolo,2/10/2010,0.06,0.0,277.0,8.6,56.0,34.3,92.0,4.9,117.6,50.2
Yolo,2/11/2010,0.05,0.0,206.0,9.6,55.6,44.5,90.0,5.6,133.3,51.8
Yolo,2/12/2010,0.05,0.04,217.0,10.7,59.2,45.7,91.0,4.0,95.5,53.0
Yolo,2/13/2010,0.05,0.0,238.0,10.3,59.0,40.2,94.0,3.0,71.9,53.5
Yolo,2/14/2010,0.07,0.0,310.0,10.6,64.9,39.5,94.0,2.6,62.2,53.0
Yolo,2/15/2010,0.09,0.0,326.0,10.5,64.2,43.6,89.0,4.0,95.7,54.1
Yolo,2/16/2010,0.08,0.0,297.0,10.6,64.5,42.7,94.0,3.6,85.5,53.7
Yolo,2/17/2010,0.08,0.01,315.0,11.2,66.5,41.5,94.0,2.7,63.8,53.8
Yolo,2/18/2010,0.07,0.01,273.0,11.6,65.4,43.2,94.0,3.5,84.0,54.4
Yolo,2/19/2010,0.01,0.0,101.0,10.1,53.8,43.2,94.0,4.0,96.3,54.4
Yolo,2/20/2010,0.04,0.0,171.0,8.9,54.7,41.4,91.0,4.3,102.7,53.3
Yolo,2/21/2010,0.03,0.0,146.0,8.3,52.1,39.0,89.0,4.3,103.4,52.0
Yolo,2/22/2010,0.11,0.0,354.0,6.9,56.5,39.9,93.0,7.3,175.2,51.9
Yolo,2/23/2010,0.0,0.77,45.0,8.6,46.7,40.7,91.0,6.6,158.8,50.9
Yolo,2/24/2010,0.02,0.08,131.0,10.5,56.3,44.9,92.0,7.1,171.3,51.4
Yolo,2/25/2010,0.06,0.0,263.0,10.2,58.2,41.1,94.0,3.5,83.1,53.0
Yolo,2/26/2010,0.01,0.44,77.0,10.5,54.5,40.5,92.0,6.9,166.1,53.2
Yolo,2/27/2010,0.04,0.35,183.0,9.7,56.4,40.8,93.0,5.6,135.2,52.0
Yolo,2/28/2010,0.08,0.0,319.0,8.9,63.0,36.8,90.0,3.3,78.1,51.9
Yolo,3/1/2010,0.06,0.0,266.0,10.3,58.0,39.2,94.0,3.8,91.5,53.5
Yolo,3/2/2010,0.03,0.23,127.0,10.0,56.3,44.2,93.0,6.4,153.3,53.9
Yolo,3/3/2010,0.05,0.47,228.0,8.4,51.6,39.5,91.0,6.6,157.9,52.8
Yolo,3/4/2010,0.06,0.0,292.0,7.5,52.6,32.8,94.0,3.6,86.3,51.9
Yolo,3/5/2010,0.06,0.0,270.0,7.7,53.9,32.0,94.0,3.4,81.8,51.2
Yolo,3/6/2010,0.09,0.0,305.0,8.7,62.6,42.3,85.0,5.5,131.1,52.8
Yolo,3/7/2010,0.1,0.0,394.0,9.2,64.0,36.9,92.0,4.7,112.8,53.6
Yolo,3/8/2010,0.1,0.0,346.0,7.0,53.9,38.5,85.0,7.8,187.1,53.7
