County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
Yuba,1/1/2010,0.02,0.04,67.0,10.5,57.9,48.9,84.0,3.0,71.8,49.6
Yuba,1/2/2010,0.04,0.0,191.0,11.7,60.2,44.6,99.0,2.3,54.3,50.7
Yuba,1/3/2010,0.05,0.0,234.0,8.7,58.3,37.7,100.0,2.1,50.1,49.0
Yuba,1/4/2010,0.03,0.0,192.0,9.3,57.1,35.6,100.0,2.0,48.8,49.0
Yuba,1/5/2010,0.03,0.0,161.0,8.4,53.5,37.0,100.0,1.9,45.2,48.1
Yuba,1/6/2010,0.01,0.0,74.0,8.9,45.3,38.0,100.0,2.0,47.0,48.2
Yuba,1/7/2010,0.0,0.0,65.0,9.2,44.8,40.3,100.0,1.9,44.8,48.1
Yuba,1/8/2010,0.01,0.08,69.0,10.3,53.7,41.3,100.0,1.9,45.5,48.5
Yuba,1/9/2010,0.01,0.0,95.0,10.5,52.1,40.6,100.0,1.9,46.1,48.5
Yuba,1/10/2010,0.01,0.0,111.0,9.8,48.9,36.2,100.0,1.8,42.1,48.3
Yuba,1/11/2010,0.01,0.04,96.0,10.5,52.0,41.8,100.0,2.1,49.7,48.7
Yuba,1/12/2010,0.01,0.35,51.0,12.7,58.9,50.8,94.0,5.4,128.5,49.6
Yuba,1/13/2010,0.05,0.59,215.0,11.9,61.7,47.1,98.0,3.5,84.2,51.5
Yuba,1/14/2010,0.04,0.0,174.0,9.7,58.5,41.1,98.0,2.4,58.4,50.0
Yuba,1/15/2010,0.03,0.0,155.0,9.8,55.9,45.0,91.0,2.5,59.5,49.5
Yuba,1/16/2010,0.05,0.0,195.0,9.0,62.5,42.4,94.0,2.3,55.7,49.7
Yuba,1/17/2010,0.0,1.06,29.0,10.6,53.1,45.7,98.0,4.3,102.0,49.6
Yuba,1/18/2010,0.01,0.75,43.0,11.3,55.0,46.9,97.0,5.5,132.4,49.6
Yuba,1/19/2010,0.02,1.22,72.0,9.6,53.4,43.3,95.0,7.5,179.0,48.3
Yuba,1/20/2010,0.02,0.0,0.0,9.0,47.0,46.3,91.0,7.2,173.7,46.7
Yuba,1/21/2010,0.0,0.47,47.0,8.9,47.6,40.8,99.0,3.2,76.4,46.6
Yuba,1/22/2010,0.01,0.16,68.0,8.5,46.8,39.8,95.0,3.6,86.1,45.9
Yuba,1/23/2010,0.01,0.24,102.0,8.8,51.4,41.7,97.0,3.4,81.4,45.9
Yuba,1/24/2010,0.01,0.24,50.0,8.4,49.6,41.3,94.0,3.1,74.3,45.6
Yuba,1/25/2010,0.0,0.39,50.0,10.4,53.1,45.8,98.0,2.8,67.6,46.6
Yuba,1/26/2010,0.02,0.04,122.0,11.4,56.3,42.4,100.0,2.5,60.2,48.3
Yuba,1/27/2010,0.06,0.0,283.0,9.4,58.7,38.1,98.0,2.2,51.9,47.7
Yuba,1/28/2010,0.05,0.0,246.0,9.3,57.0,36.8,97.0,2.2,53.3,47.6
