County,None,D0,D1,D2,D3,D4,ValidStart
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2025-02-11
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2025-02-04
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-28
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-21
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-14
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-07
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-31
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-03
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-26
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-03
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-27
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-20
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-13
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-06
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-07-30
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-07-23
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-07-16
Alpine County,0.0,100.0,0.0,0.0,0.0,0.0,2024-07-09
Alpine County,0.96,99.04,0.0,0.0,0.0,0.0,2024-07-02
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Alpine County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Alpine County,46.75,53.25,0.0,0.0,0.0,0.0,2024-02-27
Alpine County,46.75,53.25,0.0,0.0,0.0,0.0,2024-02-20
Alpine County,46.75,53.25,0.0,0.0,0.0,0.0,2024-02-13
Alpine County,46.75,53.25,0.0,0.0,0.0,0.0,2024-02-06
