County,None,D0,D1,D2,D3,D4,ValidStart
Amador County,48.2,51.8,0.0,0.0,0.0,0.0,2025-03-04
Amador County,48.2,51.8,0.0,0.0,0.0,0.0,2025-02-25
Amador County,48.2,51.8,0.0,0.0,0.0,0.0,2025-02-18
Amador County,2.97,97.03,0.0,0.0,0.0,0.0,2025-02-11
Amador County,2.97,97.03,0.0,0.0,0.0,0.0,2025-02-04
Amador County,2.97,97.03,0.0,0.0,0.0,0.0,2025-01-28
Amador County,2.97,97.03,0.0,0.0,0.0,0.0,2025-01-21
Amador County,2.97,97.03,0.0,0.0,0.0,0.0,2025-01-14
Amador County,2.97,97.03,0.0,0.0,0.0,0.0,2025-01-07
Amador County,2.97,97.03,0.0,0.0,0.0,0.0,2024-12-31
Amador County,2.86,97.14,0.0,0.0,0.0,0.0,2024-12-24
Amador County,2.86,97.14,0.0,0.0,0.0,0.0,2024-12-17
Amador County,2.54,97.46,0.0,0.0,0.0,0.0,2024-12-10
Amador County,2.54,97.46,0.0,0.0,0.0,0.0,2024-12-03
Amador County,2.54,97.46,0.0,0.0,0.0,0.0,2024-11-26
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Amador County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Amador County,70.25,29.75,0.0,0.0,0.0,0.0,2024-09-03
Amador County,70.25,29.75,0.0,0.0,0.0,0.0,2024-08-27
Amador County,69.72,30.28,0.0,0.0,0.0,0.0,2024-08-20
Amador County,69.44,30.56,0.0,0.0,0.0,0.0,2024-08-13
Amador County,69.28,30.72,0.0,0.0,0.0,0.0,2024-08-06
Amador County,67.88,32.12,0.0,0.0,0.0,0.0,2024-07-30
Amador County,67.94,32.06,0.0,0.0,0.0,0.0,2024-07-23
Amador County,67.94,32.06,0.0,0.0,0.0,0.0,2024-07-16
Amador County,66.82,33.18,0.0,0.0,0.0,0.0,2024-07-09
Amador County,85.24,14.76,0.0,0.0,0.0,0.0,2024-07-02
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Amador County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
