County,None,D0,D1,D2,D3,D4,ValidStart
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-03
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-27
Butte County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-20
Butte County,97.01,2.99,0.0,0.0,0.0,0.0,2024-08-13
Butte County,97.03,2.97,0.0,0.0,0.0,0.0,2024-08-06
Butte County,95.72,4.28,0.0,0.0,0.0,0.0,2024-07-30
Butte County,95.73,4.27,0.0,0.0,0.0,0.0,2024-07-23
Butte County,95.73,4.27,0.0,0.0,0.0,0.0,2024-07-16
Butte County,94.91,5.09,0.0,0.0,0.0,0.0,2024-07-09
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
Butte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
