County,None,D0,D1,D2,D3,D4,ValidStart
Calaveras County,56.38,43.62,0.0,0.0,0.0,0.0,2025-03-04
Calaveras County,56.38,43.62,0.0,0.0,0.0,0.0,2025-02-25
Calaveras County,56.38,43.62,0.0,0.0,0.0,0.0,2025-02-18
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2025-02-11
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2025-02-04
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-28
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-21
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-14
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-07
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-31
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-03
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-26
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Calaveras County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Calaveras County,85.35,14.65,0.0,0.0,0.0,0.0,2024-09-03
Calaveras County,85.35,14.65,0.0,0.0,0.0,0.0,2024-08-27
Calaveras County,84.65,15.35,0.0,0.0,0.0,0.0,2024-08-20
Calaveras County,84.27,15.73,0.0,0.0,0.0,0.0,2024-08-13
Calaveras County,84.05,15.95,0.0,0.0,0.0,0.0,2024-08-06
Calaveras County,82.26,17.74,0.0,0.0,0.0,0.0,2024-07-30
Calaveras County,82.34,17.66,0.0,0.0,0.0,0.0,2024-07-23
Calaveras County,82.34,17.66,0.0,0.0,0.0,0.0,2024-07-16
Calaveras County,81.33,18.67,0.0,0.0,0.0,0.0,2024-07-09
Calaveras County,96.95,3.05,0.0,0.0,0.0,0.0,2024-07-02
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-15
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-08
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-01
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-25
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-18
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-11
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-04
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-27
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-20
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-13
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-06
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-30
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-23
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-16
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-09
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-02
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-25
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-18
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-11
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-04
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-28
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-21
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-14
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-07
Calaveras County,100.0,0.0,0.0,0.0,0.0,0.0,2023-02-28
Calaveras County,0.0,100.0,51.35,0.0,0.0,0.0,2023-02-21
Calaveras County,0.0,100.0,51.35,0.0,0.0,0.0,2023-02-14
Calaveras County,0.0,100.0,51.35,0.0,0.0,0.0,2023-02-07
Calaveras County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-31
Calaveras County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-24
Calaveras County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-17
Calaveras County,0.0,100.0,100.0,0.38,0.0,0.0,2023-01-10
Calaveras County,0.0,100.0,100.0,67.87,0.73,0.0,2023-01-03
Calaveras County,0.0,100.0,100.0,100.0,67.87,0.0,2022-12-27
Calaveras County,0.0,100.0,100.0,100.0,67.87,0.0,2022-12-20
Calaveras County,0.0,100.0,100.0,100.0,67.87,0.0,2022-12-13
Calaveras County,0.0,100.0,100.0,100.0,97.89,15.12,2022-12-06
Calaveras County,0.0,100.0,100.0,100.0,97.89,15.12,2022-11-29
Calaveras County,0.0,100.0,100.0,100.0,97.89,15.12,2022-11-22
Calaveras County,0.0,100.0,100.0,100.0,97.89,15.12,2022-11-15
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-11-08
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-11-01
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-10-25
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-10-18
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-10-11
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-10-04
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-09-27
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-09-20
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-09-13
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-09-06
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-08-30
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-08-23
Calaveras County,0.0,100.0,100.0,100.0,97.94,32.73,2022-08-16
Calaveras County,0.0,100.0,100.0,100.0,93.18,32.73,2022-08-09
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-08-02
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-07-26
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-07-19
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-07-12
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-07-05
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-06-28
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-06-21
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-06-14
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-06-07
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-05-31
Calaveras County,0.0,100.0,100.0,100.0,93.04,15.95,2022-05-24
Calaveras County,0.0,100.0,100.0,100.0,93.04,0.0,2022-05-17
Calaveras County,0.0,100.0,100.0,100.0,93.04,0.0,2022-05-10
Calaveras County,0.0,100.0,100.0,100.0,93.04,0.0,2022-05-03
Calaveras County,0.0,100.0,100.0,100.0,93.04,0.0,2022-04-26
Calaveras County,0.0,100.0,100.0,100.0,93.04,0.0,2022-04-19
Calaveras County,0.0,100.0,100.0,100.0,93.04,0.0,2022-04-12
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-05
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-29
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-22
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-15
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-08
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-01
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-02-22
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-02-15
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-02-08
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-02-01
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-01-25
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-01-18
Calaveras County,0.0,100.0,100.0,100.0,0.0,0.0,2022-01-11
Calaveras County,0.0,100.0,100.0,100.0,40.36,0.0,2022-01-04
Calaveras County,0.0,100.0,100.0,100.0,40.36,0.0,2021-12-28
Calaveras County,0.0,100.0,100.0,100.0,100.0,37.86,2021-12-21
Calaveras County,0.0,100.0,100.0,100.0,100.0,37.86,2021-12-14
