County,None,D0,D1,D2,D3,D4,ValidStart
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-12
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-05
Del Norte County,94.58,5.42,0.0,0.0,0.0,0.0,2024-10-29
Del Norte County,2.84,97.16,0.0,0.0,0.0,0.0,2024-10-22
Del Norte County,2.84,97.16,0.0,0.0,0.0,0.0,2024-10-15
Del Norte County,2.84,97.16,0.0,0.0,0.0,0.0,2024-10-08
Del Norte County,2.89,97.11,0.0,0.0,0.0,0.0,2024-10-01
Del Norte County,3.98,96.02,0.0,0.0,0.0,0.0,2024-09-24
Del Norte County,3.98,96.02,0.0,0.0,0.0,0.0,2024-09-17
Del Norte County,3.98,96.02,0.0,0.0,0.0,0.0,2024-09-10
Del Norte County,3.99,96.01,0.0,0.0,0.0,0.0,2024-09-03
Del Norte County,3.99,96.01,0.63,0.0,0.0,0.0,2024-08-27
Del Norte County,3.42,96.58,0.63,0.0,0.0,0.0,2024-08-20
Del Norte County,3.6,96.4,0.0,0.0,0.0,0.0,2024-08-13
Del Norte County,3.45,96.55,0.0,0.0,0.0,0.0,2024-08-06
Del Norte County,1.89,98.11,0.0,0.0,0.0,0.0,2024-07-30
Del Norte County,1.93,98.07,0.0,0.0,0.0,0.0,2024-07-23
Del Norte County,1.93,98.07,0.0,0.0,0.0,0.0,2024-07-16
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
