County,None,D0,D1,D2,D3,D4,ValidStart
El Dorado County,94.95,5.05,0.0,0.0,0.0,0.0,2025-03-04
El Dorado County,94.95,5.05,0.0,0.0,0.0,0.0,2025-02-25
El Dorado County,94.95,5.05,0.0,0.0,0.0,0.0,2025-02-18
El Dorado County,11.83,88.17,0.0,0.0,0.0,0.0,2025-02-11
El Dorado County,11.83,88.17,0.0,0.0,0.0,0.0,2025-02-04
El Dorado County,11.83,88.17,0.0,0.0,0.0,0.0,2025-01-28
El Dorado County,11.83,88.17,0.0,0.0,0.0,0.0,2025-01-21
El Dorado County,11.83,88.17,0.0,0.0,0.0,0.0,2025-01-14
El Dorado County,11.83,88.17,0.0,0.0,0.0,0.0,2025-01-07
El Dorado County,11.83,88.17,0.0,0.0,0.0,0.0,2024-12-31
El Dorado County,11.69,88.31,0.0,0.0,0.0,0.0,2024-12-24
El Dorado County,11.69,88.31,0.0,0.0,0.0,0.0,2024-12-17
El Dorado County,11.28,88.72,0.0,0.0,0.0,0.0,2024-12-10
El Dorado County,11.28,88.72,0.0,0.0,0.0,0.0,2024-12-03
El Dorado County,11.28,88.72,0.0,0.0,0.0,0.0,2024-11-26
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
El Dorado County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
El Dorado County,20.25,79.75,0.0,0.0,0.0,0.0,2024-09-03
El Dorado County,20.25,79.75,0.0,0.0,0.0,0.0,2024-08-27
El Dorado County,19.83,80.17,0.0,0.0,0.0,0.0,2024-08-20
El Dorado County,19.56,80.44,0.0,0.0,0.0,0.0,2024-08-13
El Dorado County,19.41,80.59,0.0,0.0,0.0,0.0,2024-08-06
El Dorado County,16.74,83.26,0.0,0.0,0.0,0.0,2024-07-30
El Dorado County,16.8,83.2,0.0,0.0,0.0,0.0,2024-07-23
El Dorado County,16.8,83.2,0.0,0.0,0.0,0.0,2024-07-16
El Dorado County,15.37,84.63,0.0,0.0,0.0,0.0,2024-07-09
El Dorado County,67.93,32.07,0.0,0.0,0.0,0.0,2024-07-02
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
El Dorado County,89.48,10.52,0.0,0.0,0.0,0.0,2024-02-27
El Dorado County,89.48,10.52,0.0,0.0,0.0,0.0,2024-02-20
El Dorado County,89.48,10.52,0.0,0.0,0.0,0.0,2024-02-13
El Dorado County,89.48,10.52,0.0,0.0,0.0,0.0,2024-02-06
El Dorado County,85.91,14.09,0.0,0.0,0.0,0.0,2024-01-30
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-15
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-08
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-01
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-25
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-18
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-11
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-04
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-27
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-20
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-13
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-06
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-30
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-23
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-16
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-09
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-02
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-25
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-18
El Dorado County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-11
