County,None,D0,D1,D2,D3,D4,ValidStart
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19
Humboldt County,77.07,22.93,0.0,0.0,0.0,0.0,2024-11-12
Humboldt County,77.43,22.57,0.0,0.0,0.0,0.0,2024-11-05
Humboldt County,75.18,24.82,0.0,0.0,0.0,0.0,2024-10-29
Humboldt County,69.62,30.38,0.0,0.0,0.0,0.0,2024-10-22
Humboldt County,69.62,30.38,0.0,0.0,0.0,0.0,2024-10-15
Humboldt County,69.62,30.38,0.0,0.0,0.0,0.0,2024-10-08
Humboldt County,69.36,30.64,0.0,0.0,0.0,0.0,2024-10-01
Humboldt County,71.01,28.99,0.0,0.0,0.0,0.0,2024-09-24
Humboldt County,71.01,28.99,0.0,0.0,0.0,0.0,2024-09-17
Humboldt County,71.01,28.99,0.0,0.0,0.0,0.0,2024-09-10
Humboldt County,71.0,29.0,0.0,0.0,0.0,0.0,2024-09-03
Humboldt County,71.0,29.0,0.0,0.0,0.0,0.0,2024-08-27
Humboldt County,71.42,28.58,0.0,0.0,0.0,0.0,2024-08-20
Humboldt County,96.26,3.74,0.0,0.0,0.0,0.0,2024-08-13
Humboldt County,96.17,3.83,0.0,0.0,0.0,0.0,2024-08-06
Humboldt County,95.01,4.99,0.0,0.0,0.0,0.0,2024-07-30
Humboldt County,95.05,4.95,0.0,0.0,0.0,0.0,2024-07-23
Humboldt County,95.05,4.95,0.0,0.0,0.0,0.0,2024-07-16
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
