County,None,D0,D1,D2,D3,D4,ValidStart
Imperial County,0.0,100.0,100.0,100.0,100.0,0.0,2025-03-04
Imperial County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-25
Imperial County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-18
Imperial County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-11
Imperial County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-04
Imperial County,0.0,100.0,100.0,100.0,100.0,0.0,2025-01-28
Imperial County,0.0,100.0,100.0,100.0,100.0,0.0,2025-01-21
Imperial County,0.0,100.0,100.0,100.0,9.24,0.0,2025-01-14
Imperial County,0.0,100.0,100.0,43.59,9.24,0.0,2025-01-07
Imperial County,0.0,100.0,100.0,43.59,9.24,0.0,2024-12-31
Imperial County,0.0,100.0,94.98,43.59,7.91,0.0,2024-12-24
Imperial County,0.0,100.0,94.98,43.59,7.91,0.0,2024-12-17
Imperial County,0.0,100.0,94.98,43.59,7.91,0.0,2024-12-10
Imperial County,0.0,100.0,94.98,43.59,7.91,0.0,2024-12-03
Imperial County,0.0,100.0,94.98,43.59,7.91,0.0,2024-11-26
Imperial County,0.0,100.0,94.98,43.59,7.91,0.0,2024-11-19
Imperial County,0.0,100.0,94.98,43.59,7.91,0.0,2024-11-12
Imperial County,0.0,100.0,96.55,43.59,0.0,0.0,2024-11-05
Imperial County,0.0,100.0,96.55,43.59,0.0,0.0,2024-10-29
Imperial County,0.0,100.0,98.63,43.59,0.0,0.0,2024-10-22
Imperial County,0.0,100.0,98.63,43.59,0.0,0.0,2024-10-15
Imperial County,0.0,100.0,98.64,10.87,0.0,0.0,2024-10-08
Imperial County,0.0,100.0,38.12,0.0,0.0,0.0,2024-10-01
Imperial County,0.0,100.0,38.12,0.0,0.0,0.0,2024-09-24
Imperial County,0.0,100.0,38.12,0.0,0.0,0.0,2024-09-17
Imperial County,0.0,100.0,38.12,0.0,0.0,0.0,2024-09-10
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-03
Imperial County,0.01,99.99,0.0,0.0,0.0,0.0,2024-08-27
Imperial County,89.13,10.87,0.0,0.0,0.0,0.0,2024-08-20
Imperial County,89.27,10.73,0.0,0.0,0.0,0.0,2024-08-13
Imperial County,89.36,10.64,0.0,0.0,0.0,0.0,2024-08-06
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Imperial County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Imperial County,97.56,2.44,0.0,0.0,0.0,0.0,2023-12-19
Imperial County,97.56,2.44,0.0,0.0,0.0,0.0,2023-12-12
Imperial County,97.56,2.44,0.0,0.0,0.0,0.0,2023-12-05
Imperial County,97.56,2.44,0.0,0.0,0.0,0.0,2023-11-28
Imperial County,97.56,2.44,0.0,0.0,0.0,0.0,2023-11-21
Imperial County,97.56,2.44,0.0,0.0,0.0,0.0,2023-11-14
Imperial County,97.56,2.44,0.0,0.0,0.0,0.0,2023-11-07
Imperial County,97.59,2.41,0.0,0.0,0.0,0.0,2023-10-31
Imperial County,97.35,2.65,0.0,0.0,0.0,0.0,2023-10-24
Imperial County,97.35,2.65,0.0,0.0,0.0,0.0,2023-10-17
Imperial County,97.35,2.65,0.0,0.0,0.0,0.0,2023-10-10
Imperial County,97.42,2.58,0.0,0.0,0.0,0.0,2023-10-03
Imperial County,97.42,2.58,0.0,0.0,0.0,0.0,2023-09-26
Imperial County,97.42,2.58,0.0,0.0,0.0,0.0,2023-09-19
Imperial County,97.37,2.63,0.0,0.0,0.0,0.0,2023-09-12
Imperial County,97.37,2.63,0.0,0.0,0.0,0.0,2023-09-05
Imperial County,88.86,11.14,0.85,0.0,0.0,0.0,2023-08-29
Imperial County,88.6,11.4,1.04,0.0,0.0,0.0,2023-08-22
Imperial County,0.0,100.0,1.05,0.0,0.0,0.0,2023-08-15
Imperial County,0.0,100.0,1.07,0.0,0.0,0.0,2023-08-08
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-08-01
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-07-25
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-07-18
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-07-11
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-07-04
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-06-27
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-06-20
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-06-13
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-06-06
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-05-30
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-05-23
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-05-16
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-05-09
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-05-02
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-04-25
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-04-18
Imperial County,0.0,100.0,0.0,0.0,0.0,0.0,2023-04-11
Imperial County,0.0,100.0,47.08,0.0,0.0,0.0,2023-04-04
Imperial County,0.0,100.0,47.08,0.0,0.0,0.0,2023-03-28
Imperial County,0.0,100.0,47.08,0.0,0.0,0.0,2023-03-21
Imperial County,0.0,100.0,47.08,0.0,0.0,0.0,2023-03-14
Imperial County,0.0,100.0,47.08,0.0,0.0,0.0,2023-03-07
Imperial County,0.0,100.0,47.08,0.0,0.0,0.0,2023-02-28
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-02-21
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-02-14
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-02-07
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-01-31
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-01-24
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-01-17
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-01-10
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2023-01-03
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2022-12-27
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2022-12-20
Imperial County,0.0,100.0,52.35,0.0,0.0,0.0,2022-12-13
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-12-06
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-11-29
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-11-22
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-11-15
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-11-08
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-11-01
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-10-25
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-10-18
Imperial County,0.0,100.0,100.0,16.77,0.0,0.0,2022-10-11
Imperial County,0.0,100.0,100.0,17.18,0.0,0.0,2022-10-04
Imperial County,0.0,100.0,100.0,16.9,0.0,0.0,2022-09-27
Imperial County,0.0,100.0,100.0,17.22,0.0,0.0,2022-09-20
Imperial County,0.0,100.0,100.0,17.22,0.0,0.0,2022-09-13
Imperial County,0.0,100.0,100.0,100.0,0.0,0.0,2022-09-06
Imperial County,0.0,100.0,100.0,100.0,0.0,0.0,2022-08-30
Imperial County,0.0,100.0,100.0,100.0,42.46,0.0,2022-08-23
Imperial County,0.0,100.0,100.0,100.0,42.46,0.0,2022-08-16
Imperial County,0.0,100.0,100.0,100.0,56.09,0.0,2022-08-09
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-08-02
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-07-26
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-07-19
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-07-12
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-07-05
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-06-28
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-06-21
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-06-14
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-06-07
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-05-31
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-05-24
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-05-17
Imperial County,0.0,100.0,100.0,100.0,55.97,0.0,2022-05-10
Imperial County,0.0,100.0,100.0,100.0,0.0,0.0,2022-05-03
Imperial County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-26
Imperial County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-19
Imperial County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-12
Imperial County,0.0,100.0,100.0,92.21,0.0,0.0,2022-04-05
Imperial County,0.0,100.0,100.0,92.18,0.0,0.0,2022-03-29
Imperial County,0.0,100.0,100.0,92.18,0.0,0.0,2022-03-22
Imperial County,0.0,100.0,100.0,92.18,0.0,0.0,2022-03-15
Imperial County,0.0,100.0,100.0,92.18,0.0,0.0,2022-03-08
Imperial County,0.0,100.0,100.0,92.18,0.0,0.0,2022-03-01
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-02-22
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-02-15
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-02-08
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-02-01
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-01-25
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-01-18
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-01-11
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2022-01-04
Imperial County,0.0,100.0,100.0,0.0,0.0,0.0,2021-12-28
Imperial County,0.0,100.0,100.0,0.21,0.0,0.0,2021-12-21
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-12-14
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-12-07
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-11-30
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-11-23
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-11-16
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-11-09
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-11-02
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-10-26
Imperial County,0.0,100.0,100.0,0.19,0.0,0.0,2021-10-19
Imperial County,0.0,100.0,100.0,0.31,0.0,0.0,2021-10-12
Imperial County,0.0,100.0,100.0,0.31,0.0,0.0,2021-10-05
Imperial County,0.0,100.0,100.0,0.31,0.0,0.0,2021-09-28
Imperial County,0.0,100.0,100.0,0.31,0.0,0.0,2021-09-21
Imperial County,0.0,100.0,100.0,0.31,0.0,0.0,2021-09-14
Imperial County,0.0,100.0,100.0,0.31,0.0,0.0,2021-09-07
Imperial County,0.0,100.0,100.0,31.09,0.0,0.0,2021-08-31
Imperial County,0.0,100.0,100.0,31.45,0.0,0.0,2021-08-24
Imperial County,0.0,100.0,100.0,31.45,0.0,0.0,2021-08-17
Imperial County,0.0,100.0,100.0,31.45,0.0,0.0,2021-08-10
Imperial County,0.0,100.0,100.0,31.45,0.0,0.0,2021-08-03
Imperial County,0.0,100.0,100.0,31.72,0.0,0.0,2021-07-27
Imperial County,0.0,100.0,100.0,31.72,0.0,0.0,2021-07-20
Imperial County,0.0,100.0,100.0,31.72,0.0,0.0,2021-07-13
Imperial County,0.0,100.0,100.0,32.12,0.0,0.0,2021-07-06
