County,None,D0,D1,D2,D3,D4,ValidStart
Inyo County,0.0,100.0,66.74,44.22,17.29,0.0,2025-03-04
Inyo County,0.0,100.0,66.74,44.22,17.29,0.0,2025-02-25
Inyo County,0.0,100.0,66.74,44.22,17.29,0.0,2025-02-18
Inyo County,0.0,100.0,100.0,63.35,25.23,0.0,2025-02-11
Inyo County,0.0,100.0,100.0,63.35,25.23,0.0,2025-02-04
Inyo County,0.0,100.0,100.0,59.87,0.0,0.0,2025-01-28
Inyo County,0.0,100.0,91.24,59.87,0.0,0.0,2025-01-21
Inyo County,0.0,100.0,79.2,19.17,0.0,0.0,2025-01-14
Inyo County,0.0,100.0,79.2,5.53,0.0,0.0,2025-01-07
Inyo County,0.0,100.0,79.2,5.53,0.0,0.0,2024-12-31
Inyo County,0.0,100.0,54.32,5.53,0.0,0.0,2024-12-24
Inyo County,0.0,100.0,54.32,5.53,0.0,0.0,2024-12-17
Inyo County,0.0,100.0,54.32,5.53,0.0,0.0,2024-12-10
Inyo County,8.05,91.95,54.32,5.53,0.0,0.0,2024-12-03
Inyo County,8.05,91.95,54.32,5.53,0.0,0.0,2024-11-26
Inyo County,8.05,91.95,54.32,5.52,0.0,0.0,2024-11-19
Inyo County,7.93,92.07,54.32,5.52,0.0,0.0,2024-11-12
Inyo County,7.89,92.11,8.34,0.0,0.0,0.0,2024-11-05
Inyo County,8.15,91.85,8.33,0.0,0.0,0.0,2024-10-29
Inyo County,8.36,91.64,10.01,0.0,0.0,0.0,2024-10-22
Inyo County,8.36,91.64,10.01,0.0,0.0,0.0,2024-10-15
Inyo County,8.36,91.64,9.97,0.0,0.0,0.0,2024-10-08
Inyo County,36.52,63.48,5.16,0.0,0.0,0.0,2024-10-01
Inyo County,37.03,62.97,5.16,0.0,0.0,0.0,2024-09-24
Inyo County,37.03,62.97,5.16,0.0,0.0,0.0,2024-09-17
Inyo County,37.03,62.97,5.16,0.0,0.0,0.0,2024-09-10
Inyo County,37.04,62.96,5.16,0.0,0.0,0.0,2024-09-03
Inyo County,94.55,5.45,0.0,0.0,0.0,0.0,2024-08-27
Inyo County,98.26,1.74,0.0,0.0,0.0,0.0,2024-08-20
Inyo County,99.92,0.08,0.0,0.0,0.0,0.0,2024-08-13
Inyo County,99.91,0.09,0.0,0.0,0.0,0.0,2024-08-06
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-04-02
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-03-26
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-03-19
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-03-12
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-03-05
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-02-27
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-02-20
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-02-13
Inyo County,99.71,0.29,0.0,0.0,0.0,0.0,2024-02-06
Inyo County,96.51,3.49,0.0,0.0,0.0,0.0,2024-01-30
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
Inyo County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
Inyo County,57.36,42.64,25.45,0.0,0.0,0.0,2023-08-15
Inyo County,57.33,42.67,25.48,0.0,0.0,0.0,2023-08-08
Inyo County,56.83,43.17,25.98,0.0,0.0,0.0,2023-08-01
Inyo County,56.88,43.12,25.98,0.0,0.0,0.0,2023-07-25
Inyo County,56.88,43.12,25.98,0.0,0.0,0.0,2023-07-18
Inyo County,56.88,43.12,25.98,0.0,0.0,0.0,2023-07-11
Inyo County,49.73,50.27,18.36,0.0,0.0,0.0,2023-07-04
Inyo County,49.73,50.27,18.36,0.0,0.0,0.0,2023-06-27
Inyo County,49.73,50.27,18.36,0.0,0.0,0.0,2023-06-20
Inyo County,49.73,50.27,18.36,0.0,0.0,0.0,2023-06-13
Inyo County,49.73,50.27,18.36,0.0,0.0,0.0,2023-06-06
Inyo County,49.72,50.28,18.36,0.0,0.0,0.0,2023-05-30
Inyo County,49.74,50.26,18.36,0.0,0.0,0.0,2023-05-23
Inyo County,49.74,50.26,18.36,0.0,0.0,0.0,2023-05-16
Inyo County,49.74,50.26,18.36,0.0,0.0,0.0,2023-05-09
Inyo County,49.74,50.26,18.36,0.0,0.0,0.0,2023-05-02
Inyo County,49.74,50.26,18.36,0.0,0.0,0.0,2023-04-25
Inyo County,28.77,71.23,18.36,0.0,0.0,0.0,2023-04-18
Inyo County,28.77,71.23,18.36,0.0,0.0,0.0,2023-04-11
Inyo County,28.77,71.23,47.19,12.63,0.0,0.0,2023-04-04
Inyo County,17.8,82.2,60.85,15.51,0.0,0.0,2023-03-28
Inyo County,17.78,82.22,60.85,26.78,0.0,0.0,2023-03-21
Inyo County,17.78,82.22,60.85,26.78,0.0,0.0,2023-03-14
Inyo County,0.21,99.79,71.91,27.12,0.0,0.0,2023-03-07
Inyo County,0.18,99.82,82.33,35.79,0.0,0.0,2023-02-28
Inyo County,0.0,100.0,100.0,59.38,0.0,0.0,2023-02-21
Inyo County,0.0,100.0,100.0,59.38,0.0,0.0,2023-02-14
Inyo County,0.0,100.0,100.0,59.38,0.0,0.0,2023-02-07
Inyo County,0.0,100.0,100.0,59.52,0.0,0.0,2023-01-31
Inyo County,0.0,100.0,100.0,59.52,0.0,0.0,2023-01-24
Inyo County,0.0,100.0,100.0,59.52,0.0,0.0,2023-01-17
Inyo County,0.0,100.0,100.0,61.91,0.0,0.0,2023-01-10
Inyo County,0.0,100.0,100.0,81.75,0.0,0.0,2023-01-03
Inyo County,0.0,100.0,100.0,100.0,3.44,0.0,2022-12-27
Inyo County,0.0,100.0,100.0,100.0,3.44,0.0,2022-12-20
Inyo County,0.0,100.0,100.0,100.0,3.44,0.0,2022-12-13
Inyo County,0.0,100.0,100.0,100.0,4.13,0.0,2022-12-06
Inyo County,0.0,100.0,100.0,100.0,4.13,0.0,2022-11-29
Inyo County,0.0,100.0,100.0,100.0,4.13,0.0,2022-11-22
Inyo County,0.0,100.0,100.0,100.0,4.13,0.0,2022-11-15
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-11-08
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-11-01
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-10-25
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-10-18
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-10-11
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-10-04
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-09-27
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-09-20
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-09-13
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-09-06
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-08-30
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-08-23
Inyo County,0.0,100.0,100.0,100.0,4.13,0.03,2022-08-16
Inyo County,0.0,100.0,100.0,100.0,3.97,0.03,2022-08-09
Inyo County,0.0,100.0,100.0,100.0,77.95,0.03,2022-08-02
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-07-26
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-07-19
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-07-12
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-07-05
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-06-28
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-06-21
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-06-14
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-06-07
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-05-31
Inyo County,0.0,100.0,100.0,100.0,77.95,1.48,2022-05-24
Inyo County,0.0,100.0,100.0,100.0,77.95,0.0,2022-05-17
Inyo County,0.0,100.0,100.0,100.0,77.95,0.0,2022-05-10
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-05-03
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-04-26
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-04-19
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-04-12
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-04-05
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-03-29
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-03-22
Inyo County,0.0,100.0,100.0,100.0,19.56,0.0,2022-03-15
Inyo County,0.0,100.0,100.0,100.0,19.35,0.0,2022-03-08
Inyo County,0.0,100.0,100.0,100.0,19.35,0.0,2022-03-01
Inyo County,0.0,100.0,100.0,95.39,0.0,0.0,2022-02-22
Inyo County,0.0,100.0,100.0,95.39,0.0,0.0,2022-02-15
Inyo County,0.0,100.0,100.0,95.39,0.0,0.0,2022-02-08
Inyo County,0.0,100.0,100.0,95.39,0.0,0.0,2022-02-01
Inyo County,0.0,100.0,100.0,95.39,0.0,0.0,2022-01-25
Inyo County,0.0,100.0,100.0,95.39,0.0,0.0,2022-01-18
Inyo County,0.0,100.0,100.0,95.39,0.0,0.0,2022-01-11
Inyo County,0.0,100.0,100.0,94.8,0.0,0.0,2022-01-04
Inyo County,0.0,100.0,100.0,100.0,69.64,0.0,2021-12-28
Inyo County,0.0,100.0,100.0,100.0,100.0,69.92,2021-12-21
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-12-14
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-12-07
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-11-30
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-11-23
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-11-16
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-11-09
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-11-02
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-10-26
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-10-19
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-10-12
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-10-05
Inyo County,0.0,100.0,100.0,100.0,100.0,72.67,2021-09-28
