County,None,D0,D1,D2,D3,D4,ValidStart
Los Angeles County,0.0,100.0,100.0,87.67,9.96,0.0,2025-03-04
Los Angeles County,0.0,100.0,100.0,87.67,9.96,0.0,2025-02-25
Los Angeles County,0.0,100.0,100.0,87.67,9.96,0.0,2025-02-18
Los Angeles County,0.0,100.0,100.0,100.0,65.08,0.0,2025-02-11
Los Angeles County,0.0,100.0,100.0,100.0,65.08,0.0,2025-02-04
Los Angeles County,0.0,100.0,100.0,100.0,36.56,0.0,2025-01-28
Los Angeles County,0.0,100.0,100.0,100.0,36.71,0.0,2025-01-21
Los Angeles County,0.0,100.0,100.0,90.46,0.0,0.0,2025-01-14
Los Angeles County,0.0,100.0,100.0,59.57,0.0,0.0,2025-01-07
Los Angeles County,0.0,100.0,83.88,0.0,0.0,0.0,2024-12-31
Los Angeles County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Los Angeles County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Los Angeles County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-12
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-05
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-29
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-22
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-15
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-08
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-01
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-24
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-17
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-10
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
