County,None,D0,D1,D2,D3,D4,ValidStart
Madera County,0.19,99.81,42.07,0.0,0.0,0.0,2025-03-04
Madera County,0.19,99.81,42.07,0.0,0.0,0.0,2025-02-25
Madera County,0.19,99.81,42.07,0.0,0.0,0.0,2025-02-18
Madera County,0.0,100.0,99.81,0.0,0.0,0.0,2025-02-11
Madera County,0.0,100.0,99.81,0.0,0.0,0.0,2025-02-04
Madera County,0.0,100.0,99.81,0.0,0.0,0.0,2025-01-28
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-21
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-14
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-07
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-31
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-03
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-26
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Madera County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Madera County,84.85,15.15,0.0,0.0,0.0,0.0,2024-09-03
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Madera County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
