County,None,D0,D1,D2,D3,D4,ValidStart
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Marin County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Marin County,99.58,0.42,0.0,0.0,0.0,0.0,2024-09-03
Marin County,99.58,0.42,0.0,0.0,0.0,0.0,2024-08-27
Marin County,98.59,1.41,0.0,0.0,0.0,0.0,2024-08-20
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Marin County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
