County,None,D0,D1,D2,D3,D4,ValidStart
Merced County,0.83,99.17,69.59,0.0,0.0,0.0,2025-03-04
Merced County,0.83,99.17,69.59,0.0,0.0,0.0,2025-02-25
Merced County,0.83,99.17,69.59,0.0,0.0,0.0,2025-02-18
Merced County,0.0,100.0,59.67,0.0,0.0,0.0,2025-02-11
Merced County,0.0,100.0,59.67,0.0,0.0,0.0,2025-02-04
Merced County,0.0,100.0,59.67,0.0,0.0,0.0,2025-01-28
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-21
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-14
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-07
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-31
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-03
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-26
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Merced County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-15
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-08
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-01
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-25
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-18
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-11
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-04
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-27
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-20
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-13
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-06
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-30
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-23
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-16
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-09
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-02
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-25
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-18
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-11
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-04
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-28
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-21
Merced County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-14
Merced County,87.63,12.37,0.0,0.0,0.0,0.0,2023-03-07
Merced County,11.65,88.35,0.0,0.0,0.0,0.0,2023-02-28
Merced County,0.0,100.0,100.0,0.0,0.0,0.0,2023-02-21
Merced County,0.0,100.0,100.0,0.0,0.0,0.0,2023-02-14
Merced County,0.0,100.0,100.0,0.0,0.0,0.0,2023-02-07
Merced County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-31
Merced County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-24
Merced County,0.0,100.0,100.0,98.66,0.0,0.0,2023-01-17
