County,None,D0,D1,D2,D3,D4,ValidStart
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Modoc County,99.67,0.33,0.0,0.0,0.0,0.0,2024-11-26
Modoc County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Modoc County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Modoc County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Modoc County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-10-22
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-10-15
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-10-08
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-10-01
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-09-24
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-09-17
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-09-10
Modoc County,0.0,100.0,29.45,0.0,0.0,0.0,2024-09-03
Modoc County,0.0,100.0,100.0,0.0,0.0,0.0,2024-08-27
Modoc County,0.0,100.0,100.0,0.0,0.0,0.0,2024-08-20
Modoc County,0.0,100.0,97.6,0.0,0.0,0.0,2024-08-13
Modoc County,0.0,100.0,97.6,0.0,0.0,0.0,2024-08-06
Modoc County,0.0,100.0,84.98,0.0,0.0,0.0,2024-07-30
Modoc County,0.0,100.0,84.98,0.0,0.0,0.0,2024-07-23
Modoc County,0.0,100.0,20.7,0.0,0.0,0.0,2024-07-16
Modoc County,0.0,100.0,0.0,0.0,0.0,0.0,2024-07-09
Modoc County,78.49,21.51,0.0,0.0,0.0,0.0,2024-07-02
Modoc County,78.69,21.31,0.0,0.0,0.0,0.0,2024-06-25
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Modoc County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
