County,None,D0,D1,D2,D3,D4,ValidStart
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Nevada County,90.13,9.87,0.0,0.0,0.0,0.0,2025-02-11
Nevada County,90.13,9.87,0.0,0.0,0.0,0.0,2025-02-04
Nevada County,90.13,9.87,0.0,0.0,0.0,0.0,2025-01-28
Nevada County,90.13,9.87,0.0,0.0,0.0,0.0,2025-01-21
Nevada County,90.13,9.87,0.0,0.0,0.0,0.0,2025-01-14
Nevada County,90.13,9.87,0.0,0.0,0.0,0.0,2025-01-07
Nevada County,90.13,9.87,0.0,0.0,0.0,0.0,2024-12-31
Nevada County,90.03,9.97,0.0,0.0,0.0,0.0,2024-12-24
Nevada County,90.03,9.97,0.0,0.0,0.0,0.0,2024-12-17
Nevada County,89.75,10.25,0.0,0.0,0.0,0.0,2024-12-10
Nevada County,89.75,10.25,0.0,0.0,0.0,0.0,2024-12-03
Nevada County,89.75,10.25,0.0,0.0,0.0,0.0,2024-11-26
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Nevada County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Nevada County,5.68,94.32,0.0,0.0,0.0,0.0,2024-09-03
Nevada County,5.68,94.32,0.0,0.0,0.0,0.0,2024-08-27
Nevada County,5.03,94.97,0.0,0.0,0.0,0.0,2024-08-20
Nevada County,16.86,83.14,0.0,0.0,0.0,0.0,2024-08-13
Nevada County,16.9,83.1,0.0,0.0,0.0,0.0,2024-08-06
Nevada County,13.51,86.49,0.0,0.0,0.0,0.0,2024-07-30
Nevada County,13.54,86.46,0.0,0.0,0.0,0.0,2024-07-23
Nevada County,13.54,86.46,0.0,0.0,0.0,0.0,2024-07-16
Nevada County,11.73,88.27,0.0,0.0,0.0,0.0,2024-07-09
Nevada County,79.27,20.73,0.0,0.0,0.0,0.0,2024-07-02
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Nevada County,86.5,13.5,0.0,0.0,0.0,0.0,2024-02-27
Nevada County,86.5,13.5,0.0,0.0,0.0,0.0,2024-02-20
Nevada County,86.5,13.5,0.0,0.0,0.0,0.0,2024-02-13
Nevada County,86.5,13.5,0.0,0.0,0.0,0.0,2024-02-06
Nevada County,74.82,25.18,0.0,0.0,0.0,0.0,2024-01-30
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-15
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-08
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-01
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-25
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-18
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-11
Nevada County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-04
