County,None,D0,D1,D2,D3,D4,ValidStart
Orange County,0.0,100.0,100.0,100.0,63.49,0.0,2025-03-04
Orange County,0.0,100.0,100.0,100.0,63.49,0.0,2025-02-25
Orange County,0.0,100.0,100.0,100.0,63.49,0.0,2025-02-18
Orange County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-11
Orange County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-04
Orange County,0.0,100.0,100.0,100.0,17.42,0.0,2025-01-28
Orange County,0.0,100.0,100.0,100.0,16.91,0.0,2025-01-21
Orange County,0.0,100.0,100.0,100.0,0.0,0.0,2025-01-14
Orange County,0.0,100.0,100.0,100.0,0.0,0.0,2025-01-07
Orange County,0.0,100.0,100.0,0.0,0.0,0.0,2024-12-31
Orange County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Orange County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Orange County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-12
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-05
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-29
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-22
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-15
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-08
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-01
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-24
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-17
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-10
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Orange County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
