County,None,D0,D1,D2,D3,D4,ValidStart
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-03
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-27
Plumas County,0.0,100.0,0.0,0.0,0.0,0.0,2024-08-20
Plumas County,7.13,92.87,0.0,0.0,0.0,0.0,2024-08-13
Plumas County,7.15,92.85,0.0,0.0,0.0,0.0,2024-08-06
Plumas County,5.19,94.81,0.0,0.0,0.0,0.0,2024-07-30
Plumas County,5.2,94.8,0.0,0.0,0.0,0.0,2024-07-23
Plumas County,5.2,94.8,0.0,0.0,0.0,0.0,2024-07-16
Plumas County,4.16,95.84,0.0,0.0,0.0,0.0,2024-07-09
Plumas County,97.35,2.65,0.0,0.0,0.0,0.0,2024-07-02
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Plumas County,52.18,47.82,0.0,0.0,0.0,0.0,2024-02-27
Plumas County,52.18,47.82,0.0,0.0,0.0,0.0,2024-02-20
Plumas County,52.18,47.82,0.0,0.0,0.0,0.0,2024-02-13
Plumas County,52.18,47.82,0.0,0.0,0.0,0.0,2024-02-06
Plumas County,42.41,57.59,0.0,0.0,0.0,0.0,2024-01-30
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-15
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-08
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-01
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-25
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-18
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-11
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-04
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-27
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-20
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-13
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-06
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-30
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-23
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-16
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-09
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-02
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-25
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-18
Plumas County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-11
Plumas County,71.08,28.92,0.0,0.0,0.0,0.0,2023-04-04
Plumas County,71.06,28.94,0.0,0.0,0.0,0.0,2023-03-28
Plumas County,48.61,51.39,0.06,0.0,0.0,0.0,2023-03-21
Plumas County,41.67,58.33,0.06,0.0,0.0,0.0,2023-03-14
Plumas County,0.5,99.5,37.72,0.0,0.0,0.0,2023-03-07
Plumas County,0.5,99.5,37.72,0.0,0.0,0.0,2023-02-28
Plumas County,0.0,100.0,100.0,0.0,0.0,0.0,2023-02-21
Plumas County,0.0,100.0,100.0,0.0,0.0,0.0,2023-02-14
Plumas County,0.0,100.0,100.0,0.0,0.0,0.0,2023-02-07
Plumas County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-31
Plumas County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-24
Plumas County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-17
Plumas County,0.0,100.0,100.0,0.0,0.0,0.0,2023-01-10
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2023-01-03
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-12-27
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-12-20
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-12-13
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-12-06
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-11-29
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-11-22
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-11-15
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-11-08
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-11-01
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-10-25
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-10-18
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-10-11
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-10-04
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-09-27
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-09-20
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-09-13
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-09-06
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-08-30
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-08-23
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-08-16
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-08-09
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-08-02
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-07-26
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-07-19
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-07-12
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-07-05
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-06-28
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-06-21
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-06-14
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-06-07
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-05-31
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-05-24
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-05-17
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-05-10
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-05-03
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-26
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-19
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-12
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-04-05
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-29
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-22
Plumas County,0.0,100.0,100.0,100.0,0.0,0.0,2022-03-15
