County,None,D0,D1,D2,D3,D4,ValidStart
Riverside County,0.0,100.0,100.0,98.02,76.06,4.31,2025-03-04
Riverside County,0.0,100.0,100.0,98.02,76.06,0.0,2025-02-25
Riverside County,0.0,100.0,100.0,98.02,76.06,0.0,2025-02-18
Riverside County,0.0,100.0,100.0,100.0,92.31,0.0,2025-02-11
Riverside County,0.0,100.0,100.0,100.0,92.31,0.0,2025-02-04
Riverside County,0.0,100.0,100.0,100.0,78.33,0.0,2025-01-28
Riverside County,0.0,100.0,100.0,100.0,78.67,0.0,2025-01-21
Riverside County,0.0,100.0,100.0,100.0,5.32,0.0,2025-01-14
Riverside County,0.0,100.0,100.0,47.29,5.32,0.0,2025-01-07
Riverside County,0.0,100.0,100.0,28.93,5.32,0.0,2024-12-31
Riverside County,0.0,100.0,54.09,28.93,5.32,0.0,2024-12-24
Riverside County,0.0,100.0,54.09,28.93,5.32,0.0,2024-12-17
Riverside County,0.0,100.0,54.09,28.93,5.32,0.0,2024-12-10
Riverside County,23.39,76.61,54.09,28.93,5.32,0.0,2024-12-03
Riverside County,23.39,76.61,54.09,28.93,5.32,0.0,2024-11-26
Riverside County,23.42,76.58,54.09,28.43,5.32,0.0,2024-11-19
Riverside County,23.18,76.82,54.09,28.43,5.32,0.0,2024-11-12
Riverside County,23.24,76.76,54.49,28.43,0.0,0.0,2024-11-05
Riverside County,23.28,76.72,54.49,28.43,0.0,0.0,2024-10-29
Riverside County,23.28,76.72,55.9,28.43,0.0,0.0,2024-10-22
Riverside County,23.28,76.72,55.9,28.43,0.0,0.0,2024-10-15
Riverside County,23.28,76.72,55.91,10.54,0.0,0.0,2024-10-08
Riverside County,23.15,76.85,41.08,0.0,0.0,0.0,2024-10-01
Riverside County,23.33,76.67,41.08,0.0,0.0,0.0,2024-09-24
Riverside County,23.33,76.67,41.08,0.0,0.0,0.0,2024-09-17
Riverside County,23.33,76.67,41.08,0.0,0.0,0.0,2024-09-10
Riverside County,23.33,76.67,14.62,0.0,0.0,0.0,2024-09-03
Riverside County,46.13,53.87,0.0,0.0,0.0,0.0,2024-08-27
Riverside County,87.53,12.47,0.0,0.0,0.0,0.0,2024-08-20
Riverside County,87.48,12.52,0.0,0.0,0.0,0.0,2024-08-13
Riverside County,87.46,12.54,0.0,0.0,0.0,0.0,2024-08-06
Riverside County,92.61,7.39,0.0,0.0,0.0,0.0,2024-07-30
Riverside County,92.63,7.37,0.0,0.0,0.0,0.0,2024-07-23
Riverside County,92.63,7.37,0.0,0.0,0.0,0.0,2024-07-16
Riverside County,92.34,7.66,0.0,0.0,0.0,0.0,2024-07-09
Riverside County,92.35,7.65,0.0,0.0,0.0,0.0,2024-07-02
Riverside County,92.35,7.65,0.0,0.0,0.0,0.0,2024-06-25
Riverside County,92.35,7.65,0.0,0.0,0.0,0.0,2024-06-18
Riverside County,92.35,7.65,0.0,0.0,0.0,0.0,2024-06-11
Riverside County,92.38,7.62,0.0,0.0,0.0,0.0,2024-06-04
Riverside County,92.36,7.64,0.0,0.0,0.0,0.0,2024-05-28
Riverside County,92.36,7.64,0.0,0.0,0.0,0.0,2024-05-21
Riverside County,92.36,7.64,0.0,0.0,0.0,0.0,2024-05-14
Riverside County,92.44,7.56,0.0,0.0,0.0,0.0,2024-05-07
Riverside County,92.44,7.56,0.0,0.0,0.0,0.0,2024-04-30
Riverside County,92.44,7.56,0.0,0.0,0.0,0.0,2024-04-23
Riverside County,92.41,7.59,0.0,0.0,0.0,0.0,2024-04-16
Riverside County,92.41,7.59,0.0,0.0,0.0,0.0,2024-04-09
Riverside County,92.41,7.59,0.0,0.0,0.0,0.0,2024-04-02
Riverside County,92.41,7.59,0.0,0.0,0.0,0.0,2024-03-26
Riverside County,92.41,7.59,0.0,0.0,0.0,0.0,2024-03-19
Riverside County,92.41,7.59,0.0,0.0,0.0,0.0,2024-03-12
Riverside County,92.41,7.59,0.0,0.0,0.0,0.0,2024-03-05
Riverside County,92.31,7.69,0.0,0.0,0.0,0.0,2024-02-27
Riverside County,92.31,7.69,0.0,0.0,0.0,0.0,2024-02-20
Riverside County,88.97,11.03,0.0,0.0,0.0,0.0,2024-02-13
Riverside County,88.72,11.28,0.0,0.0,0.0,0.0,2024-02-06
Riverside County,88.72,11.28,0.0,0.0,0.0,0.0,2024-01-30
Riverside County,88.72,11.28,0.0,0.0,0.0,0.0,2024-01-23
Riverside County,88.63,11.37,0.0,0.0,0.0,0.0,2024-01-16
Riverside County,88.63,11.37,0.0,0.0,0.0,0.0,2024-01-09
Riverside County,88.63,11.37,0.0,0.0,0.0,0.0,2024-01-02
Riverside County,88.63,11.37,0.0,0.0,0.0,0.0,2023-12-26
Riverside County,83.12,16.88,0.0,0.0,0.0,0.0,2023-12-19
Riverside County,83.12,16.88,0.0,0.0,0.0,0.0,2023-12-12
Riverside County,83.12,16.88,0.0,0.0,0.0,0.0,2023-12-05
Riverside County,83.12,16.88,0.0,0.0,0.0,0.0,2023-11-28
Riverside County,83.12,16.88,0.0,0.0,0.0,0.0,2023-11-21
Riverside County,83.12,16.88,0.0,0.0,0.0,0.0,2023-11-14
Riverside County,83.12,16.88,0.0,0.0,0.0,0.0,2023-11-07
Riverside County,83.13,16.87,0.0,0.0,0.0,0.0,2023-10-31
Riverside County,82.76,17.24,0.0,0.0,0.0,0.0,2023-10-24
Riverside County,82.76,17.24,0.0,0.0,0.0,0.0,2023-10-17
Riverside County,82.76,17.24,0.0,0.0,0.0,0.0,2023-10-10
Riverside County,82.84,17.16,0.0,0.0,0.0,0.0,2023-10-03
Riverside County,82.84,17.16,0.0,0.0,0.0,0.0,2023-09-26
Riverside County,82.84,17.16,0.0,0.0,0.0,0.0,2023-09-19
Riverside County,82.81,17.19,0.0,0.0,0.0,0.0,2023-09-12
Riverside County,82.81,17.19,0.0,0.0,0.0,0.0,2023-09-05
Riverside County,82.99,17.01,11.31,0.0,0.0,0.0,2023-08-29
Riverside County,82.83,17.17,11.72,0.0,0.0,0.0,2023-08-22
Riverside County,27.97,72.03,18.98,0.0,0.0,0.0,2023-08-15
Riverside County,27.97,72.03,18.97,0.0,0.0,0.0,2023-08-08
Riverside County,27.6,72.4,10.39,0.0,0.0,0.0,2023-08-01
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-07-25
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-07-18
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-07-11
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-07-04
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-06-27
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-06-20
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-06-13
Riverside County,27.54,72.46,10.39,0.0,0.0,0.0,2023-06-06
Riverside County,27.55,72.45,10.39,0.0,0.0,0.0,2023-05-30
Riverside County,27.51,72.49,10.39,0.0,0.0,0.0,2023-05-23
Riverside County,27.51,72.49,10.39,0.0,0.0,0.0,2023-05-16
Riverside County,27.51,72.49,10.39,0.0,0.0,0.0,2023-05-09
Riverside County,27.51,72.49,10.39,0.0,0.0,0.0,2023-05-02
Riverside County,27.51,72.49,10.39,0.0,0.0,0.0,2023-04-25
Riverside County,27.51,72.49,10.39,0.0,0.0,0.0,2023-04-18
Riverside County,27.51,72.49,10.39,0.0,0.0,0.0,2023-04-11
Riverside County,22.69,77.31,41.71,0.0,0.0,0.0,2023-04-04
Riverside County,22.69,77.31,41.71,0.0,0.0,0.0,2023-03-28
Riverside County,14.18,85.82,41.71,0.0,0.0,0.0,2023-03-21
Riverside County,0.0,100.0,41.71,0.0,0.0,0.0,2023-03-14
Riverside County,0.0,100.0,41.71,0.0,0.0,0.0,2023-03-07
Riverside County,0.0,100.0,49.06,0.0,0.0,0.0,2023-02-28
Riverside County,0.0,100.0,96.01,11.22,0.0,0.0,2023-02-21
Riverside County,0.0,100.0,96.01,11.22,0.0,0.0,2023-02-14
Riverside County,0.0,100.0,96.01,11.22,0.0,0.0,2023-02-07
Riverside County,0.0,100.0,96.01,11.1,0.0,0.0,2023-01-31
Riverside County,0.0,100.0,96.01,11.1,0.0,0.0,2023-01-24
Riverside County,0.0,100.0,96.01,11.1,0.0,0.0,2023-01-17
Riverside County,0.0,100.0,96.01,11.1,0.0,0.0,2023-01-10
Riverside County,0.0,100.0,96.01,11.18,0.0,0.0,2023-01-03
Riverside County,0.0,100.0,96.01,11.18,0.0,0.0,2022-12-27
Riverside County,0.0,100.0,96.01,11.18,0.0,0.0,2022-12-20
Riverside County,0.0,100.0,96.01,11.18,0.0,0.0,2022-12-13
Riverside County,0.0,100.0,100.0,28.6,0.0,0.0,2022-12-06
Riverside County,0.0,100.0,100.0,28.6,0.0,0.0,2022-11-29
Riverside County,0.0,100.0,100.0,28.6,0.0,0.0,2022-11-22
Riverside County,0.0,100.0,100.0,28.6,0.0,0.0,2022-11-15
Riverside County,0.0,100.0,100.0,56.58,0.0,0.0,2022-11-08
Riverside County,0.0,100.0,100.0,56.58,0.0,0.0,2022-11-01
Riverside County,0.0,100.0,100.0,56.58,0.0,0.0,2022-10-25
Riverside County,0.0,100.0,100.0,56.58,0.0,0.0,2022-10-18
Riverside County,0.0,100.0,100.0,89.04,0.0,0.0,2022-10-11
Riverside County,0.0,100.0,100.0,89.14,0.0,0.0,2022-10-04
Riverside County,0.0,100.0,100.0,89.33,0.0,0.0,2022-09-27
Riverside County,0.0,100.0,100.0,89.97,0.0,0.0,2022-09-20
Riverside County,0.0,100.0,100.0,89.97,0.0,0.0,2022-09-13
Riverside County,0.0,100.0,100.0,99.96,0.0,0.0,2022-09-06
