County,None,D0,D1,D2,D3,D4,ValidStart
San Benito County,69.49,30.51,0.0,0.0,0.0,0.0,2025-03-04
San Benito County,69.49,30.51,0.0,0.0,0.0,0.0,2025-02-25
San Benito County,69.49,30.51,0.0,0.0,0.0,0.0,2025-02-18
San Benito County,0.0,100.0,30.28,0.0,0.0,0.0,2025-02-11
San Benito County,0.0,100.0,30.28,0.0,0.0,0.0,2025-02-04
San Benito County,0.0,100.0,30.28,0.0,0.0,0.0,2025-01-28
San Benito County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-21
San Benito County,0.43,99.57,0.0,0.0,0.0,0.0,2025-01-14
San Benito County,0.43,99.57,0.0,0.0,0.0,0.0,2025-01-07
San Benito County,0.43,99.57,0.0,0.0,0.0,0.0,2024-12-31
San Benito County,0.42,99.58,0.0,0.0,0.0,0.0,2024-12-24
San Benito County,0.42,99.58,0.0,0.0,0.0,0.0,2024-12-17
San Benito County,0.41,99.59,0.0,0.0,0.0,0.0,2024-12-10
San Benito County,0.41,99.59,0.0,0.0,0.0,0.0,2024-12-03
San Benito County,0.41,99.59,0.0,0.0,0.0,0.0,2024-11-26
San Benito County,0.01,99.99,0.0,0.0,0.0,0.0,2024-11-19
San Benito County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
San Benito County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
San Benito County,0.03,99.97,0.0,0.0,0.0,0.0,2024-10-29
San Benito County,0.08,99.92,0.0,0.0,0.0,0.0,2024-10-22
San Benito County,0.08,99.92,0.0,0.0,0.0,0.0,2024-10-15
San Benito County,0.08,99.92,0.0,0.0,0.0,0.0,2024-10-08
San Benito County,0.1,99.9,0.0,0.0,0.0,0.0,2024-10-01
San Benito County,0.25,99.75,0.0,0.0,0.0,0.0,2024-09-24
San Benito County,0.25,99.75,0.0,0.0,0.0,0.0,2024-09-17
San Benito County,0.25,99.75,0.0,0.0,0.0,0.0,2024-09-10
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-05
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-29
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-22
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-15
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-08
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-08-01
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-25
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-18
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-11
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-07-04
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-27
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-20
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-13
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-06-06
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-30
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-23
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-16
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-09
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-05-02
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-25
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-18
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-11
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-04-04
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-28
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-21
San Benito County,100.0,0.0,0.0,0.0,0.0,0.0,2023-03-14
San Benito County,83.84,16.16,0.0,0.0,0.0,0.0,2023-03-07
San Benito County,1.55,98.45,0.0,0.0,0.0,0.0,2023-02-28
San Benito County,0.0,100.0,95.78,0.0,0.0,0.0,2023-02-21
San Benito County,0.0,100.0,95.78,0.0,0.0,0.0,2023-02-14
San Benito County,0.0,100.0,95.78,0.0,0.0,0.0,2023-02-07
San Benito County,0.0,100.0,95.78,0.0,0.0,0.0,2023-01-31
San Benito County,0.0,100.0,95.78,0.0,0.0,0.0,2023-01-24
San Benito County,0.0,100.0,100.0,60.66,0.0,0.0,2023-01-17
San Benito County,0.0,100.0,100.0,60.66,0.0,0.0,2023-01-10
San Benito County,0.0,100.0,100.0,100.0,59.46,0.0,2023-01-03
San Benito County,0.0,100.0,100.0,100.0,59.46,0.0,2022-12-27
San Benito County,0.0,100.0,100.0,100.0,59.46,0.0,2022-12-20
San Benito County,0.0,100.0,100.0,100.0,59.46,0.0,2022-12-13
San Benito County,0.0,100.0,100.0,100.0,59.46,5.62,2022-12-06
San Benito County,0.0,100.0,100.0,100.0,59.46,5.62,2022-11-29
San Benito County,0.0,100.0,100.0,100.0,59.46,5.62,2022-11-22
San Benito County,0.0,100.0,100.0,100.0,59.46,5.62,2022-11-15
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-11-08
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-11-01
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-10-25
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-10-18
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-10-11
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-10-04
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-09-27
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-09-20
San Benito County,0.0,100.0,100.0,100.0,59.52,40.77,2022-09-13
San Benito County,0.0,100.0,100.0,100.0,59.46,40.77,2022-09-06
San Benito County,0.0,100.0,100.0,100.0,59.46,40.77,2022-08-30
San Benito County,0.0,100.0,100.0,100.0,59.46,40.77,2022-08-23
San Benito County,0.0,100.0,100.0,100.0,59.46,40.77,2022-08-16
San Benito County,0.0,100.0,100.0,100.0,59.46,39.22,2022-08-09
San Benito County,0.0,100.0,100.0,100.0,59.95,39.22,2022-08-02
San Benito County,0.0,100.0,100.0,100.0,59.95,39.22,2022-07-26
San Benito County,0.0,100.0,100.0,100.0,59.95,39.22,2022-07-19
San Benito County,0.0,100.0,100.0,100.0,59.95,39.22,2022-07-12
San Benito County,0.0,100.0,100.0,100.0,59.95,38.8,2022-07-05
San Benito County,0.0,100.0,100.0,100.0,59.95,38.8,2022-06-28
San Benito County,0.0,100.0,100.0,100.0,59.95,38.8,2022-06-21
San Benito County,0.0,100.0,100.0,100.0,59.95,38.8,2022-06-14
San Benito County,0.0,100.0,100.0,100.0,59.95,38.8,2022-06-07
San Benito County,0.0,100.0,100.0,100.0,59.95,38.8,2022-05-31
San Benito County,0.0,100.0,100.0,100.0,59.95,38.8,2022-05-24
San Benito County,0.0,100.0,100.0,100.0,59.95,0.0,2022-05-17
San Benito County,0.0,100.0,100.0,100.0,59.95,0.0,2022-05-10
San Benito County,0.0,100.0,100.0,100.0,59.7,0.0,2022-05-03
San Benito County,0.0,100.0,100.0,100.0,59.7,0.0,2022-04-26
San Benito County,0.0,100.0,100.0,100.0,59.7,0.0,2022-04-19
San Benito County,0.0,100.0,100.0,100.0,59.7,0.0,2022-04-12
San Benito County,0.0,100.0,100.0,100.0,13.54,0.0,2022-04-05
San Benito County,0.0,100.0,100.0,100.0,13.54,0.0,2022-03-29
San Benito County,0.0,100.0,100.0,100.0,13.54,0.0,2022-03-22
San Benito County,0.0,100.0,100.0,100.0,13.54,0.0,2022-03-15
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-03-08
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-03-01
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-02-22
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-02-15
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-02-08
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-02-01
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-01-25
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-01-18
San Benito County,0.0,100.0,100.0,99.46,0.0,0.0,2022-01-11
San Benito County,0.0,100.0,100.0,99.4,0.0,0.0,2022-01-04
San Benito County,0.0,100.0,100.0,100.0,5.23,0.0,2021-12-28
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-12-21
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-12-14
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-12-07
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-11-30
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-11-23
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-11-16
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-11-09
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-11-02
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-10-26
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-10-19
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-10-12
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-10-05
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-09-28
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-09-21
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-09-14
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-09-07
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-08-31
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-08-24
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-08-17
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-08-10
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-08-03
San Benito County,0.0,100.0,100.0,100.0,100.0,5.57,2021-07-27
San Benito County,0.0,100.0,100.0,100.0,100.0,0.0,2021-07-20
San Benito County,0.0,100.0,100.0,100.0,100.0,0.0,2021-07-13
San Benito County,0.0,100.0,100.0,100.0,100.0,0.0,2021-07-06
San Benito County,0.0,100.0,100.0,100.0,100.0,0.0,2021-06-29
San Benito County,0.0,100.0,100.0,100.0,100.0,0.0,2021-06-22
San Benito County,0.0,100.0,100.0,100.0,100.0,0.0,2021-06-15
San Benito County,0.0,100.0,100.0,100.0,100.0,0.0,2021-06-08
San Benito County,0.0,100.0,100.0,100.0,19.14,0.0,2021-06-01
San Benito County,0.0,100.0,100.0,100.0,19.14,0.0,2021-05-25
San Benito County,0.0,100.0,100.0,100.0,18.13,0.0,2021-05-18
San Benito County,0.0,100.0,100.0,100.0,18.13,0.0,2021-05-11
San Benito County,0.0,100.0,100.0,100.0,18.13,0.0,2021-05-04
San Benito County,0.0,100.0,100.0,18.65,0.0,0.0,2021-04-27
San Benito County,0.0,100.0,100.0,18.65,0.0,0.0,2021-04-20
San Benito County,0.0,100.0,100.0,0.0,0.0,0.0,2021-04-13
San Benito County,0.0,100.0,72.22,0.0,0.0,0.0,2021-04-06
San Benito County,0.0,100.0,24.51,0.0,0.0,0.0,2021-03-30
San Benito County,0.0,100.0,24.51,0.0,0.0,0.0,2021-03-23
San Benito County,0.0,100.0,22.52,0.0,0.0,0.0,2021-03-16
San Benito County,0.0,100.0,26.83,0.0,0.0,0.0,2021-03-09
San Benito County,0.0,100.0,26.83,0.0,0.0,0.0,2021-03-02
San Benito County,0.0,100.0,26.83,0.0,0.0,0.0,2021-02-23
San Benito County,0.0,100.0,26.83,0.0,0.0,0.0,2021-02-16
San Benito County,0.0,100.0,26.83,0.0,0.0,0.0,2021-02-09
San Benito County,0.0,100.0,26.83,0.0,0.0,0.0,2021-02-02
San Benito County,0.0,100.0,100.0,1.57,0.0,0.0,2021-01-26
San Benito County,0.0,100.0,100.0,1.57,0.0,0.0,2021-01-19
San Benito County,0.0,100.0,100.0,1.85,0.0,0.0,2021-01-12
San Benito County,0.0,100.0,100.0,0.0,0.0,0.0,2021-01-05
San Benito County,0.0,100.0,100.0,0.0,0.0,0.0,2020-12-29
San Benito County,0.0,100.0,100.0,0.0,0.0,0.0,2020-12-22
San Benito County,0.0,100.0,100.0,0.0,0.0,0.0,2020-12-15
San Benito County,0.0,100.0,100.0,0.0,0.0,0.0,2020-12-08
San Benito County,0.0,100.0,27.96,0.0,0.0,0.0,2020-12-01
San Benito County,0.0,100.0,27.96,0.0,0.0,0.0,2020-11-24
San Benito County,0.86,99.14,0.51,0.0,0.0,0.0,2020-11-17
San Benito County,0.48,99.52,0.51,0.0,0.0,0.0,2020-11-10
San Benito County,0.48,99.52,0.51,0.0,0.0,0.0,2020-11-03
