County,None,D0,D1,D2,D3,D4,ValidStart
San Diego County,0.0,100.0,100.0,100.0,100.0,0.0,2025-03-04
San Diego County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-25
San Diego County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-18
San Diego County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-11
San Diego County,0.0,100.0,100.0,100.0,100.0,0.0,2025-02-04
San Diego County,0.0,100.0,100.0,100.0,85.79,0.0,2025-01-28
San Diego County,0.0,100.0,100.0,100.0,85.8,0.0,2025-01-21
San Diego County,0.0,100.0,100.0,100.0,0.0,0.0,2025-01-14
San Diego County,0.0,100.0,100.0,62.34,0.0,0.0,2025-01-07
San Diego County,0.0,100.0,100.0,0.0,0.0,0.0,2024-12-31
San Diego County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
San Diego County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
San Diego County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
San Diego County,62.08,37.92,0.0,0.0,0.0,0.0,2024-12-03
San Diego County,62.08,37.92,0.0,0.0,0.0,0.0,2024-11-26
San Diego County,62.15,37.85,0.0,0.0,0.0,0.0,2024-11-19
San Diego County,61.57,38.43,0.0,0.0,0.0,0.0,2024-11-12
San Diego County,61.7,38.3,0.03,0.0,0.0,0.0,2024-11-05
San Diego County,61.85,38.15,0.03,0.0,0.0,0.0,2024-10-29
San Diego County,61.87,38.13,1.05,0.0,0.0,0.0,2024-10-22
San Diego County,61.87,38.13,1.05,0.0,0.0,0.0,2024-10-15
San Diego County,61.87,38.13,1.06,0.0,0.0,0.0,2024-10-08
San Diego County,61.55,38.45,0.0,0.0,0.0,0.0,2024-10-01
San Diego County,61.99,38.01,0.0,0.0,0.0,0.0,2024-09-24
San Diego County,61.99,38.01,0.0,0.0,0.0,0.0,2024-09-17
San Diego County,61.99,38.01,0.0,0.0,0.0,0.0,2024-09-10
San Diego County,61.99,38.01,0.0,0.0,0.0,0.0,2024-09-03
San Diego County,94.57,5.43,0.0,0.0,0.0,0.0,2024-08-27
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
San Diego County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
