County,None,D0,D1,D2,D3,D4,ValidStart
San Luis Obispo County,7.24,92.76,41.61,0.0,0.0,0.0,2025-03-04
San Luis Obispo County,7.24,92.76,41.61,0.0,0.0,0.0,2025-02-25
San Luis Obispo County,7.24,92.76,41.61,0.0,0.0,0.0,2025-02-18
San Luis Obispo County,0.0,100.0,92.76,0.0,0.0,0.0,2025-02-11
San Luis Obispo County,0.0,100.0,92.76,0.0,0.0,0.0,2025-02-04
San Luis Obispo County,0.0,100.0,92.76,0.0,0.0,0.0,2025-01-28
San Luis Obispo County,0.0,100.0,14.2,0.0,0.0,0.0,2025-01-21
San Luis Obispo County,46.99,53.01,0.29,0.0,0.0,0.0,2025-01-14
San Luis Obispo County,46.99,53.01,0.29,0.0,0.0,0.0,2025-01-07
San Luis Obispo County,79.37,20.63,0.0,0.0,0.0,0.0,2024-12-31
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-12
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-05
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-29
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-22
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-15
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-08
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-01
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-24
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-17
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-10
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
San Luis Obispo County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
